,,,,-SAVOIE,,,
29494,73,73204,73330,Le Pont-de-Beauvoisin,le pont de beauvoisin,45.537145581395,5.6815879069767
29495,73,73205,73110,Le Pontet,le pontet,45.499510555556,6.2330686111111
29496,73,73206,73710,Pralognan-la-Vanoise,pralognan la vanoise,45.350674401198,6.718965
29497,73,73207,73110,Presle,presle,45.442726511628,6.1650790116279
29498,73,73208,73100,Pugny-Chatenod,pugny chatenod,45.694888305085,5.9492311864407
29499,73,73210,73190,Puygros,puygros,45.572206315789,6.0336949342105
29500,73,73211,73720,Queige,queige,45.701111391304,6.466246173913
29501,73,73212,73220,Randens,randens,45.547345,6.3259824444444
29502,73,73213,73490,La Ravoire,la ravoire,45.552650869565,5.9609638043478
29503,73,73214,73240,Rochefort,rochefort,45.58253626506,5.7139684337349
29504,73,73215,73110,La Rochette,la rochette,45.457509529412,6.1159391764706
29505,73,73216,73730,Rognaix,rognaix,45.571291707317,6.4287317073171
29506,73,73217,73110,Rotherens,rotherens,45.4716115,6.13890775
29507,73,73218,73310,Ruffieux,ruffieux,45.852346037736,5.8546943396226
29508,73,73219,73610,Saint-Alban-de-Montbel,saint alban de montbel,45.548453018868,5.7691394339623
29509,73,73220,73220,Saint-Alban-d'Hurtières,saint alban d hurtieres,45.46464724359,6.2475709615385
29510,73,73221,73130,Saint-Alban-des-Villards,saint alban des villards,45.314458953488,6.2430547093023
29511,73,73222,73230,Saint-Alban-Leysse,saint alban leysse,45.592229655172,5.9557175862069
29512,73,73223,73500,Saint-André,saint andre,45.222903043478,6.6188487826087
29513,73,73224,73130,Saint-Avre,saint avre,45.350341777778,6.3181562222222
29514,73,73225,73190,Saint-Baldoph,saint baldoph,45.530528292683,5.947473495935
29515,73,73226,73520,Saint-Béron,saint beron,45.503886990291,5.7232078640777
29516,73,73227,73120,Courchevel,courchevel,45.414659,6.63469
29517,73,73227,73600,Courchevel,courchevel,45.4203,6.61409
29518,73,73228,73160,Saint-Cassin,saint cassin,45.525268950617,5.8823092592593
29519,73,73229,73360,Saint-Christophe,saint christophe,45.443425,5.7859181914894
29520,73,73230,73130,Saint-Colomban-des-Villards,saint colomban des villards,45.255585132743,6.1795666371681
29521,73,73231,73130,Saint-Étienne-de-Cuines,saint etienne de cuines,45.343172651515,6.2464529545455
29522,73,73232,73640,Sainte-Foy-Tarentaise,sainte foy tarentaise,45.585086301775,6.9383728698225
