,,,,-HAUTES-PYRENEES,,,
26128,65,65161,65140,Escondeaux,escondeaux,43.34656125,0.13232955357143
26129,65,65162,65130,Esconnets,esconnets,43.07191939759,0.23352542168675
26130,65,65163,65130,Escots,escots,43.061722075472,0.25685037735849
26131,65,65164,65100,Escoubès-Pouts,escoubes pouts,43.105310561798,0.0277997752809
26132,65,65165,65130,Esparros,esparros,43.020771894737,0.29518178947368
26133,65,65166,65130,Espèche,espeche,43.0619266,0.2998582
26134,65,65167,65130,Espieilh,espieilh,43.0782421875,0.24148640625
26135,65,65168,65120,Esquièze-Sère,esquieze sere,42.880449722222,-0.0091083333333301
26136,65,65169,65400,Estaing,estaing,42.884542012987,-0.20670792207792
26137,65,65170,65220,Estampures,estampures,43.376356111111,0.28747422222222
26138,65,65171,65240,Estarvielle,estarvielle,42.820501111111,0.41745777777778
26139,65,65172,65170,Estensan,estensan,42.816296190476,0.34448404761905
26140,65,65173,65120,Esterre,esterre,42.871457142857,0.01150228571429
26141,65,65174,65700,Estirac,estirac,43.499322735043,0.03135162393162
26142,65,65175,65370,Ferrère,ferrere,42.919290823529,0.49625729411765
26143,65,65176,65560,Ferrières,ferrieres,43.018773271028,-0.24889990654206
26144,65,65177,65220,Fontrailles,fontrailles,43.34301725,0.37294516666667
26145,65,65178,65220,Fréchède,frechede,43.366852891566,0.26318674698795
26146,65,65179,65130,Fréchendets,frechendets,43.062240769231,0.23652794871795
26147,65,65180,65240,Fréchet-Aure,frechet aure,42.928994909091,0.38126490909091
26148,65,65181,65190,Fréchou-Fréchet,frechou frechet,43.176893623188,0.16711942028986
26149,65,65182,65400,Gaillagos,gaillagos,42.990785616438,-0.18298561643836
26150,65,65183,65330,Galan,galan,43.223233863636,0.40221
26151,65,65184,65330,Galez,galez,43.187600441176,0.40897882352941
26152,65,65185,65320,Gardères,garderes,43.280718031915,-0.11245643617021
26153,65,65186,65370,Gaudent,gaudent,42.996765625,0.56338875
26154,65,65187,65670,Gaussan,gaussan,43.221094056604,0.47635462264151
26155,65,65189,65320,Gayan,gayan,43.304640985915,0.0468714084507
26156,65,65190,65250,Gazave,gazave,43.035805714286,0.42076734693878
26157,65,65191,65100,Gazost,gazost,42.999159166667,0.02081791666667
26158,65,65192,65120,Gavarnie-Gèdre,gavarnie gedre,42.757660782609,-0.0068912826087
26159,65,65193,65370,Gembrie,gembrie,42.988419090909,0.57532727272727
26160,65,65194,65150,Générest,generest,43.028244487179,0.51408551282051
26161,65,65195,65240,Génos,genos,42.771993764045,0.39838078651685
26162,65,65196,65140,Gensac,gensac,43.43349,0.08807505747126
26163,65,65197,65100,Ger,ger,43.053261698113,-0.04046018867925
26164,65,65198,65200,Gerde,gerde,43.056937173913,0.17990065217391
26165,65,65199,65240,Germ,germ,42.782888656716,0.43831343283582
26166,65,65200,65200,Germs-sur-l'Oussouet,germs sur l oussouet,43.044213571429,0.06136455357143
26167,65,65201,65100,Geu,geu,43.0396075,-0.04913363636364
26168,65,65202,65400,Gez,gez,43.01252140625,-0.12229421875
26169,65,65203,65100,Gez-ez-Angles,gez ez angles,43.088604117647,0.02586450980392
26170,65,65204,65350,Gonez,gonez,43.233927560976,0.21045975609756
26171,65,65205,65240,Gouaux,gouaux,42.856357058824,0.37535823529412
26172,65,65206,65190,Goudon,goudon,43.244324965986,0.23663850340136
26173,65,65207,65130,Gourgue,gourgue,43.136390731707,0.26749414634146
26174,65,65208,65170,Grailhen,grailhen,42.830570666667,0.37227133333333
26175,65,65209,65240,Grézian,grezian,42.872605172414,0.35118482758621
26176,65,65210,65120,Grust,grust,42.891355753425,-0.06128191780822
26177,65,65211,65170,Guchan,guchan,42.8451836,0.3480446
26178,65,65212,65240,Guchen,guchen,42.858740983607,0.32523590163934
26179,65,65213,65230,Guizerix,guizerix,43.322188661972,0.4510014084507
26180,65,65214,65230,Hachan,hachan,43.283958431373,0.45552803921569
26181,65,65215,65700,Hagedet,hagedet,43.517507692308,-0.02514753846154
26182,65,65216,65200,Hauban,hauban,43.099763617021,0.16294670212766
26183,65,65217,65150,Hautaget,hautaget,43.0578204,0.455897
26184,65,65218,65250,Hèches,heches,42.997340227273,0.38729840909091
26185,65,65219,65700,Hères,heres,43.551519325843,-0.00382438202247
26186,65,65220,65380,Hibarette,hibarette,43.163439545455,0.03841181818182
26187,65,65221,65200,Hiis,hiis,43.134656233766,0.09700337662338
26188,65,65222,65190,Hitte,hitte,43.155903186813,0.15966637362637
26189,65,65223,65310,Horgues,horgues,43.189825818182,0.07828363636364
26190,65,65224,65330,Houeydets,houeydets,43.15439109375,0.354606015625
26191,65,65225,65350,Hourc,hourc,43.250495180723,0.17666469879518
26192,65,65226,65420,Ibos,ibos,43.241509874214,-0.00709471698113
26193,65,65228,65410,Ilhet,ilhet,42.964402348993,0.40098503355705
26194,65,65229,65370,Ilheu,ilheu,42.998731025641,0.59518692307692
26195,65,65230,65370,Izaourt,izaourt,43.017476511628,0.60276046511628
26196,65,65231,65250,Izaux,izaux,43.061000416667,0.38194333333333
26197,65,65232,65350,Jacque,jacque,43.320665606061,0.21564424242424
26198,65,65233,65100,Jarret,jarret,43.074016206897,-0.0170224137931
26199,65,65234,65240,Jézeau,jezeau,42.91116661017,0.40747855932203
26200,65,65235,65290,Juillan,juillan,43.200073857143,0.02849028571429
26201,65,65236,65100,Julos,julos,43.11854202381,0.00278369047619
26202,65,65237,65100,Juncalas,juncalas,43.050002727273,-0.00369090909091
26203,65,65238,65200,Labassère,labassere,43.06358990099,0.09120920792079
26204,65,65239,65130,Labastide,labastide,43.033118297872,0.34969744680851
26205,65,65240,65700,Labatut-Rivière,labatut riviere,43.523361875,0.03151164772727
26206,65,65241,65130,Laborde,laborde,43.032121805556,0.29576055555556
26207,65,65242,65140,Lacassagne,lacassagne,43.357432920354,0.1586085840708
26208,65,65243,65700,Lafitole,lafitole,43.449291086957,0.08022144927536
26209,65,65244,65320,Lagarde,lagarde,43.304036622517,0.01663953642384
26210,65,65245,65300,Lagrange,lagrange,43.129342380952,0.34625023809524
26211,65,65247,65100,Arrayou-Lahitte,arrayou lahitte,43.095248558559,0.04479351351351
26212,65,65248,65700,Lahitte-Toupière,lahitte toupiere,43.457628793103,-0.01331939655172
26213,65,65249,65230,Lalanne,lalanne,43.274908446602,0.58313194174757
26214,65,65250,65220,Lalanne-Trie,lalanne trie,43.313008181818,0.33167818181818
26215,65,65251,65310,Laloubère,laloubere,43.2110325,0.07773131578947
26216,65,65252,65380,Lamarque-Pontacq,lamarque pontacq,43.165011980198,-0.10855425742574
