,,,,-NIEVRE,,,
22269,58,58272,58800,Sardy-lès-Épiry,sardy les epiry,47.195153230769,3.6936576923077
22270,58,58273,58160,Sauvigny-les-Bois,sauvigny les bois,46.973491164384,3.2633904109589
22271,58,58274,58170,Savigny-Poil-Fol,savigny poil fol,46.785432648402,3.8297779908676
22272,58,58275,58330,Saxi-Bourdon,saxi bourdon,47.057808010471,3.4867683769633
22273,58,58276,58360,Sémelay,semelay,46.857217663551,3.867531152648
22274,58,58277,58290,Sermages,sermages,47.017098605769,3.8428683653846
22275,58,58278,58000,Sermoise-sur-Loire,sermoise sur loire,46.937044444444,3.188660952381
22276,58,58279,58700,Sichamps,sichamps,47.154864029851,3.2742470149254
22277,58,58280,58300,Sougy-sur-Loire,sougy sur loire,46.864921764706,3.4009057563025
22278,58,58281,58150,Suilly-la-Tour,suilly la tour,47.339560633803,3.0742278169014
22279,58,58282,58500,Surgy,surgy,47.515469384615,3.5064080769231
22280,58,58283,58420,Taconnay,taconnay,47.312164758621,3.4858843448276
22281,58,58284,58190,Talon,talon,47.336854833333,3.5480653333333
22282,58,58285,58110,Tamnay-en-Bazois,tamnay en bazois,47.05809184,3.72103832
22283,58,58286,58190,Tannay,tannay,47.361921769911,3.5867711504425
22284,58,58287,58170,Tazilly,tazilly,46.75422970339,3.9089797457627
22285,58,58288,58190,Teigny,teigny,47.389413298969,3.6674044329897
22286,58,58289,58250,Ternant,ternant,46.749616201117,3.8464929608938
22287,58,58290,58250,Thaix,thaix,46.850108014184,3.707415248227
22288,58,58291,58260,Thianges,thianges,46.912420684932,3.4938602739726
22289,58,58292,58110,Tintury,tintury,47.003455,3.5716003205128
22290,58,58293,58300,Toury-Lurcy,toury lurcy,46.739359166667,3.4285657777778
22291,58,58294,58240,Toury-sur-Jour,toury sur jour,46.72768,3.24345808
22292,58,58295,58150,Tracy-sur-Loire,tracy sur loire,47.330310526316,2.9194698245614
22293,58,58296,58240,Tresnay,tresnay,46.70274037037,3.2008156481481
22294,58,58297,58260,Trois-Vèvres,trois vevres,46.908629304348,3.4180860869565
22295,58,58298,58400,Tronsanges,tronsanges,47.109152941176,3.0552752941177
22296,58,58299,58460,Trucy-l'Orgueilleux,trucy l orgueilleux,47.44894384,3.40853288
22297,58,58300,58130,Urzy,urzy,47.056927932961,3.2000020111732
22298,58,58301,58290,Vandenesse,vandenesse,46.912552413793,3.7813881034483
22299,58,58302,58400,Varennes-lès-Narcy,varennes les narcy,47.212862076923,3.0676177692308
22300,58,58303,58640,Varennes-Vauzelles,varennes vauzelles,47.039831232227,3.1398131279621
22301,58,58304,58210,Varzy,varzy,47.352826171004,3.3964671747212
22302,58,58305,58140,Vauclaix,vauclaix,47.229248014706,3.8198577941177
22303,58,58306,58300,Verneuil,verneuil,46.858574773663,3.5795659259259
22304,58,58307,58150,Vielmanay,vielmanay,47.270306461538,3.1119850769231
22305,58,58308,58190,Vignol,vignol,47.35412,3.6602541525424
22306,58,58309,58370,Villapourçon,villapourcon,46.939038657534,3.9559603835616
22307,58,58310,58210,Villiers-le-Sec,villiers le sec,47.376657446809,3.434904893617
22308,58,58311,58270,Ville-Langy,ville langy,46.935693401015,3.5068218781726
22309,58,58312,58500,Villiers-sur-Yonne,villiers sur yonne,47.414908722222,3.55689
22310,58,58313,58420,Vitry-Laché,vitry lache,47.193875939394,3.5611122424242
