,,,,-LANDES,,,
15561,40,40193,40190,Montégut,montegut,43.875558239437,-0.20160605633803
15562,40,40194,40380,Montfort-en-Chalosse,montfort en chalosse,43.702943212121,-0.83622872727273
15563,40,40195,40500,Montgaillard,montgaillard,43.755295492958,-0.48032328638498
15564,40,40196,40500,Montsoué,montsoue,43.728808787879,-0.50245878787879
15565,40,40197,40110,Morcenx,morcenx,44.020069266055,-0.89358394495413
15566,40,40198,40700,Morganx,morganx,43.60161271028,-0.5733876635514
15567,40,40199,40290,Mouscardès,mouscardes,43.587787037037,-0.88929864197531
15568,40,40200,40410,Moustey,moustey,44.377567241379,-0.76471982758621
15569,40,40201,40250,Mugron,mugron,43.736934475138,-0.75387204419889
15570,40,40202,40180,Narrosse,narrosse,43.689385543478,-1.0115066304348
15571,40,40203,40330,Nassiet,nassiet,43.598473368984,-0.6913085026738
15572,40,40204,40250,Nerbis,nerbis,43.749411538462,-0.719227
15573,40,40205,40380,Nousse,nousse,43.723270243902,-0.82018991869919
15574,40,40206,40300,Oeyregave,oeyregave,43.527331881188,-1.0971653465347
15575,40,40207,40180,Oeyreluy,oeyreluy,43.671650917431,-1.0774881651376
15576,40,40208,40380,Onard,onard,43.776581029412,-0.8331375
15577,40,40209,40440,Ondres,ondres,43.558345212766,-1.434635
15578,40,40210,40110,Onesse-Laharie,onesse laharie,44.046704655172,-1.0665346551724
15579,40,40211,40300,Orist,orist,43.634011111111,-1.169029537037
15580,40,40212,40300,Orthevielle,orthevielle,43.566276372549,-1.1430785294118
15581,40,40213,40230,Orx,orx,43.6089485,-1.3640633333333
15582,40,40214,40290,Ossages,ossages,43.556866456693,-0.87887393700787
15583,40,40215,40110,Ousse-Suzan,ousse suzan,43.950638367347,-0.76592357142857
15584,40,40216,40380,Ozourt,ozourt,43.657839831933,-0.8805731092437
15585,40,40217,40160,Parentis-en-Born,parentis en born,44.323989565217,-1.0851643478261
15586,40,40218,40310,Parleboscq,parleboscq,43.940610126984,0.04410225396825
15587,40,40219,40320,Payros-Cazautets,payros cazautets,43.624823589744,-0.39430290598291
15588,40,40220,40320,Pécorade,pecorade,43.651750806452,-0.35973822580645
15589,40,40221,40190,Perquie,perquie,43.865695509259,-0.25670421296296
15590,40,40222,40300,Pey,pey,43.610332575758,-1.2094583333333
15591,40,40223,40700,Peyre,peyre,43.574852962963,-0.55534095238095
15592,40,40224,40300,Peyrehorade,peyrehorade,43.557246065574,-1.1029327868852
15593,40,40225,40320,Philondenx,philondenx,43.571101146789,-0.43147495412844
15594,40,40226,40320,Pimbo,pimbo,43.578470135135,-0.37723324324324
15595,40,40227,40410,Pissos,pissos,44.300992657658,-0.76885617117117
