,,,,-CORREZE,,,
6628,19,19184,19500,Saint-Bazile-de-Meyssac,saint bazile de meyssac,45.055666666667,1.7270896428571
6629,19,19185,19150,Saint-Bonnet-Avalouze,saint bonnet avalouze,45.253806401674,1.8242024686192
6630,19,19186,19380,Saint-Bonnet-Elvert,saint bonnet elvert,45.156032352941,1.9178402941177
6631,19,19187,19130,Saint-Bonnet-la-Rivière,saint bonnet la riviere,45.292915692308,1.3569149230769
6632,19,19188,19410,Saint-Bonnet-l'Enfantier,saint bonnet l enfantier,45.299047260274,1.5349839726027
6633,19,19189,19430,Saint-Bonnet-les-Tours-de-Merle,saint bonnet les tours de merle,45.052757435897,2.0516704273504
6634,19,19190,19200,Saint-Bonnet-près-Bort,saint bonnet pres bort,45.502731302083,2.4248525
6635,19,19191,19600,Saint-Cernin-de-Larche,saint cernin de larche,45.092797192982,1.4154680701754
6636,19,19192,19380,Saint-Chamant,saint chamant,45.128327247706,1.8990467431193
6637,19,19193,19220,Saint-Cirgues-la-Loutre,saint cirgues la loutre,45.08986625,2.0939762037037
6638,19,19194,19700,Saint-Clément,saint clement,45.328136492221,1.6825407213579
6639,19,19195,19130,Saint-Cyprien,saint cyprien,45.254192869565,1.3547406956522
6640,19,19196,19130,Saint-Cyr-la-Roche,saint cyr la roche,45.277121403509,1.3875388596491
6641,19,19198,19210,Saint-Éloy-les-Tuileries,saint eloy les tuileries,45.454492849462,1.2783160215054
6642,19,19199,19200,Saint-Étienne-aux-Clos,saint etienne aux clos,45.569772436975,2.455045
6643,19,19200,19160,Saint-Étienne-la-Geneste,saint etienne la geneste,45.447189568966,2.34531
6644,19,19201,19200,Saint-Exupéry-les-Roches,saint exupery les roches,45.507862747604,2.366487284345
6645,19,19202,19270,Sainte-Féréole,sainte fereole,45.23120014218,1.5932718246446
6646,19,19203,19490,Sainte-Fortunade,sainte fortunade,45.20808142487,1.7565728497409
6647,19,19204,19200,Saint-Fréjoux,saint frejoux,45.553804494382,2.3646266292135
6648,19,19205,19220,Saint-Geniez-ô-Merle,saint geniez o merle,45.079275258216,2.0666223004695
6649,19,19206,19290,Saint-Germain-Lavolps,saint germain lavolps,45.608727647059,2.2063889542484
6650,19,19207,19330,Saint-Germain-les-Vergnes,saint germain les vergnes,45.267363219512,1.6229173902439
6651,19,19208,19550,Saint-Hilaire-Foissac,saint hilaire foissac,45.313551256685,2.1164745454546
6652,19,19209,19170,Saint-Hilaire-les-Courbes,saint hilaire les courbes,45.596731070336,1.8135900917431
6653,19,19210,19160,Saint-Hilaire-Luc,saint hilaire luc,45.344805675676,2.2113843243243
6654,19,19211,19560,Saint-Hilaire-Peyroux,saint hilaire peyroux,45.212060900322,1.6376308038585
6655,19,19212,19400,Saint-Hilaire-Taurieux,saint hilaire taurieux,45.07893953125,1.83467921875
6656,19,19213,19700,Saint-Jal,saint jal,45.393216666667,1.64792375
6657,19,19214,19220,Saint-Julien-aux-Bois,saint julien aux bois,45.121771304348,2.1515068012422
6658,19,19215,19430,Saint-Julien-le-Pèlerin,saint julien le pelerin,45.008303088803,2.0699618532818
6659,19,19216,19210,Saint-Julien-le-Vendômois,saint julien le vendomois,45.458031528662,1.3151498089172
6660,19,19217,19500,Saint-Julien-Maumont,saint julien maumont,45.033569438202,1.7105602247191
6661,19,19219,19160,Sainte-Marie-Lapanouze,sainte marie lapanouze,45.433666926829,2.3445165365854
6662,19,19220,19150,Saint-Martial-de-Gimel,saint martial de gimel,45.270176026616,1.8866148669202
6663,19,19221,19400,Saint-Martial-Entraygues,saint martial entraygues,45.1308625,1.9657467763158
6664,19,19222,19320,Saint-Martin-la-Méanne,saint martin la meanne,45.165822206406,1.9884260498221
6665,19,19223,19210,Saint-Martin-Sepert,saint martin sepert,45.444236666667,1.4800045273632
6666,19,19225,19320,Saint-Merd-de-Lapleau,saint merd de lapleau,45.253056818182,2.1000084710744
6667,19,19226,19170,Saint-Merd-les-Oussines,saint merd les oussines,45.617360361111,2.0257593055556
6668,19,19227,19330,Saint-Mexant,saint mexant,45.293563320079,1.6723110934394
6669,19,19228,19160,Saint-Pantaléon-de-Lapleau,saint pantaleon de lapleau,45.319758323353,2.2053725149701
6670,19,19229,19600,Saint-Pantaléon-de-Larche,saint pantaleon de larche,45.151371318681,1.434179010989
6671,19,19230,19210,Saint-Pardoux-Corbier,saint pardoux corbier,45.45239844898,1.457262122449
6672,19,19231,19320,Saint-Pardoux-la-Croisille,saint pardoux la croisille,45.246455679612,1.9742165533981
6673,19,19232,19200,Saint-Pardoux-le-Neuf,saint pardoux le neuf,45.610773190184,2.3311303680982
6674,19,19233,19200,Saint-Pardoux-le-Vieux,saint pardoux le vieux,45.600644906832,2.2731172670808
6675,19,19234,19270,Saint-Pardoux-l'Ortigier,saint pardoux l ortigier,45.297939488189,1.5830285826772
6676,19,19235,19150,Saint-Paul,saint paul,45.205648303571,1.8971592410714
6677,19,19236,19800,Saint-Priest-de-Gimel,saint priest de gimel,45.301082467532,1.9015838528139
6678,19,19237,19220,Saint-Privat,saint privat,45.141488,2.0827434098361
6679,19,19238,19290,Saint-Rémy,saint remy,45.655086038462,2.2681580769231
6680,19,19239,19310,Saint-Robert,saint robert,45.253997623762,1.2991361386139
6681,19,19240,19700,Saint-Salvadour,saint salvadour,45.388851764706,1.7656690311419
6682,19,19241,19290,Saint-Setiers,saint setiers,45.69442622108,2.1196421336761
6683,19,19242,19130,Saint-Solve,saint solve,45.307064336283,1.4036840707965
6684,19,19243,19230,Saint-Sornin-Lavolps,saint sornin lavolps,45.368214965035,1.3705964335664
6685,19,19244,19250,Saint-Sulpice-les-Bois,saint sulpice les bois,45.611587266667,2.1433764
6686,19,19245,19380,Saint-Sylvain,saint sylvain,45.180173553299,1.8840706091371
6687,19,19246,19240,Saint-Viance,saint viance,45.210115368421,1.4660494736842
6688,19,19247,19200,Saint-Victour,saint victour,45.465470183486,2.3923748623853
6689,19,19248,19140,Saint-Ybard,saint ybard,45.454664509202,1.5173186809816
6690,19,19249,19300,Saint-Yrieix-le-Déjalat,saint yrieix le dejalat,45.45624699422,1.9643995953757
6691,19,19250,19510,Salon-la-Tour,salon la tour,45.497062134831,1.5304058988764
6692,19,19251,19800,Sarran,sarran,45.414117083333,1.9310537878788
6693,19,19252,19110,Sarroux - Saint Julien,sarroux saint julien,45.435004319527,2.4477692899408
6694,19,19253,19310,Segonzac,segonzac,45.279377246377,1.2674378743961
6695,19,19254,19230,Ségur-le-Château,segur le chateau,45.432038390805,1.2974704022988
6696,19,19255,19700,Seilhac,seilhac,45.364531749503,1.7223264015905
6697,19,19256,19160,Sérandon,serandon,45.352439507389,2.3146315270936
6698,19,19257,19190,Sérilhac,serilhac,45.098508651685,1.734138258427
6699,19,19258,19220,Servières-le-Château,servieres le chateau,45.144004583333,2.0245857407407
6700,19,19259,19430,Sexcles,sexcles,45.041040155763,2.0166249221184
6701,19,19260,19120,Sioniac,sioniac,44.9749045,1.80045
6702,19,19261,19290,Sornac,sornac,45.672624404255,2.1814611914894
6703,19,19262,19370,Soudaine-Lavinadière,soudaine lavinadiere,45.543796289593,1.7310720361991
