id,department_code,insee_code,zip_code,-BAS-RHIN,slug,gps_lat,gps_lng
27133,67,67498,67350,Uhrwiller,uhrwiller,48.884679732143,7.579284375
27134,67,67499,67220,Urbeis,urbeis,48.332210866142,7.206048503937
27135,67,67500,67280,Urmatt,urmatt,48.539037463768,7.2944698550725
27136,67,67501,67150,Uttenheim,uttenheim,48.412336307692,7.5934618461538
27137,67,67502,67110,Uttenhoffen,uttenhoffen,48.892895446429,7.6506303571429
27138,67,67503,67330,Uttwiller,uttwiller,48.846066666667,7.497914
27139,67,67504,67210,Valff,valff,48.425065963303,7.5250829357798
27140,67,67505,67730,La Vancelle,la vancelle,48.283680403226,7.3198020967742
27141,67,67506,67550,Vendenheim,vendenheim,48.66652971831,7.7324669014084
27142,67,67507,67220,Villé,ville,48.341103970588,7.3021341176471
27143,67,67508,67430,Vœllerdingen,voellerdingen,48.969606438356,7.13553
27144,67,67509,67290,Volksberg,volksberg,48.93700877193,7.2897564035088
27145,67,67510,67170,Wahlenheim,wahlenheim,48.765292857143,7.6875028571429
27146,67,67511,67360,Walbourg,walbourg,48.886209235669,7.7894525477707
27147,67,67513,67130,Waldersbach,waldersbach,48.414419454545,7.2177278181818
27148,67,67514,67430,Waldhambach,waldhambach,48.930673366013,7.2320039869281
27149,67,67515,67700,Waldolwisheim,waldolwisheim,48.733810631579,7.4379701052632
27150,67,67516,67670,Waltenheim-sur-Zorn,waltenheim sur zorn,48.746005714286,7.6242221008403
27151,67,67517,67520,Wangen,wangen,48.618657230769,7.4656601538461
27152,67,67519,67610,La Wantzenau,la wantzenau,48.655318368794,7.8319236879433
27153,67,67520,67310,Wasselonne,wasselonne,48.642892892562,7.44238
27154,67,67521,67340,Weinbourg,weinbourg,48.869673559322,7.4321952542373
27155,67,67522,67290,Weislingen,weislingen,48.920385945946,7.2533683783784
27156,67,67523,67500,Weitbruch,weitbruch,48.757948344371,7.777390794702
27157,67,67524,67340,Weiterswiller,weiterswiller,48.854574,7.41137
27158,67,67525,67310,Westhoffen,westhoffen,48.603969310345,7.4215535172414
27159,67,67526,67230,Westhouse,westhouse,48.406739019608,7.5736452941176
27160,67,67527,67440,Westhouse-Marmoutier,westhouse marmoutier,48.685231076923,7.4557778461539
27161,67,67528,67320,Weyer,weyer,48.853475515152,7.157912
27162,67,67529,67720,Weyersheim,weyersheim,48.725742130178,7.848066035503
27163,67,67530,67270,Wickersheim-Wilshausen,wickersheim wilshausen,48.78079516129,7.5346604301075
27164,67,67531,67130,Wildersbach,wildersbach,48.440765714286,7.2242424489796
27165,67,67532,67370,Willgottheim,willgottheim,48.676889677419,7.5136124193548
27166,67,67534,67270,Wilwisheim,wilwisheim,48.752500559441,7.5021178321678
27167,67,67535,67290,Wimmenau,wimmenau,48.921511008772,7.4203832017544
27168,67,67536,67110,Windstein,windstein,48.989431642857,7.6944445
27169,67,67537,67510,Wingen,wingen,49.035367244094,7.8122747244095
27170,67,67538,67290,Wingen-sur-Moder,wingen sur moder,48.922885906736,7.3734986010363
27171,67,67539,67170,Wingersheim les Quatre Bans,wingersheim les quatre bans,48.7220579,7.635956
27172,67,67539,67270,Wingersheim les Quatre Bans,wingersheim les quatre bans,48.7220579,7.635956
