,,,,-CREUSE,,,
7954,23,23172,23190,La Serre-Bussière-Vieille,la serre bussiere vieille,46.054924021352,2.3321195373665
7955,23,23173,23250,Soubrebost,soubrebost,45.963194823009,1.8410748672566
7956,23,23174,23600,Soumans,soumans,46.307169590444,2.3221503071672
7957,23,23175,23150,Sous-Parsat,sous parsat,46.060951079137,1.9752138129496
7958,23,23176,23300,La Souterraine,la souterraine,46.238105983871,1.4741304516129
7959,23,23177,23300,Saint-Agnant-de-Versillat,saint agnant de versillat,46.27950459322,1.5067957627119
7960,23,23178,23260,Saint-Agnant-près-Crocq,saint agnant pres crocq,45.809488653846,2.3336608076923
7961,23,23179,23200,Saint-Alpinien,saint alpinien,45.968213885135,2.2515071283784
7962,23,23180,23200,Saint-Amand,saint amand,45.97247,2.2037133
7963,23,23181,23400,Saint-Amand-Jartoudeix,saint amand jartoudeix,45.914410138889,1.6639951666667
7964,23,23182,23200,Saint-Avit-de-Tardes,saint avit de tardes,45.920633736842,2.3000527894737
7965,23,23183,23480,Saint-Avit-le-Pauvre,saint avit le pauvre,45.991526097561,2.0498131707317
7966,23,23184,23260,Saint-Bard,saint bard,45.911447816092,2.409727183908
7967,23,23185,23130,Saint-Chabrais,saint chabrais,46.121283755274,2.2096058649789
7968,23,23186,23000,Saint-Christophe,saint christophe,46.095584285714,1.8585379831933
7969,23,23187,23130,Saint-Dizier-la-Tour,saint dizier la tour,46.141663928571,2.1492332936508
7970,23,23188,23270,Saint-Dizier-les-Domaines,saint dizier les domaines,46.322335604396,2.0430328021978
7971,23,23189,23400,Saint-Dizier-Leyrenne,saint dizier leyrenne,46.02616122449,1.7179417142857
7972,23,23190,23190,Saint-Domet,saint domet,46.046419318885,2.2988026315789
7973,23,23191,23000,Saint-Éloi,saint eloi,46.080943924051,1.814237721519
7974,23,23192,23290,Fursac,fursac,46.14637824147,1.514556351706
7975,23,23193,23000,Sainte-Feyre,sainte feyre,46.156552792023,1.9135064387464
7976,23,23194,23500,Sainte-Feyre-la-Montagne,sainte feyre la montagne,45.894985263158,2.2320700584795
7977,23,23195,23000,Saint-Fiel,saint fiel,46.212805972222,1.8903812847222
7978,23,23196,23500,Saint-Frion,saint frion,45.865834504249,2.2266049575071
7979,23,23197,23250,Saint-Georges-la-Pouge,saint georges la pouge,46.000733209302,1.9613294883721
7980,23,23198,23500,Saint-Georges-Nigremont,saint georges nigremont,45.837291162791,2.2735924806202
7981,23,23199,23160,Saint-Germain-Beaupré,saint germain beaupre,46.311775186722,1.5626524896266
7982,23,23200,23430,Saint-Goussaud,saint goussaud,46.03646047619,1.5640775438596
7983,23,23201,23150,Saint-Hilaire-la-Plaine,saint hilaire la plaine,46.115327661871,1.9861960071943
7984,23,23202,23250,Saint-Hilaire-le-Château,saint hilaire le chateau,45.993172704225,1.8982422253521
7985,23,23203,23110,Saint-Julien-la-Genête,saint julien la genete,46.137813990385,2.4746297596154
7986,23,23204,23130,Saint-Julien-le-Châtel,saint julien le chatel,46.119295352113,2.2652976760563
7987,23,23205,23400,Saint-Junien-la-Bregère,saint junien la bregere,45.885569351852,1.7430062962963
