,,,,-SARTHE,,,
29146,72,72198,72650,La Milesse,la milesse,48.070859562044,0.1374352919708
29147,72,72199,72170,Moitron-sur-Sarthe,moitron sur sarthe,48.244845693431,0.05645525547445
29148,72,72200,72230,Moncé-en-Belin,monce en belin,47.898695470085,0.19637290598291
29149,72,72201,72260,Moncé-en-Saosnois,monce en saosnois,48.273242275862,0.39064986206897
29150,72,72202,72260,Monhoudou,monhoudou,48.286881454545,0.327417
29151,72,72204,72120,Montaillé,montaille,47.961275519713,0.69100756272401
29152,72,72205,72380,Montbizot,montbizot,48.152065839416,0.19080306569343
29153,72,72208,72320,Montmirail,montmirail,48.105897830688,0.76694724867725
29154,72,72209,72130,Montreuil-le-Chétif,montreuil le chetif,48.238862802548,-0.03518171974522
29155,72,72210,72150,Montreuil-le-Henri,montreuil le henri,47.863867133333,0.57452726666667
29156,72,72211,72140,Mont-Saint-Jean,mont saint jean,48.249458730159,-0.11144408730159
29157,72,72212,72130,Moulins-le-Carbonnel,moulins le carbonnel,48.375081226994,-0.01359895705521
29158,72,72213,72230,Mulsanne,mulsanne,47.92393203125,0.24046875
29159,72,72214,72260,Nauvay,nauvay,48.253967746479,0.3936385915493
29160,72,72215,72600,Neufchâtel-en-Saosnois,neufchatel en saosnois,48.374572109375,0.254218671875
29161,72,72216,72240,Neuvillalais,neuvillalais,48.156876818182,-0.004883125
29162,72,72217,72190,Neuville-sur-Sarthe,neuville sur sarthe,48.07492865285,0.21507621761658
29163,72,72218,72140,Neuvillette-en-Charnie,neuvillette en charnie,48.08185803653,-0.19864940639269
29164,72,72219,72240,Neuvy-en-Champagne,neuvy en champagne,48.073277701863,-0.01997192546584
29165,72,72220,72110,Nogent-le-Bernard,nogent le bernard,48.239521306122,0.50109469387755
29166,72,72221,72500,Nogent-sur-Loir,nogent sur loir,47.658244269663,0.39707112359551
29167,72,72222,72260,Nouans,nouans,48.237246987952,0.22687807228916
29168,72,72223,72430,Noyen-sur-Sarthe,noyen sur sarthe,47.862813783784,-0.09337261261261
29169,72,72224,72370,Nuillé-le-Jalais,nuille le jalais,48.021524747475,0.4849103030303
29170,72,72225,72610,Oisseau-le-Petit,oisseau le petit,48.348593135593,0.0716436440678
29171,72,72226,72330,Oizé,oize,47.800007018634,0.11337291925466
29172,72,72227,72600,Panon,panon,48.340434,0.3021065
29173,72,72228,72300,Parcé-sur-Sarthe,parce sur sarthe,47.818254225352,-0.19258920187793
29174,72,72229,72140,Parennes,parennes,48.117282481203,-0.17579308270677
29175,72,72230,72330,Parigné-le-Pôlin,parigne le polin,47.85986184874,0.12135411764706
29176,72,72231,72250,Parigné-l'Évêque,parigne l eveque,47.926782434783,0.3790872173913
29177,72,72232,72300,Notre-Dame-du-Pé,notre dame du pe,47.7270688125,-0.3382645
29178,72,72233,72260,Peray,peray,48.248221100917,0.36768458715596
29179,72,72234,72140,Pezé-le-Robert,peze le robert,48.201567468354,-0.03936449367089
29180,72,72235,72170,Piacé,piace,48.267515348837,0.1122403875969
29181,72,72236,72300,Pincé,pince,47.798784444444,-0.36509922222222
29182,72,72237,72430,Pirmil,pirmil,47.909237471264,-0.08532385057471
29183,72,72238,72600,Pizieux,pizieux,48.321759,0.33366842857143
29184,72,72239,72350,Poillé-sur-Vègre,poille sur vegre,47.919925069444,-0.27096388888889
29185,72,72241,72450,Montfort-le-Gesnois,montfort le gesnois,48.060574144737,0.40111934210526
29186,72,72243,72510,Pontvallain,pontvallain,47.764987704918,0.20408852459016
29187,72,72244,72300,Précigné,precigne,47.764589318996,-0.31866032258065
29188,72,72245,72400,Préval,preval,48.227104035088,0.62131004385965
29189,72,72246,72110,Prévelles,prevelles,48.155677241379,0.47441689655172
