,,,,-DROME,,,
9435,26,26297,26350,Saint-Bonnet-de-Valclérieux,saint bonnet de valclerieux,45.194370930233,5.1500608139535
9436,26,26298,26350,Saint-Christophe-et-le-Laris,saint christophe et le laris,45.216185063291,5.0719
9437,26,26299,26150,Sainte-Croix,sainte croix,44.77081059322,5.2841361016949
9438,26,26300,26310,Saint-Dizier-en-Diois,saint dizier en diois,44.51190728972,5.4811459813084
9439,26,26301,26260,Saint-Donat-sur-l'Herbasse,saint donat sur l herbasse,45.126368120805,4.9845908053691
9440,26,26302,26190,Sainte-Eulalie-en-Royans,sainte eulalie en royans,45.043904226804,5.3453846391753
9441,26,26303,26170,Sainte-Euphémie-sur-Ouvèze,sainte euphemie sur ouveze,44.298565945946,5.3960554954955
9442,26,26304,26110,Saint-Ferréol-Trente-Pas,saint ferreol trente pas,44.44170122449,5.2244361904762
9443,26,26305,26160,Saint-Gervais-sur-Roubion,saint gervais sur roubion,44.57899009009,4.8939381081081
9444,26,26306,26110,Sainte-Jalle,sainte jalle,44.334624871795,5.275667008547
9445,26,26307,26190,Saint-Jean-en-Royans,saint jean en royans,45.01231699115,5.2874565486726
9446,26,26308,26150,Saint-Julien-en-Quint,saint julien en quint,44.866028901099,5.3001691208791
9447,26,26309,26420,Saint-Julien-en-Vercors,saint julien en vercors,45.057884526316,5.4348095789474
9448,26,26310,26350,Saint-Laurent-d'Onay,saint laurent d onay,45.180164408602,5.1130487096774
9449,26,26311,26190,Saint-Laurent-en-Royans,saint laurent en royans,45.014360714286,5.33835125
9450,26,26312,26740,Saint-Marcel-lès-Sauzet,saint marcel les sauzet,44.601478780488,4.8029392682927
9451,26,26313,26320,Saint-Marcel-lès-Valence,saint marcel les valence,44.972470434783,4.9445207608696
9452,26,26314,26330,Saint-Martin-d'Août,saint martin d aout,45.221003595506,4.9889597752809
9453,26,26315,26420,Saint-Martin-en-Vercors,saint martin en vercors,45.018878585859,5.4375841414141
9454,26,26316,26190,Saint-Martin-le-Colonel,saint martin le colonel,44.984772941176,5.2743321568627
9455,26,26317,26110,Saint-Maurice-sur-Eygues,saint maurice sur eygues,44.307190684932,5.0033828767123
9456,26,26318,26510,Saint-May,saint may,44.4283935,5.32657825
9457,26,26319,26750,Saint-Michel-sur-Savasse,saint michel sur savasse,45.146764260355,5.1229532544379
9458,26,26320,26190,Saint-Nazaire-en-Royans,saint nazaire en royans,45.057612533333,5.2448982666667
9459,26,26321,26340,Saint-Nazaire-le-Désert,saint nazaire le desert,44.55828509434,5.2759431603774
9460,26,26322,26770,Saint-Pantaléon-les-Vignes,saint pantaleon les vignes,44.391850117647,5.0428091764706
9461,26,26323,26750,Saint-Paul-lès-Romans,saint paul les romans,45.056142702703,5.1269297297297
9462,26,26324,26130,Saint-Paul-Trois-Châteaux,saint paul trois chateaux,44.350294206349,4.7605636507936
9463,26,26325,26140,Saint-Rambert-d'Albon,saint rambert d albon,45.290477857143,4.8272085714286
9464,26,26326,26130,Saint-Restitut,saint restitut,44.3314866,4.7957015
9465,26,26327,26410,Saint-Roman,saint roman,44.689346352941,5.4307717647059
9466,26,26328,26340,Saint-Sauveur-en-Diois,saint sauveur en diois,44.678211530612,5.1662471428571
9467,26,26329,26110,Saint-Sauveur-Gouvernet,saint sauveur gouvernet,44.330563012048,5.3689627710843
9468,26,26330,26210,Saint-Sorlin-en-Valloire,saint sorlin en valloire,45.271792598425,4.966712519685
9469,26,26331,26190,Saint-Thomas-en-Royans,saint thomas en royans,45.049085744681,5.2920922340426
9470,26,26332,26240,Saint-Uze,saint uze,45.184081880342,4.8620642735043
9471,26,26333,26240,Saint-Vallier,saint vallier,45.175975531915,4.8218853191489
9472,26,26334,26160,Salettes,salettes,44.568928979592,4.9659871428571
9473,26,26335,26770,Salles-sous-Bois,salles sous bois,44.467152752294,4.9375820183486
9474,26,26336,26400,Saou,saou,44.64671952381,5.1310394761905
9475,26,26337,26270,Saulce-sur-Rhône,saulce sur rhone,44.703557272727,4.7960470454545
9476,26,26338,26740,Sauzet,sauzet,44.589912384106,4.8259686092715
9477,26,26339,26740,Savasse,savasse,44.609420344828,4.7834077931034
9478,26,26340,26560,Séderon,sederon,44.200785609756,5.5584755284553
9479,26,26341,26600,Serves-sur-Rhône,serves sur rhone,45.141528125,4.836464125
9480,26,26342,26130,Solérieux,solerieux,44.345804821429,4.8249816071429
9481,26,26343,26160,Souspierre,souspierre,44.538968135593,4.9670755932203
9482,26,26344,26400,Soyans,soyans,44.641152011173,5.0223665921788
9483,26,26345,26790,Suze-la-Rousse,suze la rousse,44.29866109375,4.851316484375
9484,26,26346,26400,Suze,suze,44.7564621,5.1036211
9485,26,26347,26600,Tain-l'Hermitage,tain l hermitage,45.071861343284,4.8534080597015
9486,26,26348,26770,Taulignan,taulignan,44.453386758242,4.9781543956044
9487,26,26349,26390,Tersanne,tersanne,45.216597328244,5.0135911450382
9488,26,26350,26220,Teyssières,teyssieres,44.459307933333,5.1510078666667
9489,26,26351,26460,Les Tonils,les tonils,44.583088307692,5.2109035384615
9490,26,26352,26160,La Touche,la touche,44.524313,4.884734
9491,26,26353,26740,Les Tourrettes,les tourrettes,44.663260571429,4.8060238571429
