id,department_code,insee_code,zip_code,-AIN,slug,gps_lat,gps_lng
94,1,1099,1150,Chazey-sur-Ain,chazey sur ain,45.897791764706,5.257502254902
95,1,1100,1510,Cheignieu-la-Balme,cheignieu la balme,45.821699632353,5.6004818382353
96,1,1101,1430,Chevillard,chevillard,46.109148734177,5.579233164557
97,1,1102,1190,Chevroux,chevroux,46.382223136095,4.9651795857988
98,1,1103,1170,Chevry,chevry,46.28400972973,6.0452245045045
99,1,1104,1200,Chézery-Forens,chezery forens,46.1202119,5.7896126
100,1,1104,1410,Chézery-Forens,chezery forens,46.223054,5.868303
101,1,1105,1390,Civrieux,civrieux,45.918154210526,4.8847947368421
102,1,1106,1250,Cize,cize,46.198540517241,5.4512146551724
103,1,1107,1230,Cleyzieu,cleyzieu,45.902384545455,5.4327284848485
104,1,1108,1270,Coligny,coligny,46.384596901961,5.326589372549
105,1,1109,1550,Collonges,collonges,46.14152784,5.90460952
106,1,1110,1300,Colomieu,colomieu,45.738500285714,5.6265590476191
107,1,1111,1230,Conand,conand,45.890008978102,5.4713902919708
108,1,1112,1430,Condamine,condamine,46.104543084112,5.5582528037383
109,1,1113,1400,Condeissiat,condeissiat,46.1521226875,5.087552125
110,1,1114,1200,Confort,confort,46.156618163265,5.8304369387755
111,1,1115,1310,Confrançon,confrancon,46.2677990625,5.0631065
112,1,1116,1300,Contrevoz,contrevoz,45.803002392345,5.6211401435407
113,1,1117,1300,Conzieu,conzieu,45.727867105263,5.606319868421
114,1,1118,1420,Corbonod,corbonod,45.972412773723,5.7880016058394
115,1,1121,1110,Corlier,corlier,46.032718194444,5.4985325
116,1,1122,1110,Cormaranche-en-Bugey,cormaranche en bugey,45.947902282609,5.61038
117,1,1123,1290,Cormoranche-sur-Saône,cormoranche sur saone,46.23802942623,4.8349332786885
118,1,1124,1560,Cormoz,cormoz,46.433602965779,5.2256662357414
119,1,1125,1250,Corveissiat,corveissiat,46.254723069767,5.4688593953488
120,1,1127,1370,Courmangoux,courmangoux,46.326120622407,5.3504300414938
121,1,1128,1560,Courtes,courtes,46.457129483871,5.1139603870968
122,1,1129,1320,Crans,crans,45.965866390244,5.1933110731707
123,1,1130,1340,Cras-sur-Reyssouze,cras sur reyssouze,46.313415243243,5.1783688648649
124,1,1133,1350,Cressin-Rochefort,cressin rochefort,45.784325921053,5.7588935526316
125,1,1134,1290,Crottet,crottet,46.277172,4.892867
126,1,1134,1750,Crottet,crottet,46.3070867,4.8676037
127,1,1135,1170,Crozet,crozet,46.290464240506,6.0029505696202
128,1,1136,1290,Cruzilles-lès-Mépillat,cruzilles les mepillat,46.221429230769,4.8756563636364
129,1,1138,1350,Culoz,culoz,45.855868235294,5.7754341176471
130,1,1139,1560,Curciat-Dongalon,curciat dongalon,46.488223573883,5.1661274570447
131,1,1140,1310,Curtafond,curtafond,46.273678142077,5.1037170491803
132,1,1141,1300,Cuzieu,cuzieu,45.818852688172,5.6798859139785
133,1,1142,1120,Dagneux,dagneux,45.85737752809,5.0744668539326
134,1,1143,1220,Divonne-les-Bains,divonne les bains,46.37205265,6.11931745
135,1,1145,1240,Dompierre-sur-Veyle,dompierre sur veyle,46.065636772487,5.2151875661376
136,1,1146,1400,Dompierre-sur-Chalaronne,dompierre sur chalaronne,46.143917279412,4.9006142647059
137,1,1147,1270,Domsure,domsure,46.424201433121,5.2931132165605
138,1,1148,1590,Dortan,dortan,46.313479781022,5.6452366423358
139,1,1149,1500,Douvres,douvres,45.985360549451,5.3741294505495
140,1,1150,1250,Drom,drom,46.223626826923,5.3699690384615
141,1,1151,1160,Druillat,druillat,46.068407205882,5.2952876470588
142,1,1152,1130,Échallon,echallon,46.223541649485,5.7368471134021
