id,department_code,insee_code,zip_code,-ARIEGE,slug,gps_lat,gps_lng
3160,9,9298,9110,Sorgeat,sorgeat,42.736422954545,1.8711161363636
3161,9,9299,9140,Soueix-Rogalle,soueix rogalle,42.897996309524,1.1951938095238
3162,9,9300,9000,Soula,soula,42.939381101695,1.6976288983051
3163,9,9301,9320,Soulan,soulan,42.906394943182,1.2466525
3164,9,9302,9220,Suc-et-Sentenac,suc et sentenac,42.80409626087,1.4492082608696
3165,9,9303,9400,Surba,surba,42.858768787879,1.5821251515151
3166,9,9304,9240,Suzan,suzan,43.028545625,1.431073125
3167,9,9305,9600,Tabre,tabre,42.989886724138,1.8525022413793
3168,9,9306,9400,Tarascon-sur-Ariège,tarascon sur ariege,42.847011805556,1.5915407638889
3169,9,9307,9160,Taurignan-Castet,taurignan castet,43.061001705882,1.1028908235294
3170,9,9308,9190,Taurignan-Vieux,taurignan vieux,43.046148289474,1.1146163157895
3171,9,9309,9500,Teilhet,teilhet,43.098802168675,1.7844821686747
3172,9,9310,9350,Thouars-sur-Arize,thouars sur arize,43.181637358491,1.2383596226415
3173,9,9311,9110,Tignac,tignac,42.747003,1.7984902
3174,9,9312,9100,La Tour-du-Crieu,la tour du crieu,43.107134022988,1.6677071264368
3175,9,9313,9230,Tourtouse,tourtouse,43.08956625,1.1305167708333
3176,9,9314,9500,Tourtrol,tourtrol,43.070682741935,1.8016303225806
3177,9,9315,9700,Trémoulet,tremoulet,43.156193823529,1.7135557352941
3178,9,9316,9500,Troye-d'Ariège,troye d ariege,43.024032642857,1.8855312142857
3179,9,9318,9250,Unac,unac,42.755024090909,1.775375
3180,9,9319,9100,Unzent,unzent,43.170105064935,1.5308881818182
3181,9,9320,9310,Urs,urs,42.777556521739,1.7369560869565
3182,9,9321,9400,Ussat,ussat,42.835714444444,1.6235322222222
3183,9,9322,9140,Ustou,ustou,42.784122217391,1.2501489565217
3184,9,9323,9500,Vals,vals,43.102326727273,1.7533941818182
3185,9,9324,9120,Varilhes,varilhes,43.055360990099,1.6285396039604
3186,9,9325,9110,Vaychis,vaychis,42.745106222222,1.8241171111111
3187,9,9326,9310,Vèbre,vebre,42.767264242424,1.7193125757576
3188,9,9327,9120,Ventenac,ventenac,42.997810666667,1.727150962963
3189,9,9328,9310,Verdun,verdun,42.804296904762,1.6936654761905
3190,9,9329,9000,Vernajoul,vernajoul,42.996140357143,1.5916725
3191,9,9330,9250,Vernaux,vernaux,42.784999733333,1.7803432
3192,9,9331,9700,Le Vernet,le vernet,43.1860474,1.6027852
3193,9,9332,9340,Verniolle,verniolle,43.08226325,1.667356125
3194,9,9334,9220,Vicdessos,vicdessos,42.772897012987,1.5082281818182
3195,9,9335,9800,Villeneuve,villeneuve,42.950350416667,0.983035625
3196,9,9336,9300,Villeneuve-d'Olmes,villeneuve d olmes,42.911424081633,1.8218025510204
3197,9,9338,9130,Villeneuve-du-Latou,villeneuve du latou,43.199875375,1.43586725
3198,9,9339,9100,Villeneuve-du-Paréage,villeneuve du pareage,43.1572634375,1.64061203125
3199,9,9340,9120,Vira,vira,43.046062,1.7585454
3200,9,9341,9500,Viviès,vivies,43.058770952381,1.7794233333333
3201,9,9342,9130,Sainte-Suzanne,sainte suzanne,43.205110472441,1.3738137795276
