id,department_code,insee_code,zip_code,-ALLIER,slug,gps_lat,gps_lng
1277,3,3059,3140,Chareil-Cintrat,chareil cintrat,46.265988461538,3.2299640769231
1278,3,3060,3110,Charmeil,charmeil,46.161082125,3.395006875
1279,3,3061,3800,Charmes,charmes,46.079563148148,3.2449977777778
1280,3,3062,3140,Charroux,charroux,46.183645806452,3.1564562365591
1281,3,3063,3510,Chassenard,chassenard,46.437458181818,3.9710211888112
1282,3,3064,3320,Château-sur-Allier,chateau sur allier,46.778333934426,2.9875224590164
1283,3,3065,3500,Châtel-de-Neuvre,chatel de neuvre,46.419183070175,3.295450877193
1284,3,3066,3250,Châtel-Montagne,chatel montagne,46.098919050279,3.7189383240223
1285,3,3067,3220,Châtelperron,chatelperron,46.400142096774,3.6314147580645
1286,3,3068,3120,Châtelus,chatelus,46.200176551724,3.7257188793103
1287,3,3069,3210,Châtillon,chatillon,46.459066300578,3.1276178034682
1288,3,3070,3440,Chavenon,chavenon,46.425203253012,2.9488598192771
1289,3,3071,3220,Chavroches,chavroches,46.352704878049,3.5971274796748
1290,3,3072,3370,Chazemais,chazemais,46.485492408759,2.5119524817518
1291,3,3073,3210,Chemilly,chemilly,46.479367341772,3.3058213291139
1292,3,3074,3230,Chevagnes,chevagnes,46.60774887574,3.567171183432
1293,3,3075,3140,Chezelle,chezelle,46.210667307692,3.1101042307692
1294,3,3076,3230,Chézy,chezy,46.61533381295,3.4591101438849
1295,3,3077,3330,Chirat-l'Église,chirat l eglise,46.246405307018,3.0343057894737
1296,3,3078,3450,Chouvigny,chouvigny,46.128116497175,3.0015973446328
1297,3,3079,3220,Cindré,cindre,46.326239724138,3.5547105517241
1298,3,3080,3110,Cognat-Lyonne,cognat lyonne,46.109888627451,3.3052892156863
1299,3,3081,3600,Colombier,colombier,46.265309266667,2.7975416666667
1300,3,3082,3600,Commentry,commentry,46.274168548387,2.7455210215054
1301,3,3083,3500,Contigny,contigny,46.347521559633,3.3016436697248
1302,3,3084,3430,Cosne-d'Allier,cosne d allier,46.486209184783,2.8221080978261
1303,3,3085,3000,Coulandon,coulandon,46.556799166667,3.2456910119048
1304,3,3086,3470,Coulanges,coulanges,46.475317731959,3.8570093814433
1305,3,3087,3320,Couleuvre,couleuvre,46.67034262931,2.9035227155172
1306,3,3088,3370,Courçais,courcais,46.457593617021,2.46074
1307,3,3089,3330,Coutansouze,coutansouze,46.207645260116,3.0125116763006
1308,3,3090,3160,Couzon,couzon,46.648266305419,3.1219669458128
1309,3,3091,3150,Créchy,crechy,46.268778817204,3.4252222580645
1310,3,3092,3240,Cressanges,cressanges,46.442751057269,3.1634745814978
1311,3,3093,3300,Creuzier-le-Neuf,creuzier le neuf,46.178337786885,3.4619158196721
1312,3,3094,3300,Creuzier-le-Vieux,creuzier le vieux,46.162056521739,3.4383496376812
1313,3,3095,3300,Cusset,cusset,46.133699489796,3.485866292517
1314,3,3096,3140,Deneuille-lès-Chantelle,deneuille les chantelle,46.246521276596,3.1466986170213
1315,3,3097,3170,Deneuille-les-Mines,deneuille les mines,46.377782801932,2.7743938164251
1316,3,3098,3630,Désertines,desertines,46.357374324324,2.6253004504505
1317,3,3099,3240,Deux-Chaises,deux chaises,46.372694115523,3.0427999277978
1318,3,3100,3290,Diou,diou,46.52263319797,3.7340126395939
1319,3,3101,3410,Domérat,domerat,46.368103529412,2.5416123529412
1320,3,3102,3290,Dompierre-sur-Besbre,dompierre sur besbre,46.532056822157,3.6785565889213
1321,3,3103,3130,Le Donjon,le donjon,46.349919536232,3.7975208985507
1322,3,3104,3170,Doyet,doyet,46.345585765306,2.7907191326531
1323,3,3105,3120,Droiturier,droiturier,46.231304242424,3.7071690909091
1324,3,3106,3310,Durdat-Larequille,durdat larequille,46.254922047619,2.6891143809524
1325,3,3107,3450,Ébreuil,ebreuil,46.115827955556,3.0773827555556
1326,3,3108,3330,Échassières,echassieres,46.200297623318,2.9391205829596
1327,3,3109,3110,Escurolles,escurolles,46.147821391304,3.2644886086956
1328,3,3110,3110,Espinasse-Vozelle,espinasse vozelle,46.129526256684,3.3417797860963
1329,3,3111,3190,Estivareilles,estivareilles,46.425318783069,2.6256634920635
1330,3,3112,3140,Étroussat,etroussat,46.219954308943,3.2227525203252
1331,3,3113,3250,Ferrières-sur-Sichon,ferrieres sur sichon,46.020573505535,3.6415951291513
1332,3,3114,3340,La Ferté-Hauterive,la ferte hauterive,46.395582804878,3.3288403658537
1333,3,3115,3140,Fleuriel,fleuriel,46.297474016064,3.1597115662651
1334,3,3116,3140,Fourilles,fourilles,46.244956666667,3.1985355128205
1335,3,3117,3160,Franchesse,franchesse,46.643887705479,3.0260470547945
1336,3,3118,3800,Gannat,gannat,46.097420497238,3.1688375138122
1337,3,3119,3230,Gannay-sur-Loire,gannay sur loire,46.719957135135,3.5926998918919
1338,3,3120,3230,Garnat-sur-Engièvre,garnat sur engievre,46.637792094595,3.6626847297297
1339,3,3121,3400,Gennetines,gennetines,46.626715645161,3.3972834946237
1340,3,3122,3210,Gipcy,gipcy,46.507827033898,3.0550179237288
1341,3,3124,3340,Gouise,gouise,46.411323301887,3.4293299056604
1342,3,3125,3250,La Guillermie,la guillermie,45.985050143885,3.6407424460432
1343,3,3126,3270,Hauterive,hauterive,46.077811948052,3.4340845454545
1344,3,3127,3190,Hérisson,herisson,46.520562361516,2.7138073469388
1345,3,3128,3380,Huriel,huriel,46.374968196721,2.4859621311475
1346,3,3129,3600,Hyds,hyds,46.27295875502,2.8271247389558
1347,3,3130,3360,Isle-et-Bardais,isle et bardais,46.697012542373,2.7782176271186
1348,3,3131,3120,Isserpent,isserpent,46.15455257732,3.6126204123711
1349,3,3132,3220,Jaligny-sur-Besbre,jaligny sur besbre,46.37857038961,3.5894237662338
1350,3,3133,3800,Jenzat,jenzat,46.161527070707,3.1991178787879
1351,3,3134,3500,Laféline,lafeline,46.341315702128,3.1737458297872
1352,3,3135,3450,Lalizolle,lalizolle,46.157824444444,3.0097919135803
1353,3,3136,3380,Lamaids,lamaids,46.303353307692,2.4355851538462
1354,3,3137,3150,Langy,langy,46.274050422535,3.4625042253521
1355,3,3138,3120,Lapalisse,lapalisse,46.268742008032,3.6503602811245
1356,3,3139,3250,Laprugne,laprugne,45.994547794562,3.7667080966767
1357,3,3140,3100,Lavault-Sainte-Anne,lavault sainte anne,46.309584174757,2.5978917475728
1358,3,3141,3250,Lavoine,lavoine,45.971761623377,3.6925270779221
1359,3,3142,3130,Lenax,lenax,46.305207398374,3.8375977642276
1360,3,3143,3360,Lételon,letelon,46.655211649485,2.5977201030928
1361,3,3144,3130,Liernolles,liernolles,46.395635384615,3.7724297658863
1362,3,3145,3410,Lignerolles,lignerolles,46.2816115,2.5699021666667
1363,3,3146,3320,Limoise,limoise,46.689119550562,3.0547715730337
1364,3,3147,3130,Loddes,loddes,46.298911682692,3.7593774519231
1365,3,3148,3500,Loriges,loriges,46.265221709402,3.3376601709402
1366,3,3149,3500,Louchy-Montfand,louchy montfand,46.309136818182,3.2499266666667
1367,3,3150,3350,Louroux-Bourbonnais,louroux bourbonnais,46.532867827869,2.8357892213115
1368,3,3151,3600,Louroux-de-Beaune,louroux de beaune,46.300060067568,2.8588237162162
1369,3,3152,3330,Louroux-de-Bouble,louroux de bouble,46.22948342723,2.9700307042253
1370,3,3154,3130,Luneau,luneau,46.368305673759,3.9381024468085
1371,3,3155,3320,Lurcy-Lévis,lurcy levis,46.739615420168,2.9247897478992
1372,3,3156,3230,Lusigny,lusigny,46.570707133758,3.491191656051
1373,3,3157,3260,Magnet,magnet,46.21583953125,3.513604375
1374,3,3158,3190,Haut-Bocage,haut bocage,46.470722225352,2.6735901408451
1375,3,3159,3600,Malicorne,malicorne,46.307986590909,2.7777270454545
1376,3,3160,3260,Marcenat,marcenat,46.244003979592,3.3957601020408
1377,3,3161,3420,Marcillat-en-Combraille,marcillat en combraille,46.172502254902,2.6396865196078
1378,3,3162,3210,Marigny,marigny,46.581285337079,3.214360505618
1379,3,3163,3270,Mariol,mariol,46.024200625,3.4921408928571
1380,3,3164,3800,Le Mayet-d'École,le mayet d ecole,46.163829634146,3.2419637804878
1381,3,3165,3250,Le Mayet-de-Montagne,le mayet de montagne,46.061629107692,3.6532972615385
1382,3,3166,3800,Mazerier,mazerier,46.135156,3.1825529230769
1383,3,3167,3420,Mazirat,mazirat,46.217020921659,2.5487107373272
1384,3,3168,3360,Meaulne-Vitray,meaulne vitray,46.600888894231,2.6539939423077
1385,3,3169,3500,Meillard,meillard,46.386499005525,3.2242730939226
1386,3,3170,3210,Meillers,meillers,46.513470502092,3.099809707113
1387,3,3171,3340,Mercy,mercy,46.453461620112,3.5224429608939
1388,3,3172,3370,Mesples,mesples,46.422636538462,2.363055
1389,3,3173,3510,Molinet,molinet,46.458423272727,3.9255266060606
1390,3,3174,3300,Molles,molles,46.118238450292,3.5556234502924
1391,3,3175,3140,Monestier,monestier,46.265725226337,3.099679218107
1392,3,3176,3500,Monétay-sur-Allier,monetay sur allier,46.378565604396,3.2908692307692
1393,3,3177,3470,Monétay-sur-Loire,monetay sur loire,46.436492925926,3.8216341851852
1394,3,3178,3130,Montaiguët-en-Forez,montaiguet en forez,46.266642568807,3.8275388073395
1395,3,3179,3150,Montaigu-le-Blin,montaigu le blin,46.289671650485,3.5147553398058
1396,3,3180,3340,Montbeugny,montbeugny,46.526632704082,3.4732326020408
1397,3,3181,3130,Montcombroux-les-Mines,montcombroux les mines,46.363299790795,3.7292186610879
1398,3,3182,3800,Monteignet-sur-l'Andelot,monteignet sur l andelot,46.116857407407,3.2490855555556
1399,3,3183,3240,Le Montet,le montet,46.406016329114,3.0535987341772
1400,3,3184,3000,Montilly,montilly,46.607983550296,3.2341853846154
1401,3,3185,3100,Montluçon,montlucon,46.341503903743,2.6015386631016
1402,3,3186,3390,Montmarault,montmarault,46.320845853659,2.9538548780488
1403,3,3187,3150,Montoldre,montoldre,46.333482631579,3.4520856315789
1404,3,3188,3500,Montord,montord,46.289352181818,3.2380725454545
1405,3,3189,3170,Montvicq,montvicq,46.313382816901,2.8231892253521
1406,3,3190,3000,Moulins,moulins,46.561777865169,3.3278003370787
1407,3,3191,3390,Murat,murat,46.411078878049,2.9016975121951
1408,3,3192,3450,Nades,nades,46.150340390625,2.968369453125
1409,3,3193,3190,Nassigny,nassigny,46.491662204724,2.5929192913386
1410,3,3194,3330,Naves,naves,46.179270930233,3.1201202325581
1411,3,3195,3310,Néris-les-Bains,neris les bains,46.302572779661,2.6794746101695
1412,3,3196,3130,Neuilly-en-Donjon,neuilly en donjon,46.346551793722,3.8869347982063
1413,3,3197,3340,Neuilly-le-Réal,neuilly le real,46.467515890411,3.4417061643836
1414,3,3198,3320,Neure,neure,46.743390659341,2.9785774725275
1415,3,3200,3000,Neuvy,neuvy,46.567121190476,3.2819517261905
1416,3,3201,3250,Nizerolles,nizerolles,46.104369757282,3.6477639320388
1417,3,3202,3210,Noyant-d'Allier,noyant d allier,46.481470478723,3.1246886702128
1418,3,3203,3230,Paray-le-Frésil,paray le fresil,46.655179545455,3.6032788961039
1419,3,3204,3500,Paray-sous-Briailles,paray sous briailles,46.288936060606,3.3671663636364
1420,3,3205,3120,Périgny,perigny,46.244145928571,3.558365
1421,3,3206,3420,La Petite-Marche,la petite marche,46.192770685714,2.5619364571429
1422,3,3207,3470,Pierrefitte-sur-Loire,pierrefitte sur loire,46.497873020408,3.8110735918367
1423,3,3208,3130,Le Pin,le pin,46.41694125,3.8887414112903
1424,3,3209,3800,Poëzat,poezat,46.074674102564,3.2257646153846
1425,3,3210,3320,Pouzy-Mésangy,pouzy mesangy,46.694808148148,3.0033070899471
1426,3,3211,3410,Prémilhat,premilhat,46.304065581395,2.5392739534884
1427,3,3212,3380,Quinssaines,quinssaines,46.308442453988,2.4964398773006
1428,3,3213,3190,Reugny,reugny,46.457984552239,2.6137171641791
1429,3,3214,3240,Rocles,rocles,46.444305700483,3.0414897584541
1430,3,3215,3150,Rongères,rongeres,46.30257344086,3.4474186021505
1431,3,3216,3420,Ronnet,ronnet,46.202098014184,2.7031390070922
1432,3,3217,3170,Saint-Angel,saint angel,46.3503935,2.6903094545455
