,,,,-OISE,,,
23126,60,60156,60280,Clairoix,clairoix,49.444085384615,2.8458109230769
23127,60,60157,60600,Clermont,clermont,49.377933513514,2.4131036036036
23128,60,60158,60420,Coivrel,coivrel,49.553680352941,2.5558968235294
23129,60,60159,60200,Compiègne,compiegne,49.418562875817,2.862686993464
23130,60,60160,60490,Conchy-les-Pots,conchy les pots,49.604576764706,2.7332036764706
23131,60,60161,60360,Conteville,conteville,49.65540779661,2.0551581355932
23132,60,60162,60110,Corbeil-Cerf,corbeil cerf,49.276035,2.113530625
23133,60,60163,60120,Cormeilles,cormeilles,49.643633875,2.20048975
23134,60,60164,60850,Le Coudray-Saint-Germer,le coudray saint germer,49.398260744681,1.8299945744681
23135,60,60165,60430,Le Coudray-sur-Thelle,le coudray sur thelle,49.310955098039,2.1242884313726
23136,60,60166,60150,Coudun,coudun,49.462370681818,2.8100582575758
23137,60,60167,60350,Couloisy,couloisy,49.399670188679,3.0282977358491
23138,60,60168,60420,Courcelles-Epayelles,courcelles epayelles,49.572966440678,2.6297022033898
23139,60,60169,60240,Courcelles-lès-Gisors,courcelles les gisors,49.262107126437,1.7322528735632
23140,60,60170,60300,Courteuil,courteuil,49.202794677419,2.5414482258064
23141,60,60171,60350,Courtieux,courtieux,49.385070232558,3.0843640697674
23142,60,60172,60580,Coye-la-Forêt,coye la foret,49.143701052632,2.4663555263158
23143,60,60173,60660,Cramoisy,cramoisy,49.252149404762,2.3964713095238
23144,60,60174,60310,Crapeaumesnil,crapeaumesnil,49.635798191489,2.8160745744681
23145,60,60175,60100,Creil,creil,49.255792368421,2.4796267105263
23146,60,60176,60800,Crépy-en-Valois,crepy en valois,49.228895210084,2.903317394958
23147,60,60177,60190,Cressonsacq,cressonsacq,49.44926515625,2.567125
23148,60,60178,60360,Crèvecœur-le-Grand,crevecoeur le grand,49.612962201835,2.0827096330275
23149,60,60179,60420,Crèvecœur-le-Petit,crevecoeur le petit,49.5735325,2.4995154545454
23150,60,60180,60112,Crillon,crillon,49.523759534884,1.9218360465116
23151,60,60181,60400,Crisolles,crisolles,49.622589583333,3.0233610833333
23152,60,60182,60120,Le Crocq,le crocq,49.625329411765,2.1864535294118
23153,60,60183,60120,Croissy-sur-Celle,croissy sur celle,49.687371851852,2.1699409259259
23154,60,60184,60350,Croutoy,croutoy,49.376970190476,3.0365649523809
23155,60,60185,60530,Crouy-en-Thelle,crouy en thelle,49.207557164179,2.3204080597015
23156,60,60186,60130,Cuignières,cuignieres,49.448984133333,2.4757661333333
23157,60,60187,60850,Cuigy-en-Bray,cuigy en bray,49.431914761905,1.835505
23158,60,60188,60350,Cuise-la-Motte,cuise la motte,49.387317029703,3.0053150495049
23159,60,60189,60400,Cuts,cuts,49.532718837209,3.1045994186046
23160,60,60190,60620,Cuvergnon,cuvergnon,49.171326349206,2.9942433333333
23161,60,60191,60490,Cuvilly,cuvilly,49.548396588235,2.7017028235294
23162,60,60192,60310,Cuy,cuy,49.5859,2.9075033802817
23163,60,60193,60210,Daméraucourt,dameraucourt,49.701960338983,1.9205286440678
23164,60,60194,60210,Dargies,dargies,49.702177894737,1.9900630526316
23165,60,60195,60240,Delincourt,delincourt,49.244684070796,1.8325996460177
23166,60,60196,60790,La Drenne,la drenne,49.305222429907,2.0971331775701
23167,60,60197,60530,Dieudonné,dieudonne,49.241298783784,2.2436477027027
23168,60,60198,60310,Dives,dives,49.589860965517,2.8781572413793
23169,60,60199,60360,Doméliers,domeliers,49.631270555556,2.1625779166667
23170,60,60200,60420,Domfront,domfront,49.599844727273,2.557614
23171,60,60201,60420,Dompierre,dompierre,49.592116052632,2.5328544736842
23172,60,60203,60800,Duvy,duvy,49.231827314815,2.8476132407407
23173,60,60204,60310,Écuvilly,ecuvilly,49.650344375,2.91962484375
23174,60,60205,60210,Élencourt,elencourt,49.6943,1.8969921875
23175,60,60206,60157,Élincourt-Sainte-Marguerite,elincourt sainte marguerite,49.531647614679,2.8349571559633
23176,60,60207,60123,Éméville,emeville,49.283161162791,3.02403
23177,60,60208,60590,Énencourt-Léage,enencourt leage,49.304440512821,1.8459961538462
23178,60,60209,60240,Énencourt-le-Sec,enencourt le sec,49.292332716049,1.9146518518519
23179,60,60210,60190,Épineuse,epineuse,49.400119393939,2.5503203030303
23180,60,60211,60590,Éragny-sur-Epte,eragny sur epte,49.309163152174,1.7795080434783
23181,60,60212,60530,Ercuis,ercuis,49.23508137931,2.3099770689655
23182,60,60213,60950,Ermenonville,ermenonville,49.124862149533,2.705133364486
23183,60,60214,60380,Ernemont-Boutavent,ernemont boutavent,49.591534782609,1.7893043478261
23184,60,60215,60600,Erquery,erquery,49.413927213115,2.4536281967213
23185,60,60216,60130,Erquinvillers,erquinvillers,49.458317454545,2.4875436363636
23186,60,60217,60380,Escames,escames,49.554693170732,1.8065070121951
23187,60,60218,60110,Esches,esches,49.2334675,2.1759658823529
23188,60,60219,60220,Escles-Saint-Pierre,escles saint pierre,49.745316382979,1.7987585106383
23189,60,60220,60650,Espaubourg,espaubourg,49.423329032258,1.8690620967742
23190,60,60221,60120,Esquennoy,esquennoy,49.657415125,2.269765125
23191,60,60222,60510,Essuiles,essuiles,49.483945420561,2.2853852336449
23192,60,60223,60190,Estrées-Saint-Denis,estrees saint denis,49.4274525,2.6347989285714
23193,60,60224,60620,Étavigny,etavigny,49.126505205479,2.9841820547945
23194,60,60225,60600,Étouy,etouy,49.424899402985,2.3666
23195,60,60226,60330,Ève,eve,49.083411607143,2.7097283928571
23196,60,60227,60310,Évricourt,evricourt,49.569675254237,2.9167047457627
23197,60,60228,60240,Fay-les-Étangs,fay les etangs,49.254352765957,1.9467686170213
23198,60,60229,60680,Le Fayel,le fayel,49.374224347826,2.6957456521739
23199,60,60230,60510,Le Fay-Saint-Quentin,le fay saint quentin,49.445496111111,2.2517072222222
23200,60,60231,60800,Feigneux,feigneux,49.268084901961,2.9152756862745
23201,60,60232,60420,Ferrières,ferrieres,49.585727291667,2.51519125
23202,60,60233,60960,Feuquières,feuquieres,49.649014871795,1.8471633333333
23203,60,60234,60600,Fitz-James,fitz james,49.399499340659,2.4257907692308
23204,60,60235,60590,Flavacourt,flavacourt,49.343649230769,1.8280689010989
23205,60,60236,60640,Flavy-le-Meldeux,flavy le meldeux,49.686099545455,3.0472436363636
23206,60,60237,60120,Fléchy,flechy,49.659492419355,2.2287438709677
23207,60,60238,60700,Fleurines,fleurines,49.262771875,2.5963925
23208,60,60239,60240,Fleury,fleury,49.2478959375,1.9670390625
23209,60,60240,60360,Fontaine-Bonneleau,fontaine bonneleau,49.659270965517,2.1477411034483
23210,60,60241,60300,Fontaine-Chaalis,fontaine chaalis,49.153617228916,2.676692690763
23211,60,60242,60690,Fontaine-Lavaganne,fontaine lavaganne,49.598270104167,1.9579003125
23212,60,60243,60480,Fontaine-Saint-Lucien,fontaine saint lucien,49.5063084,2.1481214
23213,60,60244,60380,Fontenay-Torcy,fontenay torcy,49.569605294118,1.7675095294118
23214,60,60245,60220,Formerie,formerie,49.649452372881,1.7283620338983
23215,60,60247,60190,Fouilleuse,fouilleuse,49.427463090909,2.5411832727273
23216,60,60248,60220,Fouilloy,fouilloy,49.732181707317,1.8158897560976
23217,60,60249,60250,Foulangues,foulangues,49.278098552632,2.3141086842105
23218,60,60250,60000,Fouquenies,fouquenies,49.467693406593,2.0347781318681
23219,60,60251,60510,Fouquerolles,fouquerolles,49.45928244186,2.2088187209302
23220,60,60252,60130,Fournival,fournival,49.462334375,2.382835875
23221,60,60253,60480,Francastel,francastel,49.590125819672,2.1533274590164
23222,60,60254,60190,Francières,francieres,49.447788837209,2.6655217441861
23223,60,60255,60640,Fréniches,freniches,49.675977142857,3.0060991071429
