,,,,-COTE-D'OR,,,
6918,21,21193,21250,Corgengoux,corgengoux,46.988277131148,5.0126896721311
6919,21,21194,21700,Corgoloin,corgoloin,47.082262016807,4.9345085714286
6920,21,21195,21340,Cormot-Vauchignon,cormot vauchignon,46.97275047619,4.6410236507936
6921,21,21196,21190,Corpeau,corpeau,46.9230475,4.7656783333333
6922,21,21197,21150,Corpoyer-la-Chapelle,corpoyer la chapelle,47.548800169492,4.6059315254237
6923,21,21198,21460,Corrombles,corrombles,47.51927294964,4.2067924460432
6924,21,21199,21460,Corsaint,corsaint,47.548762,4.2068044390244
6925,21,21200,21160,Couchey,couchey,47.260312061069,4.960543129771
6926,21,21201,21400,Coulmier-le-Sec,coulmier le sec,47.752912322581,4.490632516129
6927,21,21202,21520,Courban,courban,47.91313734375,4.737491328125
6928,21,21203,21460,Courcelles-Frémoy,courcelles fremoy,47.446407520661,4.1928967768595
6929,21,21204,21500,Courcelles-lès-Montbard,courcelles les montbard,47.592329382716,4.3915385185185
6930,21,21205,21140,Courcelles-lès-Semur,courcelles les semur,47.446570152672,4.2875852671756
6931,21,21207,21580,Courlon,courlon,47.646112222222,5.0082862962963
6932,21,21208,21120,Courtivron,courtivron,47.531642580645,4.9488503225806
6933,21,21209,21560,Couternon,couternon,47.329130243902,5.1507992682927
6934,21,21210,21320,Créancey,creancey,47.250263913043,4.5975615217391
6935,21,21211,21120,Crécey-sur-Tille,crecey sur tille,47.564845283019,5.137931509434
6936,21,21212,21500,Crépand,crepand,47.604602857143,4.3130412857143
6937,21,21213,21800,Crimolois,crimolois,47.270749069767,5.1264262790698
6938,21,21214,21360,Crugey,crugey,47.182555609756,4.6794707317073
6939,21,21215,21310,Cuiserey,cuiserey,47.371365416667,5.3179745833333
6940,21,21216,21230,Culètre,culetre,47.145700884354,4.5656794557823
6941,21,21217,21220,Curley,curley,47.203043333333,4.9128592982456
6942,21,21218,21380,Curtil-Saint-Seine,curtil saint seine,47.460030485437,4.9289793203883
6943,21,21219,21220,Curtil-Vergy,curtil vergy,47.171469117647,4.8905336764706
6944,21,21220,21580,Cussey-les-Forges,cussey les forges,47.646364736842,5.080554
6945,21,21221,21360,Cussy-la-Colonne,cussy la colonne,47.041920113636,4.6472243181818
6946,21,21222,21230,Cussy-le-Châtel,cussy le chatel,47.164596976744,4.5802062790698
6947,21,21223,21121,Daix,daix,47.359749268293,4.9751500813008
6948,21,21224,21350,Dampierre-en-Montagne,dampierre en montagne,47.443868604651,4.5573713953488
6949,21,21225,21310,Dampierre-et-Flée,dampierre et flee,47.479530467836,5.3567309356725
6950,21,21226,21150,Darcey,darcey,47.54619733945,4.571883853211
6951,21,21227,21121,Darois,darois,47.396951153846,4.9302878205128
6952,21,21228,21220,Détain-et-Bruant,detain et bruant,47.173788120805,4.7890224161074
6953,21,21229,21430,Diancey,diancey,47.174998410596,4.3637080794702
6954,21,21230,21120,Diénay,dienay,47.523433185841,5.0544255752212
6955,21,21231,21000,Dijon,dijon,47.325183133641,5.0356728571429
6956,21,21232,21390,Dompierre-en-Morvan,dompierre en morvan,47.400124422111,4.2283485929648
6957,21,21233,21270,Drambon,drambon,47.332362040816,5.3796565306122
6958,21,21234,21540,Drée,dree,47.343375316456,4.6996688607595
6959,21,21235,21510,Duesme,duesme,47.638820272109,4.6919975510204
6960,21,21236,21190,Ébaty,ebaty,46.925785,4.7828625925926
6961,21,21237,21510,Échalot,echalot,47.609112974684,4.8356470886076
6962,21,21238,21540,Échannay,echannay,47.280114852941,4.6847623529412
6963,21,21239,21170,Échenon,echenon,47.124054183673,5.2852740816327
6964,21,21240,21120,Échevannes,echevannes,47.543274583333,5.152719702381
6965,21,21241,21420,Échevronne,echevronne,47.10855036036,4.8328536036036
6966,21,21242,21110,Échigey,echigey,47.176333666667,5.1994876666667
6967,21,21243,21360,Écutigny,ecutigny,47.084672330097,4.6233710679612
6968,21,21244,21320,Éguilly,eguilly,47.300193516484,4.5032217582418
6969,21,21245,21380,Épagny,epagny,47.453028582677,5.0517428346457
6970,21,21246,21220,Épernay-sous-Gevrey,epernay sous gevrey,47.173549512195,5.0416441463415
6971,21,21247,21460,Époisses,epoisses,47.502273758865,4.178680141844
6972,21,21248,21500,Éringes,eringes,47.590419577465,4.4616722535211
6973,21,21249,21170,Esbarres,esbarres,47.092839395973,5.201073557047
6974,21,21250,21290,Essarois,essarois,47.762114695652,4.7882805217391
6975,21,21251,21320,Essey,essey,47.20363140625,4.523511171875
6976,21,21252,21500,Étais,etais,47.702569042553,4.4424015957447
6977,21,21253,21510,Étalante,etalante,47.630228514286,4.7597114285714
6978,21,21254,21220,L'Étang-Vergy,l etang vergy,47.184108421053,4.8741082894737
6979,21,21255,21121,Étaules,etaules,47.41256012987,4.9504768831169
6980,21,21256,21270,Étevaux,etevaux,47.324026949153,5.3181620338983
6981,21,21257,21450,Étormay,etormay,47.598228170732,4.5869654878049
6982,21,21258,21400,Étrochey,etrochey,47.890650517241,4.5222120689655
