id,department_code,insee_code,zip_code,-AVEYRON,slug,gps_lat,gps_lng
4103,12,12042,12400,Calmels-et-le-Viala,calmels et le viala,43.954686134454,2.7549002941176
4104,12,12043,12450,Calmont,calmont,44.266255903614,2.5181225903614
4105,12,12044,12360,Camarès,camares,43.822857064846,2.8860714334471
4106,12,12045,12160,Camboulazet,camboulazet,44.2225872,2.4442281777778
4107,12,12046,12800,Camjac,camjac,44.177500522388,2.3977187686567
4108,12,12047,12560,Campagnac,campagnac,44.404956477733,3.0863199190283
4109,12,12048,12140,Campouriez,campouriez,44.689375,2.607138
4110,12,12048,12460,Campouriez,campouriez,44.689375,2.607138
4111,12,12049,12580,Campuac,campuac,44.565722125436,2.5814266550523
4112,12,12050,12290,Canet-de-Salars,canet de salars,44.234458020134,2.7382583557047
4113,12,12051,12420,Cantoin,cantoin,44.832536791277,2.8314500934579
4114,12,12052,12700,Capdenac-Gare,capdenac gare,44.556815823529,2.0695429411765
4115,12,12053,12260,La Capelle-Balaguier,la capelle balaguier,44.441209366197,1.9265045070422
4116,12,12054,12240,La Capelle-Bleys,la capelle bleys,44.30485065,2.1795429
4117,12,12055,12130,La Capelle-Bonance,la capelle bonance,44.449191955307,3.0256215083799
4118,12,12056,12160,Baraqueville,baraqueville,44.282663953488,2.454561
4119,12,12057,12120,Cassagnes-Bégonhès,cassagnes begonhes,44.175122888283,2.5166870027248
4120,12,12058,12210,Cassuéjouls,cassuejouls,44.721732192513,2.8056204812834
4121,12,12059,12240,Castanet,castanet,44.281980977918,2.3114555205047
4122,12,12060,12800,Castelmary,castelmary,44.174698088235,2.2422303431372
4123,12,12061,12500,Castelnau-de-Mandailles,castelnau de mandailles,44.529713294461,2.8897751603499
4124,12,12062,12620,Castelnau-Pégayrols,castelnau pegayrols,44.139060653595,2.926193627451
4125,12,12063,12230,La Cavalerie,la cavalerie,44.00574575,3.1722573125
4126,12,12064,12500,Le Cayrol,le cayrol,44.587379273927,2.7831672607261
4127,12,12065,12120,Centrès,centres,44.162338251928,2.438076966581
4128,12,12066,12330,Clairvaux-d'Aveyron,clairvaux d aveyron,44.407161043956,2.4072909065934
4129,12,12067,12540,Le Clapier,le clapier,43.830233619632,3.1748373006135
4130,12,12068,12240,Colombiès,colombies,44.347495520833,2.3176984722222
4131,12,12069,12370,Combret,combret,43.841598821429,2.6865641785714
4132,12,12070,12520,Compeyre,compeyre,44.178366896552,3.1019011206897
4133,12,12071,12350,Compolibat,compolibat,44.381667548077,2.1866204326923
4134,12,12072,12100,Comprégnac,compregnac,44.096868916667,2.98116125
4135,12,12073,12120,Comps-la-Grand-Ville,comps la grand ville,44.226846069652,2.5690475621891
4136,12,12074,12470,Condom-d'Aubrac,condom d aubrac,44.603345978947,2.8765592631579
4137,12,12075,12170,Connac,connac,44.022574782609,2.590978173913
4138,12,12076,12320,Conques-en-Rouergue,conques en rouergue,44.585807493036,2.3852714623955
4139,12,12077,12540,Cornus,cornus,43.874481818182,3.2057667193676
4140,12,12078,12400,Les Costes-Gozon,les costes gozon,44.012447087379,2.7931262135922
4141,12,12079,12190,Coubisou,coubisou,44.584025123457,2.7377268209877
4142,12,12080,12550,Coupiac,coupiac,43.945477142857,2.5906648136646
4143,12,12082,12230,La Couvertoirade,la couvertoirade,43.930756121495,3.2893726168224
4144,12,12083,12110,Cransac,cransac,44.517640206897,2.2868268275862
4145,12,12084,12100,Creissels,creissels,44.067419747899,3.0561035294118
4146,12,12085,12800,Crespin,crespin,44.155139946808,2.2594792553192
4147,12,12086,12640,La Cresse,la cresse,44.169260833333,3.1639185606061
4148,12,12088,12210,Curières,curieres,44.64218303207,2.8886511953353
4149,12,12089,12300,Decazeville,decazeville,44.566787135678,2.2584739698493
4150,12,12090,12000,Druelle Balsac,druelle balsac,44.3467485,2.5742907
4151,12,12090,12510,Druelle Balsac,druelle balsac,44.402442,2.443968
4152,12,12091,12350,Drulhe,drulhe,44.456496733668,2.1363411557789
4153,12,12092,12170,Durenque,durenque,44.104267159533,2.6202240856031
4154,12,12093,12140,Le Fel,le fel,44.670343148789,2.5177893079585
4155,12,12094,12140,Entraygues-sur-Truyère,entraygues sur truyere,44.65800250591,2.5822400236407
4156,12,12095,12390,Escandolières,escandolieres,44.46994700565,2.3498648022599
4157,12,12096,12500,Espalion,espalion,44.525496905537,2.767856286645
4158,12,12097,12140,Espeyrac,espeyrac,44.615285886288,2.5209153511706
4159,12,12098,12190,Estaing,estaing,44.578537201493,2.688906380597
4160,12,12099,12360,Fayet,fayet,43.803665454545,2.9723605785124
4161,12,12100,12300,Firmi,firmi,44.546807078652,2.3233429213483
4162,12,12101,12300,Flagnac,flagnac,44.589723446602,2.2699635436893
4163,12,12102,12450,Flavin,flavin,44.292062447326,2.6225626742302
4164,12,12103,12140,Florentin-la-Capelle,florentin la capelle,44.639343349754,2.6408322906404
4165,12,12104,12260,Foissac,foissac,44.5010982,2.0161832666667
4166,12,12105,12270,La Fouillade,la fouillade,44.229746576923,2.0488414615385
4167,12,12106,12340,Gabriac,gabriac,44.45707887931,2.8007350287356
4168,12,12107,12310,Gaillac-d'Aveyron,gaillac d aveyron,44.36318622807,2.9055054385965
4169,12,12108,12220,Galgan,galgan,44.50513508,2.18192888
4170,12,12109,12360,Gissac,gissac,43.867312486486,2.8960830810811
4171,12,12110,12140,Golinhac,golinhac,44.596766153846,2.5778143384615
4172,12,12111,12390,Goutrens,goutrens,44.438901914894,2.3681362917933
4173,12,12113,12160,Gramond,gramond,44.265579618644,2.3730031779661
4174,12,12115,12230,L'Hospitalet-du-Larzac,l hospitalet du larzac,43.973625487805,3.2047448780488
4175,12,12116,12460,Huparlac,huparlac,44.713418762542,2.7545441471572
4176,12,12118,12600,Lacroix-Barrez,lacroix barrez,44.7780812,2.6391250153846
4177,12,12119,12210,Laguiole,laguiole,44.688759550562,2.861848988764
4178,12,12120,12310,Laissac-Sévérac l'Église,laissac severac l eglise,44.371519055794,2.8225629613734
4179,12,12121,12350,Lanuéjouls,lanuejouls,44.422643732394,2.158386056338
4180,12,12122,12230,Lapanouse-de-Cernon,lapanouse de cernon,44.004267265625,3.094054609375
4181,12,12124,12500,Lassouts,lassouts,44.48913138587,2.8538441032609
4182,12,12125,12380,Laval-Roquecezière,laval roqueceziere,43.817862596685,2.6360153038674
4183,12,12127,12170,Lédergues,ledergues,44.082047028424,2.4418714728682
4184,12,12128,12440,Lescure-Jaoul,lescure jaoul,44.229959695817,2.151432243346
4185,12,12129,12430,Lestrade-et-Thouels,lestrade et thouels,44.051330688705,2.645174738292
