,,,,-PYRENEES-ATLANTIQUES,,,
25612,64,64196,64350,Crouseilles,crouseilles,43.52914351145,-0.08397122137405
25613,64,64197,64360,Cuqueron,cuqueron,43.309370131579,-0.55519973684211
25614,64,64198,64230,Denguin,denguin,43.374678663102,-0.4953413368984
25615,64,64199,64330,Diusse,diusse,43.567464571429,-0.17263323809524
25616,64,64200,64370,Doazon,doazon,43.455906904762,-0.55322345238095
25617,64,64201,64190,Dognen,dognen,43.289159653465,-0.73061495049505
25618,64,64202,64120,Domezain-Berraute,domezain berraute,43.331566761905,-0.96191323809524
25619,64,64203,64450,Doumy,doumy,43.445130718954,-0.37672718954248
25620,64,64204,64440,Eaux-Bonnes,eaux bonnes,42.95728904,-0.36636152
25621,64,64205,64270,Escos,escos,43.443095609756,-1.0073001219512
25622,64,64206,64490,Escot,escot,43.080384758621,-0.57280179310345
25623,64,64207,64870,Escou,escou,43.18354,-0.53237659793814
25624,64,64208,64160,Escoubès,escoubes,43.417127894737,-0.24024557894737
25625,64,64209,64870,Escout,escout,43.186766734694,-0.55137979591837
25626,64,64210,64350,Escurès,escures,43.46531038961,-0.12446233766234
25627,64,64211,64420,Eslourenties-Daban,eslourenties daban,43.300258859649,-0.14242140350877
25628,64,64212,64160,Espéchède,espechede,43.318172519084,-0.19345839694656
25629,64,64213,64250,Espelette,espelette,43.342354953271,-1.4537348130841
25630,64,64214,64130,Espès-Undurein,espes undurein,43.273379438202,-0.88872747191011
25631,64,64215,64390,Espiute,espiute,43.352676385542,-0.91260192771084
25632,64,64216,64420,Espoey,espoey,43.249132564103,-0.16006974358974
25633,64,64217,64400,Esquiule,esquiule,43.1875893531,-0.7231225606469
25634,64,64218,64220,Estérençuby,esterencuby,43.09102699422,-1.1710462427746
25635,64,64219,64290,Estialescq,estialescq,43.221778780488,-0.5465912195122
25636,64,64220,64400,Estos,estos,43.215124823529,-0.60497505882353
25637,64,64221,64120,Etcharry,etcharry,43.333151914894,-0.92540824468085
25638,64,64222,64470,Etchebar,etchebar,43.068284545455,-0.90155623376623
25639,64,64223,64490,Etsaut,etsaut,42.897507228261,-0.53118543478261
25640,64,64224,64400,Eysus,eysus,43.136058782609,-0.58425504347826
25641,64,64225,64570,Ance Féas,ance feas,43.16317128655,-0.69468385964912
25642,64,64226,64410,Fichous-Riumayou,fichous riumayou,43.488536518519,-0.44009266666667
25643,64,64227,64160,Gabaston,gabaston,43.360856688742,-0.21478092715232
25644,64,64228,64120,Gabat,gabat,43.377992781457,-1.0286770198675
25645,64,64229,64220,Gamarthe,gamarthe,43.193740567376,-1.1383494326241
25646,64,64230,64290,Gan,gan,43.19908518797,-0.40756736842105
25647,64,64231,64130,Garindein,garindein,43.223032946429,-0.92946142857143
25648,64,64232,64450,Garlède-Mondebat,garlede mondebat,43.516041428571,-0.33223678571429
