id,department_code,insee_code,zip_code,-SEINE-ET-MARNE,slug,gps_lat,gps_lng
31087,77,77467,77130,La Tombe,la tombe,48.388231707317,3.0907485365854
31088,77,77468,77200,Torcy,torcy,48.849049066667,2.6531513333333
31089,77,77469,77131,Touquin,touquin,48.729148363636,3.0297355454546
31090,77,77470,77220,Tournan-en-Brie,tournan en brie,48.742532293578,2.7732591743119
31091,77,77471,77123,Tousson,tousson,48.345965595238,2.4569103571429
31092,77,77472,77510,La Trétoire,la tretoire,48.882006865672,3.2475864925373
31093,77,77473,77710,Treuzy-Levelay,treuzy levelay,48.273162421875,2.79734609375
31094,77,77474,77450,Trilbardou,trilbardou,48.947062105263,2.7955353947368
31095,77,77475,77470,Trilport,trilport,48.950545138889,2.9653093055556
31096,77,77476,77440,Trocy-en-Multien,trocy en multien,49.040464157303,2.9650642696629
31097,77,77477,77760,Ury,ury,48.343036612903,2.5984237096774
31098,77,77478,77260,Ussy-sur-Marne,ussy sur marne,48.969064369748,3.0854411764706
31099,77,77479,77360,Vaires-sur-Marne,vaires sur marne,48.869276229508,2.6309496721312
31100,77,77480,77830,Valence-en-Brie,valence en brie,48.446801568627,2.8919567647059
31101,77,77481,77370,Vanvillé,vanville,48.556009552239,3.1099755223881
31102,77,77482,77130,Varennes-sur-Seine,varennes sur seine,48.370141954023,2.9384132183908
31103,77,77483,77910,Varreddes,varreddes,49.004943396226,2.9277362264151
31104,77,77484,77580,Vaucourtois,vaucourtois,48.898765744681,2.9548036170213
31105,77,77485,77123,Le Vaudoué,le vaudoue,48.344625802469,2.5208559259259
31106,77,77486,77141,Vaudoy-en-Brie,vaudoy en brie,48.698489846154,3.0797466153846
31107,77,77487,77000,Vaux-le-Pénil,vaux le penil,48.519785288462,2.7013059615385
31108,77,77489,77710,Vaux-sur-Lunain,vaux sur lunain,48.216213643411,2.9588308527132
31109,77,77490,77440,Vendrest,vendrest,49.041247636364,3.1100535454545
31110,77,77492,77510,Verdelot,verdelot,48.88077619469,3.3684751769911
31111,77,77493,77390,Verneuil-l'Étang,verneuil l etang,48.636854358974,2.822348974359
31112,77,77494,77670,Vernou-la-Celle-sur-Seine,vernou la celle sur seine,48.403032477064,2.8626955045872
31113,77,77495,77240,Vert-Saint-Denis,vert saint denis,48.565688924731,2.6278144086022
31114,77,77496,77370,Vieux-Champagne,vieux champagne,48.586888641975,3.1357543209877
31115,77,77498,77450,Vignely,vignely,48.932667931034,2.8132117241379
31116,77,77500,77710,Villebéon,villebeon,48.204913495146,2.9277075728155
31117,77,77501,77250,Villecerf,villecerf,48.327302941176,2.8556478431373
31118,77,77504,77710,Villemaréchal,villemarechal,48.271685234375,2.866432734375
31119,77,77505,77470,Villemareuil,villemareuil,48.924318064516,2.9766820967742
31120,77,77506,77250,Villemer,villemer,48.305109865772,2.8127254362416
31121,77,77507,77480,Villenauxe-la-Petite,villenauxe la petite,48.398600331126,3.3073772847682
31122,77,77508,77174,Villeneuve-le-Comte,villeneuve le comte,48.814508333333,2.8288152380952
31123,77,77509,77154,Villeneuve-les-Bordes,villeneuve les bordes,48.502164271845,3.0306527184466
31124,77,77510,77174,Villeneuve-Saint-Denis,villeneuve saint denis,48.812895606061,2.7974586363636
31125,77,77511,77230,Villeneuve-sous-Dammartin,villeneuve sous dammartin,49.028335076923,2.6311112307692
31126,77,77512,77510,Villeneuve-sur-Bellot,villeneuve sur bellot,48.875277615385,3.3321200769231
31127,77,77513,77124,Villenoy,villenoy,48.946831627907,2.8556053488372
