,,,,-ILE-ET-VILAINE,,,
13675,35,35223,35380,Plélan-le-Grand,plelan le grand,47.993847859155,-2.084400056338
13676,35,35224,35540,Plerguer,plerguer,48.526098517241,-1.8461632758621
13677,35,35225,35720,Plesder,plesder,48.416375064103,-1.9313754487179
13678,35,35226,35720,Pleugueneuc,pleugueneuc,48.396743539823,-1.8772127433628
13679,35,35227,35137,Pleumeleuc,pleumeleuc,48.180047649402,-1.8915753784861
13680,35,35228,35730,Pleurtuit,pleurtuit,48.58295859375,-2.060034375
13681,35,35229,35500,Pocé-les-Bois,poce les bois,48.113370526316,-1.2652540191388
13682,35,35230,35420,Poilley,poilley,48.466686779661,-1.2519201694915
13683,35,35231,35320,Poligné,poligne,47.902000821918,-1.6837971232877
13684,35,35232,35210,Princé,prince,48.234847835052,-1.0993206701031
13685,35,35233,35190,Québriac,quebriac,48.359341525424,-1.8139216384181
13686,35,35234,35290,Quédillac,quedillac,48.237513,-2.1491875217391
13687,35,35235,35130,Rannée,rannee,47.901445146067,-1.2364948764045
13688,35,35236,35600,Redon,redon,47.659062966102,-2.0828690677966
13689,35,35237,35660,Renac,renac,47.725559719101,-1.9805247191011
13690,35,35238,35000,Rennes,rennes,48.1173421,-1.7075198
13691,35,35238,35200,Rennes,rennes,48.0906507,-1.6654261
13692,35,35238,35700,Rennes,rennes,48.1330952,-1.648998
13693,35,35239,35240,Retiers,retiers,47.914589437751,-1.3372985943775
13694,35,35240,35650,Le Rheu,le rheu,48.10224255814,-1.7870744186047
13695,35,35241,35780,La Richardais,la richardais,48.610484942529,-2.0400273563218
13696,35,35242,35560,Rimou,rimou,48.385393026316,-1.5266707894737
13697,35,35243,35133,Romagné,romagne,48.337759616438,-1.2604874246575
13698,35,35244,35490,Romazy,romazy,48.380676044776,-1.4955562686567
13699,35,35245,35850,Romillé,romille,48.224644858156,-1.8811064184397
13700,35,35246,35120,Roz-Landrieux,roz landrieux,48.537481007752,-1.8200811627907
13701,35,35247,35610,Roz-sur-Couesnon,roz sur couesnon,48.582441478261,-1.5981133913043
13702,35,35248,35610,Sains,sains,48.55822010101,-1.5997329292929
13703,35,35249,35390,Sainte-Anne-sur-Vilaine,sainte anne sur vilaine,47.735200427807,-1.7995945989305
13704,35,35250,35230,Saint-Armel,saint armel,48.015251764706,-1.5761021568628
13705,35,35251,35250,Saint-Aubin-d'Aubigné,saint aubin d aubigne,48.254822610294,-1.5930686397059
13706,35,35252,35500,Saint-Aubin-des-Landes,saint aubin des landes,48.098925708502,-1.2937076923077
13707,35,35253,35140,Saint-Aubin-du-Cormier,saint aubin du cormier,48.261642142857,-1.425934047619
13708,35,35255,35114,Saint-Benoît-des-Ondes,saint benoit des ondes,48.61284862069,-1.8623253448276
13709,35,35256,35800,Saint-Briac-sur-Mer,saint briac sur mer,48.622312522124,-2.1351899115044
13710,35,35257,35460,Maen Roch,maen roch,48.403127336683,-1.3475896231156
13711,35,35258,35630,Saint-Brieuc-des-Iffs,saint brieuc des iffs,48.303757475728,-1.8447985436893
13712,35,35259,35120,Saint-Broladre,saint broladre,48.572689622641,-1.6618666037736
13713,35,35260,35210,Saint-Christophe-des-Bois,saint christophe des bois,48.226291640625,-1.236362578125
13714,35,35261,35140,Saint-Christophe-de-Valains,saint christophe de valains,48.342013578947,-1.4485155789474
13715,35,35262,35134,Sainte-Colombe,sainte colombe,47.891455204678,-1.458477368421
13716,35,35263,35350,Saint-Coulomb,saint coulomb,48.683644237288,-1.9308364745763
13717,35,35264,35220,Saint-Didier,saint didier,48.0928602,-1.356977
13718,35,35265,35190,Saint-Domineuc,saint domineuc,48.370205186916,-1.8700671028037
13719,35,35266,35230,Saint-Erblon,saint erblon,48.020263072917,-1.6455130729167
13720,35,35268,35550,Saint-Ganton,saint ganton,47.767491235955,-1.892212247191
13721,35,35269,35140,Saint-Georges-de-Chesné,saint georges de chesne,48.271353945578,-1.306063877551
13722,35,35270,35610,Saint-Georges-de-Gréhaigne,saint georges de grehaigne,48.572826530612,-1.5475803061225
13723,35,35271,35420,Saint-Georges-de-Reintembault,saint georges de reintembault,48.510931577381,-1.2304726488095
13724,35,35272,35370,Saint-Germain-du-Pinel,saint germain du pinel,48.004591986301,-1.1688023287671
13725,35,35273,35133,Saint-Germain-en-Coglès,saint germain en cogles,48.395573556231,-1.2653161702128
13726,35,35274,35250,Saint-Germain-sur-Ille,saint germain sur ille,48.252417051282,-1.649337948718
13727,35,35275,35590,Saint-Gilles,saint gilles,48.15300812749,-1.8504637848606
13728,35,35276,35630,Saint-Gondran,saint gondran,48.268683043478,-1.8256657971015
13729,35,35277,35750,Saint-Gonlay,saint gonlay,48.112337125748,-2.0796762874251
13730,35,35278,35760,Saint-Grégoire,saint gregoire,48.158686196319,-1.6796483435583
13731,35,35279,35430,Saint-Guinoux,saint guinoux,48.580484090909,-1.8927695454545
13732,35,35280,35140,Saint-Hilaire-des-Landes,saint hilaire des landes,48.339233843284,-1.3707699253731
13733,35,35281,35136,Saint-Jacques-de-la-Lande,saint jacques de la lande,48.074071851852,-1.7241746666667
13734,35,35282,35140,Saint-Jean-sur-Couesnon,saint jean sur couesnon,48.279404541284,-1.3706797706422
13735,35,35283,35220,Saint-Jean-sur-Vilaine,saint jean sur vilaine,48.123096787565,-1.3342273575129
13736,35,35284,35430,Saint-Jouan-des-Guérets,saint jouan des guerets,48.601694602273,-1.9678477272727
13737,35,35285,35550,Saint-Just,saint just,47.761221347518,-1.97246
13738,35,35286,35270,Saint-Léger-des-Prés,saint leger des pres,48.388140549451,-1.6582492307692
13739,35,35287,35800,Saint-Lunaire,saint lunaire,48.627823670886,-2.1008144303798
13740,35,35288,35400,Saint-Malo,saint malo,48.651968295964,-2.0027856352765
13741,35,35289,35480,Saint-Malo-de-Phily,saint malo de phily,47.866185309734,-1.8075602654867
13742,35,35290,35750,Saint-Malon-sur-Mel,saint malon sur mel,48.096692554348,-2.1048139673913
13743,35,35291,35120,Saint-Marcan,saint marcan,48.584725972222,-1.6239993055556
13744,35,35292,35460,Saint-Marc-le-Blanc,saint marc le blanc,48.372826989247,-1.410930483871
13745,35,35293,35140,Saint-Marc-sur-Couesnon,saint marc sur couesnon,48.306382983193,-1.3687286134454
13746,35,35294,35600,Sainte-Marie,sainte marie,47.698563508772,-2.0061692982456
13747,35,35295,35750,Saint-Maugan,saint maugan,48.134570973451,-2.1011333628319
13748,35,35296,35250,Saint-Médard-sur-Ille,saint medard sur ille,48.268563809524,-1.6833047142857
13749,35,35297,35290,Saint-Méen-le-Grand,saint meen le grand,48.194609558011,-2.1933156906077
13750,35,35299,35350,Saint-Méloir-des-Ondes,saint meloir des ondes,48.635668492462,-1.9056518090452
13751,35,35300,35500,Saint-M'Hervé,saint m herve,48.172889209184,-1.1081913265306
13752,35,35301,35360,Saint-M'Hervon,saint m hervon,48.229876538462,-2.0646876923077
13753,35,35302,35290,Saint-Onen-la-Chapelle,saint onen la chapelle,48.168672315789,-2.1548253157895
13754,35,35303,35460,Saint-Ouen-la-Rouërie,saint ouen la rouerie,48.453282186495,-1.4369318971061
13755,35,35304,35140,Saint-Ouen-des-Alleux,saint ouen des alleux,48.328922136364,-1.4240765
13756,35,35305,35380,Saint-Péran,saint peran,48.05752,-2.065620647482
13757,35,35306,35430,Saint-Père,saint pere,48.586162051282,-1.930246
13758,35,35307,35190,Saint-Pern,saint pern,48.277764,-1.9840607857143
13759,35,35308,35720,Saint-Pierre-de-Plesguen,saint pierre de plesguen,48.458786774194,-1.8903791129032
13760,35,35309,35560,Saint-Rémy-du-Plain,saint remy du plain,48.376684422111,-1.5661203015075
13761,35,35310,35133,Saint-Sauveur-des-Landes,saint sauveur des landes,48.34711010989,-1.3145554945055
13762,35,35311,35330,Saint-Séglin,saint seglin,47.850808275862,-2.0299381034483
13763,35,35312,35580,Saint-Senoux,saint senoux,47.916271517241,-1.7887155172414
13764,35,35314,35430,Saint-Suliac,saint suliac,48.571344090909,-1.9669324545455
13765,35,35315,35250,Saint-Sulpice-la-Forêt,saint sulpice la foret,48.212438108108,-1.571915
13766,35,35316,35390,Saint-Sulpice-des-Landes,saint sulpice des landes,47.771374217687,-1.6241461904762
