,,,,-LOT-ET-GARONNE,,,
17692,47,47277,47180,Saint-Sauveur-de-Meilhan,saint sauveur de meilhan,44.491859787234,-0.00683390070922
17693,47,47278,47120,Saint-Sernin,saint sernin,44.709041235294,0.23800858823529
17694,47,47279,47220,Saint-Sixte,saint sixte,44.126495102041,0.778925
17695,47,47280,47140,Saint-Sylvestre-sur-Lot,saint sylvestre sur lot,44.421262405063,0.80508050632911
17696,47,47281,47270,Saint-Urcisse,saint urcisse,44.162559016393,0.83283991803279
17697,47,47282,47310,Saint-Vincent-de-Lamontjoie,saint vincent de lamontjoie,44.092758636364,0.497585
17698,47,47283,47500,Saint-Vite,saint vite,44.465706393443,0.93571098360656
17699,47,47284,47150,Salles,salles,44.533003762887,0.88637226804124
17700,47,47285,47250,Samazan,samazan,44.436447040816,0.1101543877551
17701,47,47286,47420,Sauméjan,saumejan,44.22249496732,-0.03399620915033
17702,47,47287,47600,Saumont,saumont,44.127595185185,0.45292734567901
17703,47,47288,47340,Sauvagnas,sauvagnas,44.246893149606,0.74586826771654
17704,47,47289,47270,La Sauvetat-de-Savères,la sauvetat de saveres,44.233245495495,0.79712144144144
17705,47,47290,47800,La Sauvetat-du-Dropt,la sauvetat du dropt,44.647829034091,0.33292051136364
17706,47,47291,47150,La Sauvetat-sur-Lède,la sauvetat sur lede,44.481436092715,0.71911973509934
17707,47,47292,47500,Sauveterre-la-Lémance,sauveterre la lemance,44.585809461538,1.0370152307692
17708,47,47293,47220,Sauveterre-Saint-Denis,sauveterre saint denis,44.146878103448,0.70247551724138
17709,47,47294,47120,Savignac-de-Duras,savignac de duras,44.711544702703,0.18947708108108
17710,47,47295,47150,Savignac-sur-Leyze,savignac sur leyze,44.482531271186,0.79489720338983
17711,47,47296,47410,Ségalas,segalas,44.589574586466,0.53270563909774
17712,47,47297,47360,Sembas,sembas,44.321082941176,0.64331990196078
17713,47,47298,47430,Sénestis,senestis,44.425935853659,0.24068743902439
17714,47,47299,47410,Sérignac-Péboudou,serignac peboudou,44.616853687151,0.5326217877095
17715,47,47300,47310,Sérignac-sur-Garonne,serignac sur garonne,44.210536333333,0.49060588888889
17716,47,47301,47350,Seyches,seyches,44.549719214876,0.29596632231405
17717,47,47302,47170,Sos,sos,44.054184106667,0.12897762666667
17718,47,47303,47120,Soumensac,soumensac,44.686610054645,0.34015322404372
17719,47,47304,47200,Taillebourg,taillebourg,44.446457798165,0.20721550458716
17720,47,47305,47270,Tayrac,tayrac,44.205346713287,0.83651258741259
17721,47,47306,47110,Le Temple-sur-Lot,le temple sur lot,44.372443031915,0.52505526595745
17722,47,47307,47370,Thézac,thezac,44.431103255814,1.019007751938
17723,47,47308,47230,Thouars-sur-Garonne,thouars sur garonne,44.2507174,0.32949
17724,47,47309,47380,Tombebœuf,tombeboeuf,44.522024065934,0.45396234432234
17725,47,47310,47400,Tonneins,tonneins,44.383128398058,0.33676844660194
17726,47,47311,47210,Tourliac,tourliac,44.68143125,0.80430220588235
17727,47,47312,47370,Tournon-d'Agenais,tournon d agenais,44.396138445596,0.99574730569948
17728,47,47313,47380,Tourtrès,tourtres,44.509562921348,0.42043494382022
17729,47,47314,47140,Trémons,tremons,44.417173410853,0.89342124031008
17730,47,47315,47140,Trentels,trentels,44.448485555556,0.85955641975309
17731,47,47316,47400,Varès,vares,44.434352592593,0.3608574691358
17732,47,47317,47260,Verteuil-d'Agenais,verteuil d agenais,44.46187464455,0.40631255924171
17733,47,47318,47230,Vianne,vianne,44.213054273504,0.3246241025641
17734,47,47319,47380,Villebramar,villebramar,44.524828165138,0.47012651376147
17735,47,47320,47160,Villefranche-du-Queyran,villefranche du queyran,44.308394213836,0.21587779874214
17736,47,47321,47120,Villeneuve-de-Duras,villeneuve de duras,44.74098620155,0.2386092248062
17737,47,47323,47300,Villeneuve-sur-Lot,villeneuve sur lot,44.433136218274,0.74431441624366
17738,47,47324,47210,Villeréal,villereal,44.634396881188,0.75593084158416
17739,47,47325,47400,Villeton,villeton,44.372031612903,0.27495010752688
17740,47,47326,47200,Virazeil,virazeil,44.507704484536,0.24189046391753
17741,47,47327,47230,Xaintrailles,xaintrailles,44.204407522124,0.25651982300885
17742,47,47328,47370,Saint-Georges,saint georges,44.438683688525,0.93058762295082
