,,,,-SAONE-ET-LOIRE,,,
28588,71,71204,71530,Fragnes-La Loyère,fragnes la loyere,46.841785067568,4.8330033108108
28589,71,71205,71330,Frangy-en-Bresse,frangy en bresse,46.714970232558,5.3339559069767
28590,71,71206,71440,La Frette,la frette,46.638887458564,5.0502157458563
28591,71,71207,71270,Fretterans,fretterans,46.925458787879,5.2909148484849
28592,71,71208,71270,Frontenard,frontenard,46.89891738806,5.1643970149254
28593,71,71209,71580,Frontenaud,frontenaud,46.549695210728,5.2907137547893
28594,71,71210,71960,Fuissé,fuisse,46.280111076923,4.7483175384615
28595,71,71212,71420,Génelard,genelard,46.582334090909,4.2459393939394
28596,71,71213,71290,La Genête,la genete,46.550998823529,5.0488124789916
28597,71,71214,71460,Genouilly,genouilly,46.652032537313,4.5684553731343
28598,71,71215,71590,Gergy,gergy,46.88720452381,4.9275081904762
28599,71,71216,71460,Germagny,germagny,46.673898405797,4.5962997101449
28600,71,71217,71520,Germolles-sur-Grosne,germolles sur grosne,46.27939032967,4.5950495604396
28601,71,71218,71800,Gibles,gibles,46.312845402299,4.3875485632184
28602,71,71219,71240,Gigny-sur-Saône,gigny sur saone,46.651861348315,4.9314664044944
28603,71,71220,71160,Gilly-sur-Loire,gilly sur loire,46.553533241758,3.7944422527472
28604,71,71221,71640,Givry,givry,46.769460509259,4.7615546759259
28605,71,71222,71300,Gourdon,gourdon,46.640228524096,4.4396822289157
28606,71,71223,71990,La Grande-Verrière,la grande verriere,46.970650309735,4.1439481858407
28607,71,71224,71430,Grandvaux,grandvaux,46.505215333333,4.2615497948718
28608,71,71225,71390,Granges,granges,46.728173680982,4.7508548466258
28609,71,71226,71700,Grevilly,grevilly,46.514885205479,4.8186701369863
28610,71,71227,71760,Grury,grury,46.663497671958,3.9211273015873
28611,71,71228,71620,Guerfand,guerfand,46.783360978261,5.0298739130435
28612,71,71229,71160,Les Guerreaux,les guerreaux,46.542436954315,3.9175725888325
28613,71,71230,71130,Gueugnon,gueugnon,46.595766179402,4.0489172425249
28614,71,71231,71220,La Guiche,la guiche,46.535499813665,4.4324610559006
28615,71,71232,71600,Hautefond,hautefond,46.433051818182,4.1669424242424
28616,71,71233,71600,L'Hôpital-le-Mercier,l hopital le mercier,46.392101654676,4.0203847482014
28617,71,71234,71290,Huilly-sur-Seille,huilly sur seille,46.612088205128,5.0527307692308
28618,71,71235,71870,Hurigny,hurigny,46.344609294118,4.7957875294118
28619,71,71236,71960,Igé,ige,46.40653635514,4.740193364486
28620,71,71237,71540,Igornay,igornay,47.059508909091,4.377776
28621,71,71238,71340,Iguerande,iguerande,46.219125151515,4.0738663636364
28622,71,71239,71760,Issy-l'Évêque,issy l eveque,46.713343638344,3.9935816122004
28623,71,71240,71250,Jalogny,jalogny,46.411467647059,4.6358583193277
28624,71,71241,71640,Jambles,jambles,46.775502012579,4.6717972327044
28625,71,71242,71460,Joncy,joncy,46.616739494382,4.5477734831461
28626,71,71243,71480,Joudes,joudes,46.475608343949,5.3404286624204
28627,71,71244,71290,Jouvençon,jouvencon,46.576645606061,5.054355530303
28628,71,71245,71240,Jugy,jugy,46.604938114754,4.8646070491803
28629,71,71246,71440,Juif,juif,46.685352,5.1643789333333
28630,71,71247,71390,Jully-lès-Buxy,jully les buxy,46.692484144737,4.7273435526316
28631,71,71248,71700,Lacrost,lacrost,46.567859302326,4.9387770930233
28632,71,71249,71240,Laives,laives,46.65595640884,4.8316306077348
28633,71,71250,71870,Laizé,laize,46.384351970803,4.8007603649635
28634,71,71251,71190,Laizy,laizy,46.911230481928,4.189052811245
28635,71,71252,71240,Lalheue,lalheue,46.650277874016,4.7965690551181
28636,71,71253,71380,Lans,lans,46.765725494506,4.9298407692308
28637,71,71254,71270,Lays-sur-le-Doubs,lays sur le doubs,46.92171446281,5.2400513223141
28638,71,71255,71140,Lesme,lesme,46.644498709677,3.7231746774194
28639,71,71256,71440,Lessard-en-Bresse,lessard en bresse,46.739710287356,5.0786694252874
28640,71,71257,71530,Lessard-le-National,lessard le national,46.873909125,4.8441025
28641,71,71258,71570,Leynes,leynes,46.263847058824,4.7300197647059
28642,71,71259,71110,Ligny-en-Brionnais,ligny en brionnais,46.24481032,4.1974684
28643,71,71261,71290,Loisy,loisy,46.592699491525,5.012084279661
28644,71,71262,71270,Longepierre,longepierre,46.932877567568,5.2008727702703
28645,71,71263,71500,Louhans,louhans,46.632875888502,5.2417888850174
28646,71,71264,71250,Lournand,lournand,46.466925333333,4.6541349444444
28647,71,71266,71540,Lucenay-l'Évêque,lucenay l eveque,47.088832929293,4.2545938383838
28648,71,71267,71260,Lugny,lugny,46.483756546763,4.8190489928058
28649,71,71268,71120,Lugny-lès-Charolles,lugny les charolles,46.41059486631,4.2072075401069
28650,71,71269,71100,Lux,lux,46.750548933333,4.8493125333333
28651,71,71270,71000,Mâcon,macon,46.314133112583,4.8113324503311
28652,71,71271,71340,Mailly,mailly,46.228311029412,4.1077569117647
28653,71,71272,71460,Malay,malay,46.566203952096,4.6769977844311
28654,71,71273,71140,Maltat,maltat,46.671111317829,3.8160310077519
28655,71,71274,71240,Mancey,mancey,46.569495034965,4.8455566433566
28656,71,71275,71110,Marcigny,marcigny,46.276215208333,4.0442541666667
28657,71,71276,71120,Marcilly-la-Gueurce,marcilly la gueurce,46.398723207547,4.3047235849057
28658,71,71277,71390,Marcilly-lès-Buxy,marcilly les buxy,46.730725173611,4.5855404861111
28659,71,71278,71300,Marigny,marigny,46.678435590909,4.4617389545455
28660,71,71279,71220,Le Rousset-Marizy,le rousset marizy,46.57095815,4.43120045
28661,71,71280,71760,Marly-sous-Issy,marly sous issy,46.732439812734,3.9344002996255
28662,71,71281,71420,Marly-sur-Arroux,marly sur arroux,46.627198068182,4.1234788068182
28663,71,71282,71710,Marmagne,marmagne,46.844182360515,4.3712021888412
28664,71,71283,71240,Marnay,marnay,46.701135568182,4.9152465909091
28665,71,71284,71700,Martailly-lès-Brancion,martailly les brancion,46.534400609756,4.7910035365854
28666,71,71285,71220,Martigny-le-Comte,martigny le comte,46.535256071429,4.3401052678571
28667,71,71286,71300,Mary,mary,46.61100142132,4.5056527411167
28668,71,71287,71250,Massilly,massilly,46.489906320755,4.6720925471698
28669,71,71289,71520,Matour,matour,46.3136435,4.4827209
28670,71,71290,71250,Mazille,mazille,46.391884477612,4.6000271641791
28671,71,71291,71340,Melay,melay,46.206442210145,4.0072075724638
28672,71,71292,71640,Mellecey,mellecey,46.814295833333,4.7618362820513
28673,71,71293,71470,Ménetreuil,menetreuil,46.584083576642,5.1209758029197
28674,71,71294,71640,Mercurey,mercurey,46.83138965035,4.7250501398601
28675,71,71295,71310,Mervans,mervans,46.79426286802,5.1925693908629
28676,71,71296,71390,Messey-sur-Grosne,messey sur grosne,46.645046470588,4.7528822222222
28677,71,71297,71190,Mesvres,mesvres,46.868992689394,4.2515921969697
28678,71,71299,71960,Milly-Lamartine,milly lamartine,46.34849,4.6978446153846
28679,71,71300,71480,Le Miroir,le miroir,46.547963417266,5.3381539208633
28680,71,71301,71140,Mont,mont,46.631347876106,3.8206033185841
28681,71,71302,71390,Montagny-lès-Buxy,montagny les buxy,46.705747692308,4.6724810769231
28682,71,71303,71500,Montagny-près-Louhans,montagny pres louhans,46.658034457831,5.2831242771084
28683,71,71304,71520,Montagny-sur-Grosne,montagny sur grosne,46.355222101449,4.5462062318841
28684,71,71305,71260,Montbellet,montbellet,46.474184431138,4.8716202994012
28685,71,71306,71300,Montceau-les-Mines,montceau les mines,46.675993393939,4.3506550909091
28686,71,71307,71110,Montceaux-l'Étoile,montceaux l etoile,46.358798716814,4.0509160619469
28687,71,71308,71240,Montceaux-Ragny,montceaux ragny,46.618879833333,4.8434998333333
28688,71,71309,71710,Montcenis,montcenis,46.786353467742,4.392942983871
28689,71,71310,71210,Montchanin,montchanin,46.749296142857,4.4805854285714
28690,71,71311,71500,Montcony,montcony,46.695798014706,5.2963830882353
28691,71,71312,71620,Montcoy,montcoy,46.801037875,5.001179
28692,71,71313,71400,Monthelon,monthelon,46.957624340659,4.2198625824176
28693,71,71314,71310,Montjay,montjay,46.8069301875,5.3036269375
28694,71,71315,71270,Mont-lès-Seurre,mont les seurre,46.952156639344,5.1300303278688
28695,71,71316,71520,Montmelard,montmelard,46.33585631068,4.4131116504854
28696,71,71317,71320,Montmort,montmort,46.74450852071,4.0935895266272
28697,71,71318,71470,Montpont-en-Bresse,montpont en bresse,46.541177438692,5.1760052316076
28698,71,71319,71440,Montret,montret,46.679010663265,5.1143638265306
28699,71,71320,71300,Mont-Saint-Vincent,mont saint vincent,46.646448154762,4.4892361309524
28700,71,71321,71510,Morey,morey,46.790577096774,4.5874384516129
28701,71,71322,71360,Morlet,morlet,46.95158785124,4.5014076033058
28702,71,71323,71220,Mornay,mornay,46.495993084112,4.3759124299065
28703,71,71324,71390,Moroges,moroges,46.748581428571,4.6758796103896
28704,71,71325,71160,La Motte-Saint-Jean,la motte saint jean,46.516424635762,3.9580734437086
28705,71,71326,71270,Mouthier-en-Bresse,mouthier en bresse,46.863071086262,5.3832392332268
28706,71,71327,71170,Mussy-sous-Dun,mussy sous dun,46.241193898305,4.3390602542373
28707,71,71328,71240,Nanton,nanton,46.616035441176,4.8202829411765
28708,71,71329,71270,Navilly,navilly,46.924768153846,5.1464809230769
28709,71,71330,71130,Neuvy-Grandchamp,neuvy grandchamp,46.596390661578,3.9229605597964
28710,71,71331,71600,Nochize,nochize,46.399554840764,4.1687529936306
28711,71,71332,71290,Ormes,ormes,46.638131209677,4.9684881451613
28712,71,71333,71380,Oslon,oslon,46.777967738095,4.9339175
28713,71,71334,71420,Oudry,oudry,46.576212954545,4.1640904545455
28714,71,71335,71800,Ouroux-sous-le-Bois-Sainte-Marie,ouroux sous le bois sainte marie,46.361433295455,4.3108704545455
28715,71,71336,71370,Ouroux-sur-Saône,ouroux sur saone,46.7274735,4.9562629444444
28716,71,71337,71800,Oyé,oye,46.331121048951,4.1948248251748
28717,71,71338,71700,Ozenay,ozenay,46.534168680556,4.844715625
28718,71,71339,71120,Ozolles,ozolles,46.390756951872,4.3501899465241
28719,71,71340,71430,Palinges,palinges,46.550129267399,4.2013982783883
28720,71,71341,71350,Palleau,palleau,46.962189821429,5.0217636904762
28721,71,71342,71600,Paray-le-Monial,paray le monial,46.451169583333,4.1124596590909
28722,71,71343,71150,Paris-l'Hôpital,paris l hopital,46.913639032258,4.6381748387097
28723,71,71344,71220,Passy,passy,46.541535652174,4.5354449275362
28724,71,71345,71260,Péronne,peronne,46.439791818182,4.8026027272727
28725,71,71346,71420,Perrecy-les-Forges,perrecy les forges,46.617808992806,4.2314252877698
28726,71,71347,71510,Perreuil,perreuil,46.822553727273,4.5653313636364
28727,71,71348,71160,Perrigny-sur-Loire,perrigny sur loire,46.547888553191,3.8612274893617
28728,71,71349,71400,La Petite-Verrière,la petite verriere,47.044352896175,4.1629097814208
28729,71,71350,71960,Pierreclos,pierreclos,46.334092773109,4.6735477310924
28730,71,71351,71270,Pierre-de-Bresse,pierre de bresse,46.877055,5.2575306465517
28731,71,71352,71330,Le Planois,le planois,46.788152167832,5.3201620979021
28732,71,71353,71700,Plottes,plottes,46.533595465839,4.8840298136646
28733,71,71354,71600,Poisson,poisson,46.3817388,4.1387446
28734,71,71355,71270,Pontoux,pontoux,46.909706754386,5.1233085087719
28735,71,71356,71230,Pouilloux,pouilloux,46.610171690141,4.3528609859155
28736,71,71357,71270,Pourlans,pourlans,46.960411862069,5.2409962068965
28737,71,71358,71220,Pressy-sous-Dondin,pressy sous dondin,46.477118738739,4.501325045045
28738,71,71359,71290,Préty,prety,46.538659759036,4.9566159036145
