,,,,-ORNE,,,
23830,61,61215,61170,Laleu,laleu,48.538991654676,0.36548071942446
23831,61,61216,61320,La Lande-de-Goult,la lande de goult,48.589454534884,-0.06055273255814
23832,61,61217,61210,La Lande-de-Lougé,la lande de louge,48.700088061224,-0.2501637755102
23833,61,61218,61100,La Lande-Patry,la lande patry,48.753951666667,-0.60030803571429
23834,61,61219,61100,La Lande-Saint-Siméon,la lande saint simeon,48.827249363636,-0.43570736363636
23835,61,61221,61100,Landigou,landigou,48.7447734375,-0.47230197916667
23836,61,61222,61100,Landisacq,landisacq,48.751794553571,-0.65616642857143
23837,61,61224,61250,Larré,larre,48.492685892857,0.16705625
23838,61,61225,61240,Lignères,ligneres,48.738804,0.30730023529412
23839,61,61227,61220,Lignou,lignou,48.676085526316,-0.33905271929825
23840,61,61228,61420,Livaie,livaie,48.509293490566,-0.04321641509434
23841,61,61229,61400,Loisail,loisail,48.50570704918,0.58582885245902
23842,61,61230,61290,Longny les Villages,longny les villages,48.533793990228,0.76958267100977
23843,61,61231,61320,Longuenoë,longuenoe,48.513557092199,-0.06655567375887
23844,61,61232,61700,Lonlay-l'Abbaye,lonlay l abbaye,48.653990022779,-0.70111858769932
23845,61,61233,61600,Lonlay-le-Tesson,lonlay le tesson,48.650597407407,-0.34000268518519
23846,61,61234,61250,Lonrai,lonrai,48.451351809524,0.0267100952381
23847,61,61237,61150,Lougé-sur-Maire,louge sur maire,48.698184047619,-0.21991458333333
23848,61,61238,61160,Louvières-en-Auge,louvieres en auge,48.871331016949,0.02746949152542
23849,61,61240,61500,Macé,mace,48.652500310881,0.13149606217617
23850,61,61241,61110,La Madeleine-Bouvet,la madeleine bouvet,48.467571166667,0.89584741666667
23851,61,61242,61290,Le Mage,le mage,48.500702171429,0.80902011428571
23852,61,61243,61600,Magny-le-Désert,magny le desert,48.565810614035,-0.32102409356725
23853,61,61244,61380,Mahéru,maheru,48.6550084689,0.44437660287081
23854,61,61248,61350,Mantilly,mantilly,48.506585378378,-0.81991024324324
23855,61,61251,61170,Marchemaisons,marchemaisons,48.525346936937,0.31583882882883
23856,61,61252,61230,Mardilly,mardilly,48.828046521739,0.26666565217391
23857,61,61255,61400,Mauves-sur-Huisne,mauves sur huisne,48.443813430657,0.60671620437956
