id,department_code,insee_code,zip_code,-AUDE,slug,gps_lat,gps_lng
3780,11,11153,11270,La Force,la force,43.197286075949,2.0843167088608
3781,11,11154,11600,Fournes-Cabardès,fournes cabardes,43.356050267857,2.4038125
3782,11,11155,11190,Fourtou,fourtou,42.9127053,2.4401016
3783,11,11156,11600,Fraisse-Cabardès,fraisse cabardes,43.32937375,2.271893125
3784,11,11157,11360,Fraissé-des-Corbières,fraisse des corbieres,42.965181025641,2.8577728205128
3785,11,11158,11300,Gaja-et-Villedieu,gaja et villedieu,43.080204434783,2.1831905217391
3786,11,11159,11270,Gaja-la-Selve,gaja la selve,43.199805815603,1.8805197163121
3787,11,11160,11140,Galinagues,galinagues,42.806954385965,2.0449722807017
3788,11,11161,11250,Gardie,gardie,43.072305842697,2.3018965168539
3789,11,11162,11270,Generville,generville,43.210075597015,1.932576641791
3790,11,11163,11140,Gincla,gincla,42.763563142857,2.3276118571429
3791,11,11164,11120,Ginestas,ginestas,43.275610309278,2.8807049484536
3792,11,11165,11500,Ginoles,ginoles,42.864109195402,2.1587702298851
3793,11,11166,11410,Gourvieille,gourvieille,43.336004358974,1.7863382051282
3794,11,11167,11240,Gramazie,gramazie,43.1366506,2.0972538
3795,11,11168,11500,Granès,granes,42.894663829787,2.251669787234
3796,11,11169,11250,Greffeil,greffeil,43.073355,2.3935809649123
3797,11,11170,11430,Gruissan,gruissan,43.103470909091,3.0912295454546
3798,11,11172,11200,Homps,homps,43.26611,2.7233830769231
3799,11,11173,11240,Hounoux,hounoux,43.133447364865,2.0029417567568
3800,11,11174,11380,Les Ilhes,les ilhes,43.354910508475,2.3756208474576
3801,11,11175,11400,Issel,issel,43.363659707602,2.0030021637427
3802,11,11176,11220,Jonquières,jonquieres,43.032216842105,2.7297259210526
3803,11,11177,11140,Joucou,joucou,42.823826210526,2.0843218947368
3804,11,11178,11320,Labastide-d'Anjou,labastide d anjou,43.346750941176,1.8483343529412
3805,11,11179,11220,Labastide-en-Val,labastide en val,43.07161125,2.4719833333333
3806,11,11180,11380,Labastide-Esparbairenque,labastide esparbairenque,43.391656331361,2.4003317159763
3807,11,11181,11400,Labécède-Lauragais,labecede lauragais,43.399664171429,2.0142572571429
3808,11,11182,11310,Lacombe,lacombe,43.407938557214,2.2349386567164
3809,11,11183,11250,Ladern-sur-Lauquet,ladern sur lauquet,43.101257434555,2.3805681675393
3810,11,11184,11420,Lafage,lafage,43.16667785124,1.8665079338843
3811,11,11185,11220,Lagrasse,lagrasse,43.103588712871,2.6062732178218
3812,11,11186,11330,Lairière,lairiere,43.02865,2.4866264705882
3813,11,11187,11330,Lanet,lanet,42.959291590909,2.4851563636364
3814,11,11188,11480,La Palme,la palme,42.958472882883,2.9905493693694
3815,11,11189,11390,Laprade,laprade,43.445343116883,2.2531498701299
3816,11,11190,11700,La Redorte,la redorte,43.246454047619,2.6511446428571
