,,,,-GARD,,,
11311,30,30151,30580,Lussan,lussan,44.17492255102,4.3793999489796
11312,30,30152,30960,Les Mages,les mages,44.226341736111,4.1753795138889
11313,30,30153,30450,Malons-et-Elze,malons et elze,44.426271712062,4.0159954863813
11314,30,30154,30120,Mandagout,mandagout,44.022719272727,3.6261144545455
11315,30,30155,30129,Manduel,manduel,43.810471016949,4.4905669491525
11316,30,30156,30320,Marguerittes,marguerittes,43.863693209877,4.4522930864197
11317,30,30157,30120,Mars,mars,43.99964047619,3.5545823809524
11318,30,30158,30360,Martignargues,martignargues,44.041845543478,4.1770715217391
11319,30,30159,30960,Le Martinet,le martinet,44.252790373134,4.0814330597015
11320,30,30160,30350,Maruéjols-lès-Gardon,maruejols les gardon,44.005087222222,4.13744
11321,30,30161,30350,Massanes,massanes,44.02287516129,4.1121874193548
11322,30,30162,30140,Massillargues-Attuech,massillargues attuech,44.016124444444,4.0211652777778
11323,30,30163,30350,Mauressargues,mauressargues,43.9523775,4.1630696428571
11324,30,30164,30430,Méjannes-le-Clap,mejannes le clap,44.229978681319,4.3615353296703
11325,30,30165,30340,Méjannes-lès-Alès,mejannes les ales,44.102306388889,4.1498997222222
11326,30,30166,30840,Meynes,meynes,43.875953695652,4.55843
11327,30,30167,30410,Meyrannes,meyrannes,44.278431938776,4.1593555102041
11328,30,30168,30140,Mialet,mialet,44.128005591837,3.9361419183673
11329,30,30169,30540,Milhaud,milhaud,43.786501549296,4.3081264084507
11330,30,30170,30120,Molières-Cavaillac,molieres cavaillac,43.968766777778,3.5733233333333
11331,30,30171,30410,Molières-sur-Cèze,molieres sur ceze,44.261486349206,4.1492512698413
11332,30,30172,30170,Monoblet,monoblet,44.001613286713,3.8746211188811
11333,30,30173,30340,Mons,mons,44.12368253012,4.1739428915663
11334,30,30174,30700,Montaren-et-Saint-Médiers,montaren et saint mediers,44.043687304348,4.3816902608696
11335,30,30175,30630,Montclus,montclus,44.268776393443,4.4137312295082
11336,30,30176,30120,Montdardier,montdardier,43.940668356164,3.5900953424657
11337,30,30177,30360,Monteils,monteils,44.086667101449,4.1801879710145
11338,30,30178,30150,Montfaucon,montfaucon,44.080001805556,4.7332029166667
11339,30,30179,30490,Montfrin,montfrin,43.87613984127,4.591356984127
11340,30,30180,30190,Montignargues,montignargues,43.934661587302,4.2083050793651
11341,30,30181,30260,Montmirat,montmirat,43.90526039604,4.1114173267327
11342,30,30182,30730,Montpezat,montpezat,43.852368222222,4.147912
11343,30,30183,30350,Moulézan,moulezan,43.93065258427,4.1282070786517
11344,30,30184,30190,Moussac,moussac,43.980019107143,4.2392075
11345,30,30185,30121,Mus,mus,43.738836849315,4.2000624657534
11346,30,30186,30114,Nages-et-Solorgues,nages et solorgues,43.788786,4.2284224615385
11347,30,30187,30580,Navacelles,navacelles,44.16299,4.2334490666667
11348,30,30188,30360,Ners,ners,44.026723387097,4.1629548387097
11349,30,30189,30000,Nîmes,nimes,43.8791313,4.3770704
