,,,,-VIENNE,,,
33767,86,86200,86460,Pressac,pressac,46.122101568123,0.57643300771208
33768,86,86201,86420,Prinçay,princay,46.925265925926,0.25953138888889
33769,86,86202,86260,La Puye,la puye,46.641924711538,0.74802557692308
33770,86,86203,86150,Queaux,queaux,46.309650451613,0.63950638709677
33771,86,86204,86190,Quinçay,quincay,46.609033363636,0.22439972727273
33772,86,86205,86200,Ranton,ranton,46.997839764706,-0.03489223529412
33773,86,86206,86120,Raslay,raslay,47.111786140351,0.00051140350877
33774,86,86207,86270,La Roche-Posay,la roche posay,46.76929940367,0.81167463302752
33775,86,86209,86340,Roches-Prémarie-Andillé,roches premarie andille,46.476492142857,0.36321107142857
33776,86,86210,86120,Roiffé,roiffe,47.129539652778,0.0549225
33777,86,86211,86700,Romagne,romagne,46.263076885246,0.30825928961749
33778,86,86213,86480,Rouillé,rouille,46.423234370079,0.02051622047244
33779,86,86214,86280,Saint-Benoît,saint benoit,46.545870725806,0.35182661290323
33780,86,86217,86230,Saint-Christophe,saint christophe,46.919887647059,0.37222894117647
33781,86,86218,86330,Saint-Clair,saint clair,46.877305652174,0.06081108695652
33782,86,86220,86400,Saint-Gaudent,saint gaudent,46.114159230769,0.28470628205128
33783,86,86221,86140,Saint-Genest-d'Ambière,saint genest d ambiere,46.823607674419,0.35690348837209
33784,86,86222,86130,Saint-Georges-lès-Baillargeaux,saint georges les baillargeaux,46.664383141026,0.4260308974359
33785,86,86223,86310,Saint-Germain,saint germain,46.5766375,0.8921805952381
33786,86,86224,86230,Saint-Gervais-les-Trois-Clochers,saint gervais les trois clochers,46.896283641975,0.41457407407407
33787,86,86225,86330,Saint-Jean-de-Sauves,saint jean de sauves,46.836037772926,0.08425751091703
33788,86,86226,86800,Saint-Julien-l'Ars,saint julien l ars,46.556373644068,0.50138728813559
33789,86,86227,86200,Saint-Laon,saint laon,46.970489230769,-0.02326197802198
33790,86,86228,86410,Saint-Laurent-de-Jourdes,saint laurent de jourdes,46.393229423077,0.54204788461538
33791,86,86229,86120,Saint-Léger-de-Montbrillais,saint leger de montbrillais,47.081154157303,-0.03915674157303
33792,86,86230,86290,Saint-Léomer,saint leomer,46.410057933884,1.0057111570248
33793,86,86231,86400,Saint-Macoux,saint macoux,46.119578811881,0.22983198019802
33794,86,86233,86300,Valdivienne,valdivienne,46.496081921397,0.63138017467249
33795,86,86234,86350,Saint-Martin-l'Ars,saint martin l ars,46.207595838509,0.55274304347826
33796,86,86235,86160,Saint-Maurice-la-Clouère,saint maurice la clouere,46.385324930876,0.43632797235023
33797,86,86236,86260,Saint-Pierre-de-Maillé,saint pierre de maille,46.68269568421,0.83008522807018
33798,86,86237,86400,Saint-Pierre-d'Exideuil,saint pierre d exideuil,46.155371678832,0.26050897810219
33799,86,86239,86300,Sainte-Radégonde,sainte radegonde,46.620172837838,0.70176418918919
33800,86,86241,86220,Saint-Rémy-sur-Creuse,saint remy sur creuse,46.932859411765,0.67931352941176
33801,86,86242,86250,Saint-Romain,saint romain,46.226967669903,0.38817466019417
33802,86,86244,86600,Saint-Sauvant,saint sauvant,46.355136280193,0.07568487922705
33803,86,86245,86100,Senillé-Saint-Sauveur,senille saint sauveur,46.783797808219,0.63228123287671
33804,86,86246,86310,Saint-Savin,saint savin,46.582003564356,0.85017128712871
33805,86,86247,86400,Saint-Saviol,saint saviol,46.145149716312,0.23055269503546
33806,86,86248,86350,Saint-Secondin,saint secondin,46.325739403974,0.48941298013245
33807,86,86249,86420,Saires,saires,46.890599176471,0.23021117647059
33808,86,86250,86120,Saix,saix,47.134113522727,0.00721761363636
33809,86,86252,86200,Sammarçolles,sammarcolles,47.039303877551,0.16586969387755
33810,86,86253,86600,Sanxay,sanxay,46.494010074906,-0.01135760299625
33811,86,86254,86500,Saulgé,saulge,46.355641440329,0.88625909465021
33812,86,86255,86400,Savigné,savigne,46.16733920398,0.32587174129353
33813,86,86256,86800,Savigny-Lévescault,savigny levescault,46.525078045977,0.48330827586207
33814,86,86257,86140,Savigny-sous-Faye,savigny sous faye,46.872242528736,0.29234574712644
