,,,,-FINISTERE,,,
10690,29,29196,29830,Plouguin,plouguin,48.526644208754,-4.5943414814815
10691,29,29197,29780,Plouhinec,plouhinec,48.012944043478,-4.4832222608696
10692,29,29198,29260,Plouider,plouider,48.604953679525,-4.3025437388724
10693,29,29199,29610,Plouigneau,plouigneau,48.573939581239,-3.7040395812395
10694,29,29201,29810,Ploumoguer,ploumoguer,48.394255676393,-4.7195818302387
10695,29,29202,29410,Plounéour-Ménez,plouneour menez,48.451200968661,-3.884427948718
10696,29,29204,29400,Plounéventer,plouneventer,48.521778442438,-4.2082299774266
10697,29,29205,29270,Plounévézel,plounevezel,48.314522942708,-3.57483109375
10698,29,29206,29430,Plounévez-Lochrist,plounevez lochrist,48.627816657963,-4.2015161618799
10699,29,29207,29600,Plourin-lès-Morlaix,plourin les morlaix,48.523542421053,-3.8007746842105
10700,29,29208,29830,Plourin,plourin,48.506116422287,-4.686288856305
10701,29,29209,29860,Plouvien,plouvien,48.536288381201,-4.4725585639687
10702,29,29210,29420,Plouvorn,plouvorn,48.577030844327,-4.0221768337731
10703,29,29211,29690,Plouyé,plouye,48.31656176,-3.74470788
10704,29,29212,29280,Plouzané,plouzane,48.372679065934,-4.6022979395604
10705,29,29213,29440,Plouzévédé,plouzevede,48.594934382979,-4.0971660425532
10706,29,29214,29720,Plovan,plovan,47.941426811594,-4.3490923913043
10707,29,29215,29710,Plozévet,plozevet,47.984918163265,-4.4117180612245
10708,29,29216,29700,Pluguffan,pluguffan,47.971230028736,-4.1853643965517
10709,29,29217,29930,Pont-Aven,pont aven,47.867738106796,-3.7636237864078
10710,29,29218,29790,Pont-Croix,pont croix,48.046400855615,-4.4978717112299
10711,29,29219,29650,Le Ponthou,le ponthou,48.559029431818,-3.6396401136364
10712,29,29220,29120,Pont-l'Abbé,pont l abbe,47.865241538462,-4.2096937912088
10713,29,29221,29840,Porspoder,porspoder,48.499973193277,-4.7644656722689
10714,29,29222,29150,Port-Launay,port launay,48.217223538462,-4.0848467692308
10715,29,29224,29100,Pouldergat,pouldergat,48.039618992248,-4.3290170155039
10716,29,29225,29710,Pouldreuzic,pouldreuzic,47.964603333333,-4.361726793249
10717,29,29226,29100,Poullan-sur-Mer,poullan sur mer,48.078437474227,-4.3965493814433
10718,29,29227,29246,Poullaouen,poullaouen,48.34669129108,-3.620358286385
10719,29,29228,29770,Primelin,primelin,48.026096803279,-4.6034159836066
10720,29,29229,29180,Quéménéven,quemeneven,48.118413114035,-4.142706754386
10721,29,29230,29310,Querrien,querrien,47.96167699005,-3.5499004726368
10722,29,29232,29000,Quimper,quimper,47.990104435096,-4.0919223557692
10723,29,29233,29300,Quimperlé,quimperle,47.853307285714,-3.55980975
10724,29,29234,29300,Rédené,redene,47.8574796,-3.4901213333333
10725,29,29235,29480,Le Relecq-Kerhuon,le relecq kerhuon,48.403106770833,-4.3982771875
10726,29,29236,29340,Riec-sur-Bélon,riec sur belon,47.84257437276,-3.6957466666667
10727,29,29237,29800,La Roche-Maurice,la roche maurice,48.473695695067,-4.1913143049327
10728,29,29238,29570,Roscanvel,roscanvel,48.315167837838,-4.5654237837838
10729,29,29239,29680,Roscoff,roscoff,48.718532845529,-3.9872654471545
10730,29,29240,29590,Rosnoën,rosnoen,48.276635432099,-4.1972392283951
10731,29,29241,29140,Rosporden,rosporden,47.955167159091,-3.8079467613636
10732,29,29243,29150,Saint-Coulitz,saint coulitz,48.176797162162,-4.0716942567568
10733,29,29244,29440,Saint-Derrien,saint derrien,48.546653492823,-4.1815720095694
10734,29,29245,29800,Saint-Divy,saint divy,48.451149064748,-4.3302643884892
10735,29,29246,29460,Saint-Eloy,saint eloy,48.361249677419,-4.1209637788018
10736,29,29247,29170,Saint-Évarzec,saint evarzec,47.957167381703,-4.0088229652997
10737,29,29248,29260,Saint-Frégant,saint fregant,48.60321421875,-4.369060625
10738,29,29249,29520,Saint-Goazec,saint goazec,48.152191891892,-3.7603330888031
10739,29,29250,29270,Saint-Hernin,saint hernin,48.210923024911,-3.6076947330961
10740,29,29251,29630,Saint-Jean-du-Doigt,saint jean du doigt,48.668139633333,-3.7646186333333
10741,29,29252,29120,Saint-Jean-Trolimon,saint jean trolimon,47.870939955157,-4.3090200896861
10742,29,29254,29600,Saint-Martin-des-Champs,saint martin des champs,48.571708088235,-3.8581891666667
10743,29,29255,29260,Saint-Méen,saint meen,48.555318923767,-4.2564934080717
10744,29,29256,29550,Saint-Nic,saint nic,48.2065234,-4.2905781333333
10745,29,29257,29830,Saint-Pabu,saint pabu,48.565019072165,-4.6211938659794
10746,29,29259,29250,Saint-Pol-de-Léon,saint pol de leon,48.672544338983,-3.9835140338983
10747,29,29260,29290,Saint-Renan,saint renan,48.427612466368,-4.6268029147982
10748,29,29261,29190,Saint-Rivoal,saint rivoal,48.347544876543,-4.0005104320988
10749,29,29262,29400,Saint-Sauveur,saint sauveur,48.449849615385,-4.0000920879121
10750,29,29263,29590,Saint-Ségal,saint segal,48.233241791045,-4.0796874129353
10751,29,29264,29400,Saint-Servais,saint servais,48.516357282609,-4.1600501630435
10752,29,29265,29600,Sainte-Sève,sainte seve,48.5574115,-3.8883605
10753,29,29266,29410,Saint-Thégonnec Loc-Eguiner,saint thegonnec loc eguiner,48.510859881188,-3.9370725544554
10754,29,29267,29520,Saint-Thois,saint thois,48.151340184049,-3.9073341717791
10755,29,29268,29800,Saint-Thonan,saint thonan,48.478974756098,-4.3272358536585
10756,29,29269,29380,Saint-Thurien,saint thurien,47.9591588,-3.6192411555555
10757,29,29270,29800,Saint-Urbain,saint urbain,48.391539879518,-4.2271836947791
10758,29,29271,29440,Saint-Vougay,saint vougay,48.589967942387,-4.1461591358025
10759,29,29272,29140,Saint-Yvi,saint yvi,47.959452382353,-3.944246
10760,29,29273,29250,Santec,santec,48.702939021739,-4.0378371195652
10761,29,29274,29390,Scaër,scaer,48.019526343693,-3.723125904936
10762,29,29275,29640,Scrignac,scrignac,48.421732676056,-3.6703770246479
10763,29,29276,29250,Sibiril,sibiril,48.664135798319,-4.0693647058824
10764,29,29277,29450,Sizun,sizun,48.402030071943,-4.0392683213429
10765,29,29278,29540,Spézet,spezet,48.188214148148,-3.693145037037
10766,29,29279,29670,Taulé,taule,48.601286409266,-3.9016933204633
10767,29,29280,29560,Telgruc-sur-Mer,telgruc sur mer,48.22653265873,-4.3613631349206
10768,29,29281,29140,Tourch,tourch,48.029167568807,-3.8198237155963
10769,29,29282,29217,Trébabu,trebabu,48.36986981982,-4.7333601801802
10770,29,29284,29730,Treffiagat,treffiagat,47.803093333333,-4.261149379845
10771,29,29285,29440,Tréflaouénan,treflaouenan,48.62633797619,-4.0965811904762
10772,29,29286,29800,Tréflévénez,treflevenez,48.415131549296,-4.1729195774648
10773,29,29287,29430,Tréflez,treflez,48.636161351351,-4.2628372672673
10774,29,29288,29260,Trégarantec,tregarantec,48.554830740741,-4.2886003703704
10775,29,29289,29560,Trégarvan,tregarvan,48.239389416667,-4.2279900833333
10776,29,29290,29870,Tréglonou,treglonou,48.547471832061,-4.548884351145
10777,29,29291,29970,Trégourez,tregourez,48.10024196,-3.87099188
10778,29,29292,29720,Tréguennec,treguennec,47.887307462687,-4.3352462686567
10779,29,29293,29910,Trégunc,tregunc,47.830385136612,-3.8515175956284
10780,29,29294,29450,Le Tréhou,le trehou,48.400062396694,-4.1343844628099
10781,29,29295,29800,Trémaouézan,tremaouezan,48.509089090909,-4.2541603030303
10782,29,29296,29120,Tréméoc,tremeoc,47.906889082126,-4.222278115942
10783,29,29297,29300,Tréméven,tremeven,47.903272911392,-3.5251681012658
10784,29,29298,29720,Tréogat,treogat,47.909930747664,-4.3353428037383
10785,29,29299,29290,Tréouergat,treouergat,48.498453405797,-4.5999679710145
10786,29,29300,29380,Le Trévoux,le trevoux,47.888765754717,-3.6587069811321
10787,29,29301,29440,Trézilidé,trezilide,48.612825438596,-4.0850518421053
10788,29,29302,29590,Pont-de-Buis-lès-Quimerch,pont de buis les quimerch,48.273994767726,-4.1130399266504
