,,,,-MANCHE,,,
18326,50,50262,50800,La Lande-d'Airou,la lande d airou,48.819804086957,-1.2924715217391
18327,50,50263,50600,Lapenty,lapenty,48.570829277778,-1.0239676666667
18328,50,50265,50430,Laulne,laulne,49.246995431035,-1.4582304310345
18329,50,50266,50450,Lengronne,lengronne,48.934581640625,-1.378863359375
18330,50,50267,50430,Lessay,lessay,49.22507338983,-1.5283086864407
18331,50,50268,50310,Lestre,lestre,49.522429236641,-1.3230699236641
18332,50,50269,50480,Liesville-sur-Douve,liesville sur douve,49.352942692308,-1.3233452564103
18333,50,50270,50700,Lieusaint,lieusaint,49.481198392857,-1.476585625
18334,50,50271,50670,Lingeard,lingeard,48.738077727273,-1.0261373863636
18335,50,50272,50660,Lingreville,lingreville,48.94169556391,-1.5231986466165
18336,50,50273,50250,Montsenelle,montsenelle,49.305688507463,-1.4334902686567
18337,50,50274,50600,Les Loges-Marchis,les loges marchis,48.53715152,-1.08570692
18338,50,50275,50370,Les Loges-sur-Brécey,les loges sur brecey,48.754495603448,-1.1615984482759
18339,50,50276,50530,Lolif,lolif,48.728192150538,-1.3933538709677
18340,50,50277,50290,Longueville,longueville,48.856596117647,-1.5342207058824
18341,50,50278,50510,Le Loreur,le loreur,48.866091219512,-1.4250416260163
18342,50,50279,50570,Le Lorey,le lorey,49.103036686747,-1.3050484939759
18343,50,50281,50320,La Lucerne-d'Outremer,la lucerne d outremer,48.789295542636,-1.4121053488372
18344,50,50282,50870,Le Luot,le luot,48.76372755814,-1.3303299418605
18345,50,50283,50680,La Luzerne,la luzerne,49.139269268293,-1.0458924390244
18346,50,50285,50260,Magneville,magneville,49.453288779343,-1.5529090140845
18347,50,50288,50300,Marcey-les-Grèves,marcey les greves,48.701563517241,-1.3874635172414
18348,50,50289,50190,Marchésieux,marchesieux,49.192146220238,-1.3052072619048
18349,50,50290,50220,Marcilly,marcilly,48.652212473684,-1.2422275263158
18350,50,50291,50410,Margueray,margueray,48.900045,-1.126703125
18351,50,50292,50570,Marigny-Le-Lozon,marigny le lozon,49.131975377359,-1.2659119496855
18352,50,50294,50690,Martinvast,martinvast,49.599791958042,-1.6536088811189
18353,50,50295,50410,Maupertuis,maupertuis,48.962174657534,-1.1935187671233
18354,50,50296,50330,Maupertus-sur-Mer,maupertus sur mer,49.658082702703,-1.486537027027
18355,50,50297,50880,La Meauffe,la meauffe,49.169499435484,-1.0974469354839
18356,50,50298,50500,Méautis,meautis,49.278982898551,-1.3005386956522
18357,50,50299,50580,Le Mesnil,le mesnil,49.374678275862,-1.6949944827586
18358,50,50300,50520,Le Mesnil-Adelée,le mesnil adelee,48.702067386364,-1.0649607954545
18359,50,50301,50450,Le Mesnil-Amand,le mesnil amand,48.876552835821,-1.3638962686567
18360,50,50302,50570,Le Mesnil-Amey,le mesnil amey,49.106310895522,-1.2121435820896
18361,50,50304,50510,Le Mesnil-Aubert,le mesnil aubert,48.944070921053,-1.4144290789474
18362,50,50305,50110,Le Mesnil-au-Val,le mesnil au val,49.597782857143,-1.5194854621849
18363,50,50308,50490,Le Mesnilbus,le mesnilbus,49.134772826087,-1.3537778985507
