,,,,-MEURTHE-ET-MOSELLE,,,
20217,54,54295,54970,Landres,landres,49.317497583333,5.8088185833333
20218,54,54296,54280,Laneuvelotte,laneuvelotte,48.72186578125,6.301218203125
20219,54,54297,54370,Laneuveville-aux-Bois,laneuveville aux bois,48.620667603687,6.6392561290323
20220,54,54298,54570,Laneuveville-derrière-Foug,laneuveville derriere foug,48.708187714286,5.8047222857143
20221,54,54299,54740,Laneuveville-devant-Bayon,laneuveville devant bayon,48.471361,6.2613371666667
20222,54,54300,54410,Laneuveville-devant-Nancy,laneuveville devant nancy,48.650456115108,6.236175323741
20223,54,54301,54760,Lanfroicourt,lanfroicourt,48.808191648352,6.3207524175824
20224,54,54302,54150,Lantéfontaine,lantefontaine,49.251566178862,5.8879902439024
20225,54,54303,54950,Laronxe,laronxe,48.543028,6.5985304705882
20226,54,54304,54520,Laxou,laxou,48.684295172414,6.1372933333333
20227,54,54305,54690,Lay-Saint-Christophe,lay saint christophe,48.754881325301,6.1954408433735
20228,54,54306,54570,Lay-Saint-Remy,lay saint remy,48.682005789474,5.7619065789474
20229,54,54307,54740,Lebeuville,lebeuville,48.434928089888,6.2430814606742
20230,54,54308,54450,Leintrey,leintrey,48.627822804878,6.7417030487805
20231,54,54309,54740,Lemainville,lemainville,48.505277777778,6.1864204761905
20232,54,54310,54740,Leménil-Mitry,lemenil mitry,48.452391639344,6.2558718032787
20233,54,54311,54110,Lenoncourt,lenoncourt,48.66914637037,6.2989151851852
20234,54,54312,54700,Lesménils,lesmenils,48.932425877193,6.1070885087719
20235,54,54313,54610,Létricourt,letricourt,48.875106261682,6.2906868224299
20236,54,54314,54720,Lexy,lexy,49.498790089286,5.7323741071429
20237,54,54315,54760,Leyr,leyr,48.805815050505,6.2717433333333
20238,54,54316,54470,Limey-Remenauville,limey remenauville,48.8888885,5.9075904375
20239,54,54317,54470,Lironville,lironville,48.865823664122,5.9151483969466
20240,54,54318,54460,Liverdun,liverdun,48.75563361809,6.0480395477387
20241,54,54320,54700,Loisy,loisy,48.871677264151,6.102560754717
20242,54,54321,54810,Longlaville,longlaville,49.533196296296,5.7991030864198
20243,54,54322,54260,Longuyon,longuyon,49.456821825397,5.5907635714286
20244,54,54323,54400,Longwy,longwy,49.521585304348,5.7683723478261
20245,54,54324,54290,Lorey,lorey,48.496286153846,6.3161213186813
20246,54,54325,54290,Loromontzey,loromontzey,48.431517454545,6.3716931818182
20247,54,54326,54150,Lubey,lubey,49.245712948718,5.8574242307692
20248,54,54327,54200,Lucey,lucey,48.725943452381,5.833005
