,,,,-HAUTE-VIENNE,,,
34038,87,87188,87700,Saint-Yrieix-sous-Aixe,saint yrieix sous aixe,45.847022108434,1.0572941566265
34039,87,87189,87440,Les Salles-Lavauguyon,les salles lavauguyon,45.743658670886,0.69857981012658
34040,87,87190,87400,Sauviat-sur-Vige,sauviat sur vige,45.905377651007,1.5994184787472
34041,87,87191,87620,Séreilhac,sereilhac,45.75896225641,1.0557688205128
34042,87,87192,87110,Solignac,solignac,45.755998232323,1.2580955050505
34043,87,87193,87130,Surdoux,surdoux,45.604711066667,1.6453904666667
34044,87,87194,87130,Sussac,sussac,45.659153636364,1.6541053475936
34045,87,87195,87360,Tersannes,tersannes,46.294889300699,1.1238166433566
34046,87,87196,87320,Thiat,thiat,46.273862786885,0.97146759562842
34047,87,87197,87140,Thouron,thouron,45.997357337662,1.2194500649351
34048,87,87198,87140,Vaulry,vaulry,46.030899470199,1.0900557615894
34049,87,87199,87600,Vayres,vayres,45.772412650273,0.82116786885246
34050,87,87200,87360,Verneuil-Moustiers,verneuil moustiers,46.334893174603,1.1250024338624
34051,87,87201,87430,Verneuil-sur-Vienne,verneuil sur vienne,45.850127890909,1.1281690181818
34052,87,87202,87520,Veyrac,veyrac,45.904620637255,1.0887880882353
34053,87,87203,87260,Vicq-sur-Breuilh,vicq sur breuilh,45.646835458515,1.3925874672489
34054,87,87204,87600,Videix,videix,45.783046453901,0.73314319148936
34055,87,87205,87110,Le Vigen,le vigen,45.74102764411,1.2828540601504
34056,87,87206,87190,Villefavard,villefavard,46.166494580153,1.2174886259542
