,,,,-LOIRET,,,
17037,45,45279,45220,Saint-Germain-des-Prés,saint germain des pres,47.960427317073,2.8514993170732
17038,45,45280,45500,Saint-Gondon,saint gondon,47.692162658228,2.5328073417722
17039,45,45281,45320,Saint-Hilaire-les-Andrésis,saint hilaire les andresis,48.055948630137,3.015658630137
17040,45,45282,45160,Saint-Hilaire-Saint-Mesmin,saint hilaire saint mesmin,47.851485352113,1.829864084507
17041,45,45283,45700,Saint-Hilaire-sur-Puiseaux,saint hilaire sur puiseaux,47.906318554217,2.7035269879518
17042,45,45284,45800,Saint-Jean-de-Braye,saint jean de braye,47.919033548387,1.9712546236559
17043,45,45285,45140,Saint-Jean-de-la-Ruelle,saint jean de la ruelle,47.912076034483,1.8691303448276
17044,45,45286,45650,Saint-Jean-le-Blanc,saint jean le blanc,47.88419474359,1.9340912820513
17045,45,45287,45210,Saint-Loup-de-Gonois,saint loup de gonois,48.061983157895,2.9257503508772
17046,45,45288,45340,Saint-Loup-des-Vignes,saint loup des vignes,48.041616625,2.426115
17047,45,45289,45170,Saint-Lyé-la-Forêt,saint lye la foret,48.027705658915,1.9725665116279
17048,45,45290,45110,Saint-Martin-d'Abbat,saint martin d abbat,47.874772809917,2.3021773553719
17049,45,45291,45500,Saint-Martin-sur-Ocre,saint martin sur ocre,47.642736793893,2.647508091603
17050,45,45292,45230,Saint-Maurice-sur-Aveyron,saint maurice sur aveyron,47.840836979866,2.9628877181208
17051,45,45293,45700,Saint-Maurice-sur-Fessard,saint maurice sur fessard,47.990901092437,2.6158687394958
17052,45,45294,45340,Saint-Michel,saint michel,48.062227333333,2.3768591111111
17053,45,45296,45310,Saint-Péravy-la-Colombe,saint peravy la colombe,48.00536559322,1.6929398305085
17054,45,45297,45600,Saint-Père-sur-Loire,saint pere sur loire,47.781903846154,2.3684597435897
17055,45,45298,45750,Saint-Pryvé-Saint-Mesmin,saint pryve saint mesmin,47.875009846154,1.8482444615385
17056,45,45299,45310,Saint-Sigismond,saint sigismond,47.980612982456,1.6664564912281
17057,45,45300,45640,Sandillon,sandillon,47.829428387097,2.0339920430108
17058,45,45301,45170,Santeau,santeau,48.092131818182,2.1586770909091
17059,45,45302,45770,Saran,saran,47.949655820896,1.8782982089552
17060,45,45303,45490,Sceaux-du-Gâtinais,sceaux du gatinais,48.113878209877,2.5948950617284
17061,45,45305,45530,Seichebrières,seichebrieres,47.973080348837,2.2744031395349
17062,45,45306,45210,La Selle-en-Hermoy,la selle en hermoy,48.003493458647,2.8824418796992
17063,45,45307,45210,La Selle-sur-le-Bied,la selle sur le bied,48.07547776699,2.8862160194175
17064,45,45308,45400,Semoy,semoy,47.936281911765,1.9673322058824
17065,45,45309,45240,Sennely,sennely,47.699732980769,2.1438660096154
17066,45,45310,45300,Sermaises,sermaises,48.30072247191,2.1983503370786
17067,45,45311,45110,Sigloy,sigloy,47.836196346154,2.2249553846154
17068,45,45312,45700,Solterre,solterre,47.914971690141,2.7352766197183
17069,45,45313,45410,Sougy,sougy,48.060566195652,1.8074735869565
17070,45,45314,45450,Sully-la-Chapelle,sully la chapelle,47.982514755245,2.1683362237762
