,,,,-HAUTE-SAONE,,,
27987,70,70147,70400,Chavanne,chavanne,47.558187826087,6.6562131884058
27988,70,70148,70360,Chemilly,chemilly,47.642132380952,6.0197204761905
27989,70,70149,70400,Chenebier,chenebier,47.643338561644,6.7086356849315
27990,70,70150,70150,Chenevrey-et-Morogne,chenevrey et morogne,47.278868941799,5.7370757142857
27991,70,70151,70140,Chevigney,chevigney,47.3308977,5.587098
27992,70,70152,70700,Choye,choye,47.409027142857,5.7603687428571
27993,70,70153,70120,Cintrey,cintrey,47.754624724409,5.755201496063
27994,70,70154,70190,Cirey,cirey,47.413245902778,6.1329388194445
27995,70,70155,70300,Citers,citers,47.749764864865,6.411859954955
27996,70,70156,70700,Citey,citey,47.43554255102,5.7871037755102
27997,70,70157,70200,Clairegoutte,clairegoutte,47.660906904762,6.6362938690476
27998,70,70158,70000,Clans,clans,47.598721666667,6.0322633333333
27999,70,70159,70230,Cognières,cognieres,47.49582961039,6.2877494805195
28000,70,70160,70400,Coisevaux,coisevaux,47.590073483146,6.7066387640449
28001,70,70162,70000,Colombe-lès-Vesoul,colombe les vesoul,47.611793474576,6.2212670338983
28002,70,70163,70000,Colombier,colombier,47.669430745342,6.2209253416149
28003,70,70164,70240,Colombotte,colombotte,47.661915609756,6.2880406097561
28004,70,70165,70120,Combeaufontaine,combeaufontaine,47.710253150685,5.9003860273973
28005,70,70166,70000,Comberjon,comberjon,47.645446190476,6.2020753968254
28006,70,70167,70170,Conflandey,conflandey,47.732716666667,6.0349659459459
28007,70,70168,70800,Conflans-sur-Lanterne,conflans sur lanterne,47.812334357798,6.2161885779816
28008,70,70169,70120,Confracourt,confracourt,47.680672627119,5.8961457627119
28009,70,70170,70160,Contréglise,contreglise,47.838127529412,6.0267178823529
28010,70,70171,70320,Corbenay,corbenay,47.892640567686,6.3294109606987
28011,70,70172,70300,La Corbière,la corbiere,47.792013061224,6.4845526530612
28012,70,70174,70190,Cordonnet,cordonnet,47.420393580247,5.9604835185185
28013,70,70175,70120,Cornot,cornot,47.690654913793,5.8380953448276
28014,70,70176,70310,Corravillers,corravillers,47.885330555556,6.6389346111111
28015,70,70177,70500,Corre,corre,47.916670714286,5.9917134285714
28016,70,70178,70200,La Côte,la cote,47.689044787234,6.5716445744681
28017,70,70179,70000,Coulevon,coulevon,47.648136853933,6.1803456179775
28018,70,70180,70110,Courchaton,courchaton,47.514213669065,6.5490562589928
28019,70,70181,70150,Courcuire,courcuire,47.352989206349,5.8338222222222
28020,70,70182,70400,Courmont,courmont,47.612322169811,6.641536509434
28021,70,70183,70600,Courtesoult-et-Gatey,courtesoult et gatey,47.610056712329,5.6099653424658
28022,70,70184,70400,Couthenans,couthenans,47.590770483871,6.7248732258064
28023,70,70185,70100,Cresancey,cresancey,47.398194358974,5.6497035897436
28024,70,70186,70240,La Creuse,la creuse,47.681803623188,6.3495191304348
28025,70,70187,70400,Crevans-et-la-Chapelle-lès-Granges,crevans et la chapelle les granges,47.550304857143,6.5913414285714
28026,70,70188,70240,Creveney,creveney,47.680468181818,6.2925058181818
28027,70,70189,70190,Cromary,cromary,47.365541188119,6.0679952475247
28028,70,70190,70160,Cubry-lès-Faverney,cubry les faverney,47.818129230769,6.1344827472527
28029,70,70192,70700,Cugney,cugney,47.364829,5.7219085
28030,70,70193,70150,Cult,cult,47.31348,5.7428413636364
28031,70,70194,70800,Cuve,cuve,47.910447322835,6.2181023622047
28032,70,70195,70200,Dambenoît-lès-Colombe,dambenoit les colombe,47.72283484127,6.3845218253968
28033,70,70196,70800,Dampierre-lès-Conflans,dampierre les conflans,47.843727322404,6.1860508196721
28034,70,70197,70230,Dampierre-sur-Linotte,dampierre sur linotte,47.528965943396,6.2426133490566
28035,70,70198,70180,Dampierre-sur-Salon,dampierre sur salon,47.571019378531,5.6740087570622
28036,70,70199,70000,Dampvalley-lès-Colombe,dampvalley les colombe,47.624822307692,6.2468761538462
28037,70,70200,70210,Dampvalley-Saint-Pancras,dampvalley saint pancras,47.912541470588,6.2006249019608
28038,70,70201,70180,Delain,delain,47.588107342657,5.6435732867133
28039,70,70202,70210,Demangevelle,demangevelle,47.929118305085,6.0425202542373
28040,70,70203,70000,La Demie,la demie,47.582284776119,6.1718786567164
28041,70,70204,70180,Denèvre,denevre,47.560616210526,5.6445597894737
28042,70,70205,70400,Échavanne,echavanne,47.656421588785,6.7282007476635
28043,70,70206,70400,Échenans-sous-Mont-Vaudois,echenans sous mont vaudois,47.606694083333,6.7656963333333
28044,70,70207,70000,Échenoz-la-Méline,echenoz la meline,47.593610483871,6.1391737096774
28045,70,70208,70000,Échenoz-le-Sec,echenoz le sec,47.531148157895,6.1174945614035
28046,70,70210,70270,Écromagny,ecromagny,47.79411372093,6.5709990116279
28047,70,70211,70600,Écuelle,ecuelle,47.553528275862,5.5530843103448
28048,70,70213,70300,Éhuns,ehuns,47.766174710744,6.299016446281
28049,70,70214,70160,Équevilley,equevilley,47.781554821429,6.1808025
28050,70,70215,70400,Errevet,errevet,47.688442794118,6.7681863235294
28051,70,70216,70300,Esboz-Brest,esboz brest,47.802566198347,6.4408963636364
28052,70,70217,70310,Esmoulières,esmoulieres,47.853238408408,6.6161806906907
28053,70,70218,70100,Esmoulins,esmoulins,47.409133214286,5.5630853571429
28054,70,70219,70110,Esprels,esprels,47.537786528926,6.37033
28055,70,70220,70100,Essertenne-et-Cecey,essertenne et cecey,47.399691183432,5.4720734911243
28056,70,70221,70400,Étobon,etobon,47.640701985294,6.6781694117647
28057,70,70222,70700,Étrelles-et-la-Montbleuse,etrelles et la montbleuse,47.475319550562,5.8571624719101
28058,70,70224,70150,Étuz,etuz,47.357438493151,5.9362475342466
28059,70,70225,70100,Fahy-lès-Autrey,fahy les autrey,47.510321428571,5.4764448214286
28060,70,70226,70110,Fallon,fallon,47.506224545455,6.4780973863636
28061,70,70227,70310,Faucogney-et-la-Mer,faucogney et la mer,47.830091734694,6.5891571683674
28062,70,70228,70160,Faverney,faverney,47.762745116279,6.083856744186
28063,70,70229,70200,Faymont,faymont,47.6084028125,6.5973711458333
28064,70,70230,70120,Fédry,fedry,47.611393333333,5.8805372727273
28065,70,70231,70130,Ferrières-lès-Ray,ferrieres les ray,47.580558541667,5.7942863541667
28066,70,70232,70360,Ferrières-lès-Scey,ferrieres les scey,47.66581308642,6.004927654321
28067,70,70233,70310,Les Fessey,les fessey,47.811906893204,6.5179300970874
28068,70,70234,70230,Filain,filain,47.521589363636,6.1799374545455
28069,70,70235,70000,Flagy,flagy,47.702876917293,6.1861203007519
28070,70,70236,70160,Fleurey-lès-Faverney,fleurey les faverney,47.741324589041,6.0897226712329
28071,70,70237,70120,Fleurey-lès-Lavoncourt,fleurey les lavoncourt,47.661458721805,5.7799811278195
28072,70,70238,70800,Fleurey-lès-Saint-Loup,fleurey les saint loup,47.922855203252,6.2920165853659
28073,70,70239,70190,Fondremand,fondremand,47.461220901288,6.0172139484978
28074,70,70240,70800,Fontaine-lès-Luxeuil,fontaine les luxeuil,47.869759590643,6.3304199415205
28075,70,70242,70210,Fontenois-la-Ville,fontenois la ville,47.935245541401,6.1753682165605
28076,70,70243,70230,Fontenois-lès-Montbozon,fontenois les montbozon,47.492747212121,6.2293319393939
28077,70,70244,70160,Fouchécourt,fouchecourt,47.790455428571,5.9845004285714
28078,70,70245,70220,Fougerolles,fougerolles,47.898869401408,6.4112780985916
28079,70,70247,70600,Fouvent-Saint-Andoche,fouvent saint andoche,47.648148318966,5.672500387931
28080,70,70248,70400,Frahier-et-Chatebier,frahier et chatebier,47.653762110553,6.7463894974874
28081,70,70249,70800,Francalmont,francalmont,47.829249320388,6.2750841747573
28082,70,70250,70200,Franchevelle,franchevelle,47.74810173913,6.4619653913043
28083,70,70251,70180,Francourt,francourt,47.654332105263,5.7338468421053
28084,70,70252,70600,Framont,framont,47.57241352459,5.5768554918033
28085,70,70253,70700,Frasne-le-Château,frasne le chateau,47.465520148148,5.8907680740741
28086,70,70254,70200,Frédéric-Fontaine,frederic fontaine,47.652086842105,6.6337666666667
28087,70,70255,70130,Fresne-Saint-Mamès,fresne saint mames,47.550796115702,5.8568713223141
28088,70,70256,70270,Fresse,fresse,47.763752416107,6.6669208724832
28089,70,70257,70130,Fretigney-et-Velloreille,fretigney et velloreille,47.494170242915,5.928954291498
28090,70,70258,70300,Froideconche,froideconche,47.833195692308,6.4122177692308
28091,70,70259,70200,Froideterre,froideterre,47.700669382716,6.5236843209877
28092,70,70260,70200,Frotey-lès-Lure,frotey les lure,47.658683615385,6.5467666153846
28093,70,70261,70000,Frotey-lès-Vesoul,frotey les vesoul,47.626198114754,6.1904282786885
28094,70,70262,70240,Genevreuille,genevreuille,47.67806,6.3806428846154
28095,70,70263,70240,Genevrey,genevrey,47.721243076923,6.3253998901099
28096,70,70264,70110,Georfans,georfans,47.535321232877,6.5129626027397
28097,70,70265,70100,Germigney,germigney,47.36997296875,5.5352522395833
28098,70,70267,70500,Gevigney-et-Mercey,gevigney et mercey,47.795488917526,5.935138814433
28099,70,70268,70700,Gézier-et-Fontenelay,gezier et fontenelay,47.360080151515,5.8885667424242
28100,70,70269,70210,Girefontaine,girefontaine,47.896473176471,6.1684014117647
28101,70,70271,70110,Gouhenans,gouhenans,47.613129513889,6.4867511805556
28102,70,70272,70120,Gourgeon,gourgeon,47.719841891892,5.8414109459459
28103,70,70273,70110,Grammont,grammont,47.515590178571,6.5135979464286
28104,70,70274,70120,Grandecourt,grandecourt,47.635715,5.8586761764706
28105,70,70275,70190,Grandvelle-et-le-Perrenot,grandvelle et le perrenot,47.514844869565,6.0018685217391
28106,70,70276,70400,Granges-la-Ville,granges la ville,47.564363661972,6.5664643661972
28107,70,70277,70400,Granges-le-Bourg,granges le bourg,47.569777938144,6.5894962886598
28108,70,70278,70170,Grattery,grattery,47.669747717391,6.0846741304348
28109,70,70279,70100,Gray,gray,47.43391975,5.6100377083333
28110,70,70280,70100,Gray-la-Ville,gray la ville,47.439209215686,5.5695031372549
28111,70,70282,70700,Gy,gy,47.399806755725,5.8047811832061
28112,70,70283,70440,Haut-du-Them-Château-Lambert,haut du them chateau lambert,47.839324411765,6.7375051176471
28113,70,70284,70800,Hautevelle,hautevelle,47.839539863014,6.2937271232877
28114,70,70285,70400,Héricourt,hericourt,47.571130175439,6.7626760233918
28115,70,70286,70150,Hugier,hugier,47.305968692308,5.7018333846154
28116,70,70287,70210,Hurecourt,hurecourt,47.902923972603,6.0602224657534
28117,70,70288,70190,Hyet,hyet,47.475433297872,6.07991
28118,70,70289,70700,Igny,igny,47.4789575,5.7624515740741
28119,70,70290,70800,Jasney,jasney,47.866819753086,6.1758578395062
28120,70,70291,70500,Jonvelle,jonvelle,47.930430149254,5.9175491044776
28121,70,70292,70500,Jussey,jussey,47.81467014652,5.8900866666667
28122,70,70293,70500,Lambrey,lambrey,47.763247142857,5.9245724175824
28123,70,70294,70200,Lantenot,lantenot,47.752906190476,6.5004682857143
28124,70,70295,70270,La Lanterne-et-les-Armonts,la lanterne et les armonts,47.786682615385,6.527173
28125,70,70296,70230,Larians-et-Munans,larians et munans,47.420949264706,6.2322685294118
28126,70,70297,70600,Larret,larret,47.625003766234,5.6306857142857
28127,70,70298,70120,Lavigney,lavigney,47.71151168,5.80891504
28128,70,70299,70120,Lavoncourt,lavoncourt,47.623982916667,5.780811875
28129,70,70301,70190,Lieffrans,lieffrans,47.522279545455,5.9668830681818
28130,70,70302,70140,Lieucourt,lieucourt,47.35918695122,5.6188613414634
28131,70,70303,70240,Liévans,lievans,47.635019878049,6.3488796341463
28132,70,70304,70200,Linexert,linexert,47.741837325581,6.4875279069767
28133,70,70305,70100,Lœuilley,loeuilley,47.463445607477,5.3878737383178
28134,70,70306,70200,Lomont,lomont,47.621927541899,6.5945852513966
28135,70,70307,70110,Longevelle,longevelle,47.592442330097,6.4468312621359
28136,70,70308,70310,La Longine,la longine,47.895463962963,6.5850425555555
28137,70,70309,70230,Loulans-Verchamp,loulans verchamp,47.445327428571,6.2052682857143
28138,70,70310,70200,Lure,lure,47.681212934473,6.4943186894587
28139,70,70311,70300,Luxeuil-les-Bains,luxeuil les bains,47.81978005618,6.3722184831461
28140,70,70312,70400,Luze,luze,47.605936744186,6.7226096511628
28141,70,70313,70200,Lyoffans,lyoffans,47.644365229358,6.5900185321101
28142,70,70314,70300,Magnivray,magnivray,47.782344731183,6.466552688172
28143,70,70315,70800,Magnoncourt,magnoncourt,47.905761473684,6.2906650526316
28144,70,70316,70000,Le Magnoray,le magnoray,47.525966226415,6.0923020754717
28145,70,70317,70110,Les Magny,les magny,47.528039111111,6.4316812777778
28146,70,70318,70200,Magny-Danigon,magny danigon,47.68095,6.6115896078431
28147,70,70319,70200,Magny-Jobert,magny jobert,47.64691969697,6.6097531818182
28148,70,70320,70500,Magny-lès-Jussey,magny les jussey,47.857560612245,5.9764898979592
28149,70,70321,70200,Magny-Vernois,magny vernois,47.669018928571,6.4745953571429
28150,70,70322,70240,Mailleroncourt-Charette,mailleroncourt charette,47.727311648352,6.2701965934066
28151,70,70323,70210,Mailleroncourt-Saint-Pancras,mailleroncourt saint pancras,47.927429248555,6.1450525433526
28152,70,70324,70000,Mailley-et-Chazelot,mailley et chazelot,47.534704615385,6.0451243846154
28153,70,70325,70190,Maizières,maizieres,47.495309090909,6.0025143356643
28154,70,70326,70190,La Malachère,la malachere,47.456649146341,6.0680659756098
28155,70,70327,70140,Malans,malans,47.268423697479,5.5974051260504
28156,70,70328,70200,Malbouhans,malbouhans,47.711017701149,6.5819527586207
