,,,,-INDRE,,,
14039,36,36232,36500,Vendœuvres,vendoeuvres,46.786288728814,1.3608483333333
14040,36,36233,36600,La Vernelle,la vernelle,47.241795048544,1.5688133980582
14041,36,36234,36400,Verneuil-sur-Igneraie,verneuil sur igneraie,46.655837981651,2.0185732110092
14042,36,36235,36600,Veuil,veuil,47.136666393443,1.507963442623
14043,36,36236,36400,Vicq-Exemplet,vicq exemplet,46.626945362319,2.1535742995169
14044,36,36237,36600,Vicq-sur-Nahon,vicq sur nahon,47.10182,1.5643394674556
14045,36,36238,36160,Vigoulant,vigoulant,46.444974950495,2.0849302970297
14046,36,36239,36170,Vigoux,vigoux,46.494305968586,1.4793231937173
14047,36,36240,36160,Vijon,vijon,46.436253712575,2.1287064670659
14048,36,36241,36320,Villedieu-sur-Indre,villedieu sur indre,46.840097173913,1.5065859057971
14049,36,36242,36110,Villegongis,villegongis,46.9223244,1.5862956
14050,36,36243,36500,Villegouin,villegouin,46.958698787879,1.3710702020202
14051,36,36244,36600,Villentrois,villentrois,47.181418679245,1.4597416981132
14052,36,36246,36290,Villiers,villiers,46.888367738095,1.1937579761905
14053,36,36247,36110,Vineuil,vineuil,46.9096348,1.6497338666667
14054,36,36248,36100,Vouillon,vouillon,46.818550956522,1.9117353043478
