,,,,-HERAULT,,,
13342,34,34223,34480,Puimisson,puimisson,43.438102972973,3.2100425225225
13343,34,34224,34480,Puissalicon,puissalicon,43.452673613445,3.2359258823529
13344,34,34225,34620,Puisserguier,puisserguier,43.373570350877,3.0520241520468
13345,34,34226,34310,Quarante,quarante,43.350517368421,2.9772511842105
13346,34,34227,34160,Restinclières,restinclieres,43.72043828125,4.03626484375
13347,34,34228,34220,Rieussec,rieussec,43.416959306931,2.7294564356436
13348,34,34229,34220,Riols,riols,43.502178207547,2.7986338679245
13349,34,34230,34520,Les Rives,les rives,43.84611754717,3.2648964150943
13350,34,34231,34650,Romiguières,romiguieres,43.817585376344,3.2369438709677
13351,34,34232,34460,Roquebrun,roquebrun,43.508516166667,3.0040420416667
13352,34,34233,34650,Roqueredonde,roqueredonde,43.797814224599,3.2020279144385
13353,34,34234,34320,Roquessels,roquessels,43.551741,3.2263974545455
13354,34,34235,34610,Rosis,rosis,43.631810676692,3.0061247744361
13355,34,34236,34380,Rouet,rouet,43.823706644295,3.8138690604027
13356,34,34237,34320,Roujan,roujan,43.514015890411,3.3030810273973
13357,34,34238,34190,Saint-André-de-Buèges,saint andre de bueges,43.850285376344,3.6464450537634
13358,34,34239,34725,Saint-André-de-Sangonis,saint andre de sangonis,43.650134609375,3.499960546875
13359,34,34240,34130,Saint-Aunès,saint aunes,43.633930941176,3.9655505882353
13360,34,34241,34230,Saint-Bauzille-de-la-Sylve,saint bauzille de la sylve,43.609418076923,3.5552447115385
13361,34,34242,34160,Saint-Bauzille-de-Montmel,saint bauzille de montmel,43.770926556291,3.9479465562914
13362,34,34243,34190,Saint-Bauzille-de-Putois,saint bauzille de putois,43.897726388889,3.7542548148148
13363,34,34244,34670,Saint-Brès,saint bres,43.66472,4.0387747169811
13364,34,34245,34360,Saint-Chinian,saint chinian,43.430663285714,2.9338012857143
13365,34,34246,34400,Saint-Christol,saint christol,43.723317142857,4.0773309090909
13366,34,34247,34980,Saint-Clément-de-Rivière,saint clement de riviere,43.684374097222,3.8472895833333
13367,34,34248,34270,Sainte-Croix-de-Quintillargues,sainte croix de quintillargues,43.767688804348,3.9081140217391
13368,34,34249,34160,Saint-Drézéry,saint drezery,43.731872672414,3.9812759482759
13369,34,34250,34390,Saint-Étienne-d'Albagnan,saint etienne d albagnan,43.533723739837,2.8619038617886
13370,34,34251,34700,Saint-Étienne-de-Gourgas,saint etienne de gourgas,43.782883712121,3.3848141666667
13371,34,34252,34260,Saint-Étienne-Estréchoux,saint etienne estrechoux,43.66227173913,3.1041111594203
13372,34,34253,34520,Saint-Félix-de-l'Héras,saint felix de l heras,43.839497933884,3.3076268595041
13373,34,34254,34725,Saint-Félix-de-Lodez,saint felix de lodez,43.663301012658,3.4700015189873
13374,34,34255,34980,Saint-Gély-du-Fesc,saint gely du fesc,43.689260183486,3.8080503669725
13375,34,34256,34160,Saint-Geniès-des-Mourgues,saint genies des mourgues,43.699216901408,4.036015915493
13376,34,34257,34610,Saint-Geniès-de-Varensal,saint genies de varensal,43.684564137931,3.0068381034483
13377,34,34258,34480,Saint-Geniès-de-Fontedit,saint genies de fontedit,43.468139136691,3.1710790647482
13378,34,34259,34680,Saint-Georges-d'Orques,saint georges d orques,43.61644152,3.77565808
13379,34,34260,34610,Saint-Gervais-sur-Mare,saint gervais sur mare,43.663696217617,3.0434716062176
13380,34,34261,34150,Saint-Guilhem-le-Désert,saint guilhem le desert,43.756816804734,3.5614512426036
13381,34,34262,34725,Saint-Guiraud,saint guiraud,43.678839772727,3.4512355681818
13382,34,34263,34160,Saint-Hilaire-de-Beauvoir,saint hilaire de beauvoir,43.754177755102,4.0211863265306
13383,34,34264,34380,Saint-Jean-de-Buèges,saint jean de bueges,43.833742176871,3.6027289795918
13384,34,34265,34160,Saint-Jean-de-Cornies,saint jean de cornies,43.74472,4.0046438461538
13385,34,34266,34270,Saint-Jean-de-Cuculles,saint jean de cuculles,43.748602429907,3.8332782242991
13386,34,34267,34150,Saint-Jean-de-Fos,saint jean de fos,43.690050578512,3.5441316528926
13387,34,34268,34700,Saint-Jean-de-la-Blaquière,saint jean de la blaquiere,43.706886666667,3.4256458518518
13388,34,34269,34360,Saint-Jean-de-Minervois,saint jean de minervois,43.400425633188,2.8216404366812
13389,34,34270,34430,Saint-Jean-de-Védas,saint jean de vedas,43.570415612245,3.8285995918367
13390,34,34271,34390,Saint-Julien,saint julien,43.580328150289,2.9049916763006
13391,34,34272,34400,Saint-Just,saint just,43.65423,4.112989382716
13392,34,34273,34390,Saint-Martin-de-l'Arçon,saint martin de l arcon,43.576010612245,2.9863246938775
13393,34,34274,34380,Saint-Martin-de-Londres,saint martin de londres,43.798744655172,3.7171454310345
13394,34,34276,34270,Saint-Mathieu-de-Tréviers,saint mathieu de treviers,43.7717252,3.8746332666667
13395,34,34277,34190,Saint-Maurice-Navacelles,saint maurice navacelles,43.846589,3.518559
13396,34,34277,34520,Saint-Maurice-Navacelles,saint maurice navacelles,43.846589,3.518559
13397,34,34278,34520,Saint-Michel,saint michel,43.843400957447,3.4123130851064
13398,34,34279,34490,Saint-Nazaire-de-Ladarez,saint nazaire de ladarez,43.51295675,3.083183125
