id,department_code,insee_code,zip_code,-CALVADOS,slug,gps_lat,gps_lng
4999,14,14692,14250,Tilly-sur-Seulles,tilly sur seulles,49.16839131579,-0.62406506578947
5000,14,14694,14130,Le Torquesne,le torquesne,49.221300447761,0.17228701492537
5001,14,14698,14940,Touffréville,touffreville,49.198860714286,-0.22493228571429
5002,14,14699,14800,Touques,touques,49.353702613636,0.11589693181818
5003,14,14700,14400,Tour-en-Bessin,tour en bessin,49.293303414634,-0.78468719512195
5004,14,14701,14800,Tourgéville,tourgeville,49.321696164384,0.08094808219178
5005,14,14703,14220,Tournebu,tournebu,48.961538023256,-0.31607244186047
5006,14,14705,14330,Tournières,tournieres,49.229921555556,-0.93609311111111
5007,14,14706,14130,Tourville-en-Auge,tourville en auge,49.321397580645,0.194725
5008,14,14707,14210,Tourville-sur-Odon,tourville sur odon,49.138530634921,-0.50020063492063
5009,14,14708,14310,Tracy-Bocage,tracy bocage,49.075567887324,-0.68572605633803
5010,14,14709,14117,Tracy-sur-Mer,tracy sur mer,49.330413972603,-0.6445497260274
5011,14,14710,14690,Tréprel,treprel,48.898609565217,-0.34962057971014
5012,14,14711,14710,Trévières,trevieres,49.303269356725,-0.91858479532164
5013,14,14712,14670,Saline,saline,49.1726042,-0.1621953
5014,14,14712,14940,Saline,saline,49.1876868,-0.2219337
5015,14,14713,14210,Trois-Monts,trois monts,49.047939041096,-0.48094356164384
5016,14,14714,14490,Le Tronquay,le tronquay,49.225871607143,-0.81911714285714
5017,14,14715,14360,Trouville-sur-Mer,trouville sur mer,49.374195409836,0.10200163934426
5018,14,14716,14490,Trungy,trungy,49.192719873418,-0.71657607594937
5019,14,14719,14190,Urville,urville,49.025661585366,-0.29344048780488
5020,14,14720,14420,Ussy,ussy,48.94639760274,-0.29621808219178
5021,14,14721,14210,Vacognes-Neuilly,vacognes neuilly,49.086048645833,-0.530379375
5022,14,14723,14340,Valsemé,valseme,49.239245842697,0.09918550561798
5023,14,14724,14390,Varaville,varaville,49.262432898551,-0.14419579710145
5024,14,14726,14350,Valdallière,valdalliere,48.8523823,-0.6788798
5025,14,14726,14410,Valdallière,valdalliere,48.8523823,-0.6788798
5026,14,14728,14400,Vaucelles,vaucelles,49.283114607843,-0.73677696078431
5027,14,14731,14800,Vauville,vauville,49.31060125,0.05737140625
5028,14,14732,14400,Vaux-sur-Aure,vaux sur aure,49.308673609023,-0.70905097744361
5029,14,14733,14400,Vaux-sur-Seulles,vaux sur seulles,49.266071025641,-0.62095051282051
5030,14,14734,14250,Vendes,vendes,49.144117605634,-0.60460436619718
5031,14,14735,14170,Vendeuvre,vendeuvre,49.00249385,-0.083792
5032,14,14737,14700,Versainville,versainville,48.91497,-0.17100304878049
5033,14,14738,14790,Verson,verson,49.161066210526,-0.45747115789474
5034,14,14739,14114,Ver-sur-Mer,ver sur mer,49.332601222222,-0.53018255555556
