,,,,-LOT,,,
17295,46,46203,46210,Montet-et-Bouxal,montet et bouxal,44.750480497238,2.0349438674033
17296,46,46204,46240,Montfaucon,montfaucon,44.687139160839,1.5654609090909
17297,46,46205,46150,Montgesty,montgesty,44.572476741573,1.2905731460674
17298,46,46206,46800,Montlauzun,montlauzun,44.297907207207,1.1922483783784
17299,46,46207,46270,Montredon,montredon,44.610875603865,2.185233236715
17300,46,46208,46600,Montvalent,montvalent,44.872921818182,1.6363164285714
17301,46,46209,46350,Nadaillac-de-Rouge,nadaillac de rouge,44.850905619835,1.4311334710744
17302,46,46210,46360,Nadillac,nadillac,44.56114557377,1.5116202459016
17303,46,46211,46150,Nuzéjouls,nuzejouls,44.5358432,1.376706
17304,46,46212,46330,Orniac,orniac,44.539631056338,1.6815511971831
17305,46,46213,46500,Padirac,padirac,44.850088586957,1.7545995652174
17306,46,46214,46140,Parnac,parnac,44.478022758621,1.3186160344828
17307,46,46215,46350,Payrac,payrac,44.796758518519,1.4642220634921
17308,46,46216,46300,Payrignac,payrignac,44.764633520408,1.3420712244898
17309,46,46217,46170,Pern,pern,44.338634418605,1.4100706511628
17310,46,46218,46220,Pescadoires,pescadoires,44.497217959184,1.1588106122449
17311,46,46219,46310,Peyrilles,peyrilles,44.61692459596,1.3947643939394
17312,46,46220,46200,Pinsac,pinsac,44.861765889571,1.5207287116564
17313,46,46221,46100,Planioles,planioles,44.641001851852,2.0273697530864
17314,46,46222,46250,Pomarède,pomarede,44.555315301205,1.1763979518072
17315,46,46223,46150,Pontcirq,pontcirq,44.544686666667,1.2681952173913
17316,46,46224,46090,Pradines,pradines,44.461284375,1.383193125
17317,46,46225,46220,Prayssac,prayssac,44.518230913979,1.1867938709677
17318,46,46226,46270,Prendeignes,prendeignes,44.696860560345,2.0779492672414
17319,46,46227,46260,Promilhanes,promilhanes,44.375514264706,1.8305766176471
17320,46,46228,46130,Prudhomat,prudhomat,44.894672331606,1.8191535233161
17321,46,46229,46130,Puybrun,puybrun,44.920908813559,1.7883520338983
17322,46,46230,46260,Puyjourdes,puyjourdes,44.406579,1.8584704285714
17323,46,46231,46700,Puy-l'Évêque,puy l eveque,44.51650989011,1.1344592307692
17324,46,46232,46110,Les Quatre-Routes-du-Lot,les quatre routes du lot,44.997617674419,1.6395651162791
17325,46,46233,46320,Quissac,quissac,44.626472654867,1.7184461946903
17326,46,46234,46340,Rampoux,rampoux,44.640005113636,1.2944531818182
17327,46,46235,46500,Reilhac,reilhac,44.70132012987,1.7245950649351
17328,46,46236,46350,Reilhaguet,reilhaguet,44.77886344086,1.5051532258064
17329,46,46237,46320,Reyrevignes,reyrevignes,44.644494144144,1.9111220720721
17330,46,46238,46500,Rignac,rignac,44.806470123457,1.701777654321
17331,46,46239,46200,Le Roc,le roc,44.864068137255,1.4350674509804
17332,46,46240,46500,Rocamadour,rocamadour,44.810293378378,1.6244558445946
17333,46,46241,46300,Rouffilhac,rouffilhac,44.797414316547,1.4093758273381
17334,46,46242,46120,Rudelle,rudelle,44.730521148649,1.8800286486487
17335,46,46243,46120,Rueyres,rueyres,44.752890150376,1.8551384210526
17336,46,46244,46210,Sabadel-Latronquière,sabadel latronquiere,44.723037830688,2.0718501587302
17337,46,46245,46360,Sabadel-Lauzès,sabadel lauzes,44.55829695122,1.6102420731707
17338,46,46246,46500,Saignes,saignes,44.790130379747,1.8197143037975
17339,46,46247,46260,Saillac,saillac,44.326143181818,1.740958051948
17340,46,46249,46120,Saint-Bressou,saint bressou,44.695227831325,1.9782031927711
17341,46,46250,46250,Saint-Caprais,saint caprais,44.614158811881,1.1611124752475
17342,46,46251,46400,Saint-Céré,saint cere,44.854156510638,1.8998890212766
17343,46,46252,46360,Les Pechs du Vers,les pechs du vers,44.587609206349,1.5639181349206
17344,46,46253,46310,Saint-Chamarand,saint chamarand,44.684733884298,1.4588909090909
17345,46,46254,46160,Saint-Chels,saint chels,44.530341564626,1.8157123809524
17346,46,46255,46210,Saint-Cirgues,saint cirgues,44.735604723032,2.1197179591837
17347,46,46256,46330,Saint-Cirq-Lapopie,saint cirq lapopie,44.455723293413,1.6516676646707
17348,46,46257,46300,Saint-Cirq-Madelon,saint cirq madelon,44.786039652174,1.3182775652174
17349,46,46258,46300,Saint-Cirq-Souillaguet,saint cirq souillaguet,44.705590338983,1.4441995762712
17350,46,46259,46300,Saint-Clair,saint clair,44.694120779221,1.3972391558442
17351,46,46260,46120,Sainte-Colombe,sainte colombe,44.721956754967,2.0137720529801
17352,46,46262,46800,Lendou-en-Quercy,lendou en quercy,44.313149363868,1.2678465648855
17353,46,46263,46800,Saint-Daunès,saint daunes,44.36068484375,1.228556953125
17354,46,46264,46150,Saint-Denis-Catus,saint denis catus,44.569816956522,1.3885149565217
17355,46,46265,46600,Saint-Denis-lès-Martel,saint denis les martel,44.940583532934,1.6566800598802
17356,46,46266,46100,Saint-Félix,saint felix,44.610733304348,2.111134
17357,46,46267,46310,Saint-Germain-du-Bel-Air,saint germain du bel air,44.644336976744,1.4378561627907
17358,46,46268,46090,Saint Géry-Vers,saint gery vers,44.478515,1.582058
17359,46,46268,46330,Saint Géry-Vers,saint gery vers,44.478515,1.582058
17360,46,46269,46210,Saint-Hilaire,saint hilaire,44.789747971698,2.1475538207547
17361,46,46270,46260,Saint-Jean-de-Laur,saint jean de laur,44.435742964602,1.8336185840708
17362,46,46271,46400,Saint-Jean-Lespinasse,saint jean lespinasse,44.862335813954,1.8606623255814
17363,46,46272,46270,Saint-Jean-Mirabel,saint jean mirabel,44.63356244898,2.1059391836735
17364,46,46273,46400,Saint-Laurent-les-Tours,saint laurent les tours,44.882084210526,1.9060319298246
17365,46,46276,46330,Saint-Martin-Labouval,saint martin labouval,44.478682432432,1.7339200900901
17366,46,46277,46700,Saint-Martin-le-Redon,saint martin le redon,44.530963664122,1.0391906870229
17367,46,46278,46800,Saint-Matré,saint matre,44.403673611111,1.1161084722222
17368,46,46279,46120,Saint-Maurice-en-Quercy,saint maurice en quercy,44.746934444444,1.9541258888889
17369,46,46280,46150,Saint-Médard,saint medard,44.539765447761,1.2944611940299
17370,46,46281,46400,Saint-Médard-de-Presque,saint medard de presque,44.854542568807,1.8412529357798
17371,46,46282,46210,Saint-Médard-Nicourby,saint medard nicourby,44.7651108,2.0074572
17372,46,46283,46110,Saint-Michel-de-Bannières,saint michel de bannieres,44.976812718447,1.68233
17373,46,46284,46130,Saint-Michel-Loubéjou,saint michel loubejou,44.885279809524,1.8490639047619
17374,46,46285,46800,Saint-Pantaléon,saint pantaleon,44.366771369863,1.2832515753425
17375,46,46286,46400,Saint-Paul-de-Vern,saint paul de vern,44.836359259259,1.9415334920635
17376,46,46288,46100,Saint-Perdoux,saint perdoux,44.681862903226,2.0515903225806
17377,46,46289,46160,Saint-Pierre-Toirac,saint pierre toirac,44.536555454545,1.953141969697
17378,46,46290,46300,Saint-Projet,saint projet,44.747726666667,1.5102873737374
17379,46,46292,46320,Saint-Simon,saint simon,44.700816493506,1.8319815584416
17380,46,46293,46200,Saint-Sozy,saint sozy,44.882749210526,1.5488661403509
17381,46,46294,46160,Saint-Sulpice,saint sulpice,44.576321538462,1.7973508653846
17382,46,46295,46400,Saint-Vincent-du-Pendit,saint vincent du pendit,44.834658831169,1.9080550649351
17383,46,46296,46140,Saint-Vincent-Rive-d'Olt,saint vincent rive d olt,44.447775297619,1.3085063095238
17384,46,46297,46340,Salviac,salviac,44.685430042017,1.2713717226891
17385,46,46298,46600,Sarrazac,sarrazac,45.015424320388,1.5811327669903
17386,46,46299,46330,Sauliac-sur-Célé,sauliac sur cele,44.52396326087,1.718494057971
17387,46,46300,46800,Saux,saux,44.393721139241,1.0778713924051
17388,46,46301,46140,Sauzet,sauzet,44.42228257732,1.257375257732
17389,46,46302,46210,Sénaillac-Latronquière,senaillac latronquiere,44.835560701754,2.0750142690058
17390,46,46303,46360,Sénaillac-Lauzès,senaillac lauzes,44.589282447552,1.6452289510489
17391,46,46304,46240,Séniergues,seniergues,44.713072463768,1.5552879710145
17392,46,46305,46700,Sérignac,serignac,44.428738193548,1.0879531612903
17393,46,46306,46320,Sonac,sonac,44.696482463768,1.8603152898551
17394,46,46307,46700,Soturac,soturac,44.516745949367,1.0165105063291
17395,46,46308,46300,Soucirac,soucirac,44.705514491525,1.5013137288136
17396,46,46309,46200,Souillac,souillac,44.914420557377,1.4600624590164
17397,46,46310,46240,Soulomès,soulomes,44.626341666667,1.5876958333333
17398,46,46311,46190,Sousceyrac-en-Quercy,sousceyrac en quercy,44.893118446115,2.0430673934837
17399,46,46312,46110,Strenquels,strenquels,44.974858880597,1.6345445522388
17400,46,46313,46130,Tauriac,tauriac,44.912027184466,1.7791062135922
17401,46,46314,46120,Terrou,terrou,44.784554334975,1.9746981280788
17402,46,46315,46190,Teyssieu,teyssieu,44.914704259259,1.9557122222222
17403,46,46316,46150,Thédirac,thedirac,44.599229160305,1.3271451908397
17404,46,46317,46500,Thégra,thegra,44.82323605042,1.7494457142857
17405,46,46318,46120,Thémines,themines,44.736684709302,1.8209798255814
17406,46,46319,46120,Théminettes,theminettes,44.715647407407,1.8548617592593
17407,46,46320,46330,Tour-de-Faure,tour de faure,44.476524857143,1.683934
17408,46,46321,46700,Touzac,touzac,44.494063846154,1.0626796153846
17409,46,46322,46090,Trespoux-Rassiels,trespoux rassiels,44.423061240876,1.3618158394161
17410,46,46323,46240,Ussel,ussel,44.592865645161,1.4941158064516
17411,46,46324,46310,Uzech,uzech,44.591520420168,1.386475210084
17412,46,46328,46260,Varaire,varaire,44.374013333333,1.7161537777778
17413,46,46329,46230,Vaylats,vaylats,44.314848,1.6587119523809
17414,46,46330,46110,Vayrac,vayrac,44.945415269461,1.692844491018
17415,46,46332,46100,Viazac,viazac,44.654012944444,2.0775713888889
17416,46,46333,46260,Vidaillac,vidaillac,44.348417043478,1.8131992173913
17417,46,46334,46300,Le Vigan,le vigan,44.7380349,1.4572442
17418,46,46335,46090,Villesèque,villeseque,44.39662672956,1.314087672956
17419,46,46336,46700,Vire-sur-Lot,vire sur lot,44.488413627451,1.0985369607843
17420,46,46337,46200,Mayrac,mayrac,44.897638921569,1.5488985294118
17421,46,46338,46210,Bessonies,bessonies,44.809221797753,2.1456009550562
17422,46,46339,46400,Saint-Jean-Lagineste,saint jean lagineste,44.824613222222,1.8498867222222
17423,46,46340,46090,Saint-Pierre-Lafeuille,saint pierre lafeuille,44.521286101695,1.4565301694915
