,,,,-MAYENNE,,,
19888,53,53239,53160,Saint-Martin-de-Connée,saint martin de connee,48.233964734513,-0.2494235840708
19889,53,53240,53800,Saint-Martin-du-Limet,saint martin du limet,47.810976333333,-1.0268705
19890,53,53241,53290,Saint-Michel-de-Feins,saint michel de feins,47.769796846847,-0.57513675675676
19891,53,53242,53350,Saint-Michel-de-la-Roë,saint michel de la roe,47.872641296296,-1.1329337962963
19892,53,53243,53410,Saint-Ouën-des-Toits,saint ouen des toits,48.145415158371,-0.89561194570136
19893,53,53244,53150,Saint-Ouën-des-Vallons,saint ouen des vallons,48.172996595745,-0.55660482269504
19894,53,53245,53500,Saint-Pierre-des-Landes,saint pierre des landes,48.293283557047,-1.0189537919463
19895,53,53246,53370,Saint-Pierre-des-Nids,saint pierre des nids,48.399333127273,-0.11234709090909
19896,53,53247,53410,Saint-Pierre-la-Cour,saint pierre la cour,48.114580518135,-1.0206404145078
19897,53,53248,53270,Saint-Pierre-sur-Erve,saint pierre sur erve,48.011146862745,-0.40974385620915
19898,53,53249,53160,Saint-Pierre-sur-Orthe,saint pierre sur orthe,48.237276147186,-0.20450476190476
19899,53,53250,53540,Saint-Poix,saint poix,47.965431376812,-1.0431405797101
19900,53,53251,53400,Saint-Quentin-les-Anges,saint quentin les anges,47.788088199052,-0.88771682464455
19901,53,53253,53800,Saint-Saturnin-du-Limet,saint saturnin du limet,47.811930928962,-1.0929450273224
19902,53,53254,53360,Saint-Sulpice,saint sulpice,47.891527021277,-0.71997957446809
19903,53,53255,53270,Sainte-Suzanne-et-Chammes,sainte suzanne et chammes,48.089260986842,-0.37052463815789
19904,53,53256,53160,Saint-Thomas-de-Courceriers,saint thomas de courceriers,48.26135038961,-0.26540653679654
19905,53,53257,53340,Saulges,saulges,47.984297580645,-0.41573298387097
19906,53,53258,53800,La Selle-Craonnaise,la selle craonnaise,47.848883165468,-1.0483294244604
19907,53,53259,53390,Senonnes,senonnes,47.808535793651,-1.2029246031746
19908,53,53260,53360,Simplé,simple,47.879499170984,-0.85094150259067
19909,53,53261,53300,Soucé,souce,48.467385436893,-0.67148980582524
19910,53,53262,53210,Soulgé-sur-Ouette,soulge sur ouette,48.0624135,-0.5581344375
19911,53,53263,53110,Thubœuf,thuboeuf,48.497204861878,-0.45109701657459
19912,53,53264,53270,Thorigné-en-Charnie,thorigne en charnie,48.003156346154,-0.35807141025641
19913,53,53265,53270,Torcé-Viviers-en-Charnie,torce viviers en charnie,48.095360311419,-0.27721764705882
19914,53,53266,53160,Trans,trans,48.279236875,-0.30202911458333
19915,53,53267,53480,Vaiges,vaiges,48.050249033613,-0.47628781512605
19916,53,53269,53500,Vautorte,vautorte,48.304941545455,-0.83736236363636
19917,53,53270,53120,Vieuvy,vieuvy,48.448034390244,-0.87964154471545
19918,53,53271,53700,Villaines-la-Juhel,villaines la juhel,48.341773129496,-0.29551571942446
19919,53,53272,53250,Villepail,villepail,48.407015590062,-0.27237285714286
19920,53,53273,53170,Villiers-Charlemagne,villiers charlemagne,47.92838019802,-0.67720504950495
19921,53,53274,53160,Vimarcé,vimarce,48.187571372549,-0.23357385620915
19922,53,53276,53600,Voutré,voutre,48.137933258929,-0.29597040178571
