,,,,-MARNE,,,
18849,51,51243,51230,Faux-Fresnay,faux fresnay,48.644624303797,3.9380964556962
18850,51,51244,51320,Faux-Vésigneul,faux vesigneul,48.7746745,4.3756
18851,51,51245,51170,Faverolles-et-Coëmy,faverolles et coemy,49.233906744186,3.7943388372093
18852,51,51246,51300,Favresse,favresse,48.721923609023,4.7192357894737
18853,51,51247,51270,Fèrebrianges,ferebrianges,48.87215974026,3.8390085714286
18854,51,51248,51230,Fère-Champenoise,fere champenoise,48.773983777778,4.0317203703704
18855,51,51249,51700,Festigny,festigny,49.041699776119,3.7634556716418
18856,51,51250,51170,Fismes,fismes,49.304001690141,3.681253943662
18857,51,51251,51190,Flavigny,flavigny,48.9769953125,4.05750625
18858,51,51252,51480,Fleury-la-Rivière,fleury la riviere,49.099021728395,3.8884564197531
18859,51,51253,51800,Florent-en-Argonne,florent en argonne,49.140418613139,4.9501252554745
18860,51,51254,51120,Fontaine-Denis-Nuisy,fontaine denis nuisy,48.627839892473,3.6891666666667
18861,51,51255,51800,Fontaine-en-Dormois,fontaine en dormois,49.238357142857,4.7281774285714
18862,51,51256,51160,Fontaine-sur-Ay,fontaine sur ay,49.090253,4.0653553
18863,51,51258,51120,La Forestière,la forestiere,48.655706082474,3.5955836082474
18864,51,51259,51240,Francheville,francheville,48.883191639344,4.5337763934426
18865,51,51260,51240,Le Fresne,le fresne,48.911342258065,4.6607406451613
18866,51,51262,51300,Frignicourt,frignicourt,48.700681679389,4.5889060305343
18867,51,51263,51210,Fromentières,fromentieres,48.890563932584,3.7061884269663
18868,51,51264,51210,Le Gault-Soigny,le gault soigny,48.815326938776,3.600861122449
18869,51,51265,51120,Gaye,gaye,48.682031410256,3.8035875641026
18870,51,51266,51160,Germaine,germaine,49.123547746479,4.0267965492958
18871,51,51267,51390,Germigny,germigny,49.244291272727,3.8605252727273
18872,51,51268,51130,Germinon,germinon,48.886713928571,4.1852785714286
18873,51,51269,51290,Giffaumont-Champaubert,giffaumont champaubert,48.562100798122,4.7519056807512
18874,51,51270,51290,Gigny-Bussy,gigny bussy,48.608463197674,4.5962709302326
18875,51,51272,51330,Givry-en-Argonne,givry en argonne,48.946899257143,4.9112625714286
18876,51,51273,51130,Givry-lès-Loisy,givry les loisy,48.893698703704,3.9151142592593
18877,51,51274,51800,Gizaucourt,gizaucourt,49.054875,4.7787714814815
18878,51,51275,51300,Glannes,glannes,48.709071610738,4.5261756375839
18879,51,51276,51230,Gourgançon,gourgancon,48.682734883721,4.0331102325581
