id,department_code,insee_code,zip_code,-ARDENNES,slug,gps_lat,gps_lng
2755,8,8379,8310,Saint-Étienne-à-Arnes,saint etienne a arnes,49.3091475,4.5233836538461
2756,8,8380,8360,Saint-Fergeux,saint fergeux,49.575804857143,4.1913021904762
2757,8,8381,8190,Saint-Germainmont,saint germainmont,49.510666470588,4.1311149411765
2758,8,8382,8220,Saint-Jean-aux-Bois,saint jean aux bois,49.7219932,4.30783368
2759,8,8383,8250,Saint-Juvin,saint juvin,49.336967596899,4.9441103100775
2760,8,8384,8130,Saint-Lambert-et-Mont-de-Jeux,saint lambert et mont de jeux,49.497623370787,4.622104494382
2761,8,8385,8090,Saint-Laurent,saint laurent,49.758831190476,4.7758414285714
2762,8,8386,8300,Saint-Loup-en-Champagne,saint loup en champagne,49.454573766234,4.2146879220779
2763,8,8387,8130,Saint-Loup-Terrier,saint loup terrier,49.568832606061,4.6164348484848
2764,8,8388,8160,Saint-Marceau,saint marceau,49.707786391753,4.7143841237113
2765,8,8389,8460,Saint-Marcel,saint marcel,49.768433333333,4.5681748148148
2766,8,8390,8400,Sainte-Marie,sainte marie,49.370473239437,4.676656056338
2767,8,8391,8200,Saint-Menges,saint menges,49.760376744186,4.9263858139535
2768,8,8392,8400,Saint-Morel,saint morel,49.3389315625,4.697849609375
2769,8,8393,8310,Saint-Pierre-à-Arnes,saint pierre a arnes,49.300185526316,4.45936
2770,8,8394,8240,Saint-Pierremont,saint pierremont,49.497091647059,4.9446105098039
2771,8,8395,8430,Saint-Pierre-sur-Vence,saint pierre sur vence,49.703035866667,4.6869693333333
2772,8,8396,8220,Saint-Quentin-le-Petit,saint quentin le petit,49.583100649351,4.0747087012987
2773,8,8397,8300,Saint-Remy-le-Petit,saint remy le petit,49.40506877193,4.2360884210526
2774,8,8398,8130,Sainte-Vaubourg,sainte vaubourg,49.457657272727,4.5964177272727
2775,8,8399,8370,Sapogne-sur-Marche,sapogne sur marche,49.599591843972,5.3137308510638
2776,8,8400,8160,Sapogne-et-Feuchères,sapogne et feucheres,49.661206465517,4.7989868103448
2777,8,8401,8130,Saulces-Champenoises,saulces champenoises,49.449672149533,4.5144890654206
2778,8,8402,8270,Saulces-Monclin,saulces monclin,49.572730569948,4.5125758549223
2779,8,8403,8300,Sault-lès-Rethel,sault les rethel,49.492330759494,4.3598287341772
2780,8,8404,8190,Sault-Saint-Remy,sault saint remy,49.428474807692,4.1605701923077
