,,,,-HAUTE-GARONNE,,,
11765,31,31250,31370,Labastide-Clermont,labastide clermont,43.349872261905,1.1050453571429
11766,31,31251,31230,Labastide-Paumès,labastide paumes,43.331145555556,0.93684259259259
11767,31,31252,31620,Labastide-Saint-Sernin,labastide saint sernin,43.737150072993,1.4674653284671
11768,31,31253,31600,Labastidette,labastidette,43.456468888889,1.2340865432099
11769,31,31254,31670,Labège,labege,43.537609915254,1.5146044915254
11770,31,31255,31510,Labroquère,labroquere,43.041437142857,0.58467634920635
11771,31,31256,31190,Labruyère-Dorsa,labruyere dorsa,43.406352162162,1.4724164864865
11772,31,31258,31390,Lacaugne,lacaugne,43.280805784314,1.2806568627451
11773,31,31259,31120,Lacroix-Falgarde,lacroix falgarde,43.501660224719,1.4244356179775
11774,31,31260,31360,Laffite-Toupière,laffite toupiere,43.166740288462,0.91566057692308
11775,31,31261,31390,Lafitte-Vigordane,lafitte vigordane,43.309875053763,1.1530277419355
11776,31,31262,31290,Lagarde,lagarde,43.344206442308,1.6966139423077
11777,31,31263,31870,Lagardelle-sur-Lèze,lagardelle sur leze,43.412660215054,1.3954017204301
11778,31,31264,31190,Lagrâce-Dieu,lagrace dieu,43.338053513514,1.4051186486486
11779,31,31265,31480,Lagraulet-Saint-Nicolas,lagraulet saint nicolas,43.789459893617,1.0715038297872
11780,31,31266,31370,Lahage,lahage,43.440516853933,1.0597737078652
11781,31,31267,31310,Lahitère,lahitere,43.142207213115,1.1856763934426
11782,31,31268,31800,Lalouret-Laffiteau,lalouret laffiteau,43.186078166667,0.7045895
11783,31,31269,31600,Lamasquère,lamasquere,43.486347941176,1.2460314705882
11784,31,31270,31800,Landorthe,landorthe,43.133912,0.78178263157895
11785,31,31271,31570,Lanta,lanta,43.5613475,1.6653579166667
11786,31,31272,31310,Lapeyrère,lapeyrere,43.2063924,1.3106978666667
11787,31,31273,31180,Lapeyrouse-Fossat,lapeyrouse fossat,43.701205104167,1.50861625
11788,31,31274,31800,Larcan,larcan,43.173250106383,0.7237879787234
11789,31,31275,31480,Laréole,lareole,43.742004424779,1.0240636283186
11790,31,31276,31580,Larroque,larroque,43.201307514451,0.61338942196532
11791,31,31277,31530,Lasserre-Pradère,lasserre pradere,43.64492410596,1.1659125165563
11792,31,31278,31800,Latoue,latoue,43.1737475,0.78350141666667
11793,31,31279,31310,Latour,latour,43.200896666667,1.2810260606061
11794,31,31280,31310,Latrape,latrape,43.249422638037,1.2900388957055
11795,31,31281,31330,Launac,launac,43.752724470588,1.1647192352941
11796,31,31282,31140,Launaguet,launaguet,43.669148275862,1.4540593103448
11797,31,31283,31370,Lautignac,lautignac,43.377280588235,1.0601230065359
11798,31,31284,31650,Lauzerville,lauzerville,43.558567428571,1.5642148571429
11799,31,31285,31590,Lavalette,lavalette,43.639486693548,1.5929095967742
11800,31,31286,31220,Lavelanet-de-Comminges,lavelanet de comminges,43.258183763441,1.1083483870968
11801,31,31287,31410,Lavernose-Lacasse,lavernose lacasse,43.391505528455,1.2495887804878
11802,31,31288,31340,Layrac-sur-Tarn,layrac sur tarn,43.8338316,1.5638549333333
11803,31,31289,31580,Lécussan,lecussan,43.154850326087,0.50234554347826
11804,31,31290,31440,Lège,lege,42.87968440678,0.6008193220339
11805,31,31291,31490,Léguevin,leguevin,43.596088384615,1.2421184615385
11806,31,31292,31220,Lescuns,lescuns,43.246502166667,1.0034053333333
11807,31,31293,31150,Lespinasse,lespinasse,43.715365454545,1.3828311363636
11808,31,31294,31160,Lespiteau,lespiteau,43.065384897959,0.76271775510204
11809,31,31295,31350,Lespugue,lespugue,43.231401009174,0.6649723853211
11810,31,31296,31360,Lestelle-de-Saint-Martory,lestelle de saint martory,43.121269180328,0.90110590163934
11811,31,31297,31530,Lévignac,levignac,43.663876711409,1.2031270469799
11812,31,31298,31440,Lez,lez,42.90766983871,0.70562741935484
11813,31,31299,31600,Lherm,lherm,43.432280292398,1.2200553216374
11814,31,31300,31800,Lieoux,lieoux,43.149299285714,0.77282428571429
11815,31,31301,31230,Lilhac,lilhac,43.283321052632,0.80815631578947
11816,31,31302,31800,Lodes,lodes,43.167835877863,0.65868396946565
11817,31,31303,31410,Longages,longages,43.35794007874,1.2167940944882
11818,31,31304,31460,Loubens-Lauragais,loubens lauragais,43.578587222222,1.7840929166667
11819,31,31305,31580,Loudet,loudet,43.13616826087,0.57958717391304
11820,31,31306,31510,Lourde,lourde,42.985038,0.6563855
11821,31,31308,31510,Luscan,luscan,43.013965853659,0.62638024390244
11822,31,31309,31430,Lussan-Adeilhac,lussan adeilhac,43.297764929577,0.95647774647887
11823,31,31310,31290,Lux,lux,43.430271269841,1.7814657936508
11824,31,31311,31340,La Magdelaine-sur-Tarn,la magdelaine sur tarn,43.809721666667,1.5346135185185
11825,31,31312,31310,Mailholas,mailholas,43.247018529412,1.2522010294118
11826,31,31313,31510,Malvezie,malvezie,43.007961707317,0.69935829268293
11827,31,31314,31360,Mancioux,mancioux,43.169226557377,0.93921778688525
11828,31,31315,31260,Mane,mane,43.080323846154,0.94251406593407
11829,31,31316,31440,Marignac,marignac,42.896274657534,0.66399424657534
11830,31,31317,31430,Marignac-Lasclares,marignac lasclares,43.30522736,1.10831016
11831,31,31318,31220,Marignac-Laspeyres,marignac laspeyres,43.21330107438,0.96066818181818
11832,31,31319,31550,Marliac,marliac,43.223969313725,1.4740164705882
11833,31,31320,31390,Marquefave,marquefave,43.308614619565,1.2659029347826
11834,31,31321,31260,Marsoulas,marsoulas,43.108355,0.995765
11835,31,31322,31230,Martisserre,martisserre,43.395557142857,0.88681190476191
11836,31,31323,31210,Martres-de-Rivière,martres de riviere,43.077655263158,0.64758315789474
11837,31,31324,31220,Martres-Tolosane,martres tolosane,43.204566117021,0.99449803191489
11838,31,31325,31460,Mascarville,mascarville,43.55740575,1.754778375
11839,31,31326,31310,Massabrac,massabrac,43.225232461538,1.3688509230769
11840,31,31327,31220,Mauran,mauran,43.184593461538,1.0213951282051
11841,31,31328,31290,Mauremont,mauremont,43.455955679012,1.6806391358025
11842,31,31329,31540,Maurens,maurens,43.467246893204,1.7982022330097
11843,31,31330,31190,Mauressac,mauressac,43.321793888889,1.4317935555556
11844,31,31331,31460,Maureville,maureville,43.530092135922,1.7184350485437
11845,31,31332,31190,Mauvaisin,mauvaisin,43.356289101124,1.5363948314607
11846,31,31333,31230,Mauvezin,mauvezin,43.384460178571,0.921161875
11847,31,31334,31410,Mauzac,mauzac,43.377616202532,1.299714556962
11848,31,31335,31110,Mayrègne,mayregne,42.846870232558,0.5435576744186
11849,31,31336,31260,Mazères-sur-Salat,mazeres sur salat,43.133384393939,0.96378848484848
11850,31,31337,31440,Melles,melles,42.871405588235,0.81471041176471
11851,31,31338,31530,Menville,menville,43.679982696629,1.1885089887641
11852,31,31339,31530,Mérenvielle,merenvielle,43.618535176471,1.1674031764706
11853,31,31340,31320,Mervilla,mervilla,43.506270555556,1.4724122222222
11854,31,31341,31330,Merville,merville,43.722894666667,1.2768011851852
11855,31,31342,31160,Milhas,milhas,42.979383587786,0.81200541984733
11856,31,31343,31230,Mirambeau,mirambeau,43.404958481013,0.86513075949367
11857,31,31344,31800,Miramont-de-Comminges,miramont de comminges,43.090041777778,0.75598466666667
11858,31,31345,31190,Miremont,miremont,43.37480872807,1.4124581578947
11859,31,31346,31340,Mirepoix-sur-Tarn,mirepoix sur tarn,43.827444871795,1.5800505128205
11860,31,31347,31230,Molas,molas,43.400242095238,0.77748076190476
11861,31,31348,31160,Moncaup,moncaup,42.975228571429,0.708142
11862,31,31349,31220,Mondavezan,mondavezan,43.249367052632,1.0356575789474
11863,31,31350,31350,Mondilhan,mondilhan,43.291896434783,0.70951547826087
11864,31,31351,31700,Mondonville,mondonville,43.663243703704,1.2786207407407
11865,31,31352,31850,Mondouzil,mondouzil,43.629800892857,1.5633925
11866,31,31353,31370,Monès,mones,43.419739830508,1.0313833898305
11867,31,31354,31560,Monestrol,monestrol,43.333719230769,1.6629947435897
11868,31,31355,31280,Mons,mons,43.611456410256,1.572413974359
11869,31,31356,31530,Montaigut-sur-Save,montaigut sur save,43.689783988439,1.2319942196532
11870,31,31357,31160,Montastruc-de-Salies,montastruc de salies,43.048654538462,0.90505830769231
11871,31,31358,31380,Montastruc-la-Conseillère,montastruc la conseillere,43.72313112069,1.5901637068965
11872,31,31359,31370,Montastruc-Savès,montastruc saves,43.360946621622,1.0198275675676
11873,31,31360,31110,Montauban-de-Luchon,montauban de luchon,42.788079,0.62837
11874,31,31361,31410,Montaut,montaut,43.341799198312,1.3053185654008
11875,31,31362,31220,Montberaud,montberaud,43.163846502058,1.153006090535
11876,31,31363,31230,Montbernard,montbernard,43.301944850746,0.76917843283582
11877,31,31364,31140,Montberon,montberon,43.719420808081,1.4879213131313
