,,,,-JURA,,,
15027,39,39194,39140,Desnes,desnes,46.767061704545,5.4632195454545
15028,39,39196,39230,Les Deux-Fays,les deux fays,46.885802096774,5.4824846774194
15029,39,39197,39190,Digna,digna,46.517940526316,5.3862727192982
15030,39,39198,39100,Dole,dole,47.079802100457,5.4896212328767
15031,39,39199,39210,Domblans,domblans,46.7592283,5.59030915
15032,39,39200,39270,Dompierre-sur-Mont,dompierre sur mont,46.559452289157,5.6092368674699
15033,39,39201,39130,Doucier,doucier,46.646728200837,5.7710355648536
15034,39,39202,39110,Dournon,dournon,46.931252244898,5.9748689795918
15035,39,39203,39250,Doye,doye,46.768346575342,6.013404109589
15036,39,39204,39240,Dramelay,dramelay,46.403093666667,5.5305800555555
15037,39,39205,39700,Éclans-Nenon,eclans nenon,47.126171190476,5.5946216666667
15038,39,39206,39600,Écleux,ecleux,46.991818305085,5.7376672033898
15039,39,39207,39270,Écrille,ecrille,46.502153636364,5.6320197979798
15040,39,39208,39150,Entre-deux-Monts,entre deux monts,46.642657236842,5.9657043421053
15041,39,39209,39160,Val-d'Épy,val d epy,46.38328,5.398338
15042,39,39209,39320,Val-d'Épy,val d epy,46.38328,5.398338
15043,39,39210,39300,Équevillon,equevillon,46.761888913043,5.9440027173913
15044,39,39211,39120,Les Essards-Taignevaux,les essards taignevaux,46.902588441558,5.4107979220779
15045,39,39214,39250,Esserval-Tartre,esserval tartre,46.82903025641,6.0327669230769
15046,39,39216,39130,Étival,etival,46.495774886364,5.8032328409091
15047,39,39217,39570,L'Étoile,l etoile,46.713089457364,5.5341759689923
15048,39,39218,39700,Étrepigney,etrepigney,47.12693203125,5.67707734375
15049,39,39219,39700,Évans,evans,47.180480555556,5.7644052777778
15050,39,39220,39700,Falletans,falletans,47.094226666667,5.549362037037
15051,39,39221,39250,La Favière,la faviere,46.746255744681,6.0391932978723
15052,39,39222,39800,Fay-en-Montagne,fay en montagne,46.751592282609,5.7228765217391
15053,39,39223,39600,La Ferté,la ferte,46.938226666667,5.6471903174603
15054,39,39225,39800,Le Fied,le fied,46.775496105263,5.712608631579
15055,39,39227,39520,Foncine-le-Bas,foncine le bas,46.63332312,6.03095216
15056,39,39228,39460,Foncine-le-Haut,foncine le haut,46.658413333333,6.0581696363636
15057,39,39229,39140,Fontainebrux,fontainebrux,46.697065821918,5.4453048630137
15058,39,39230,39130,Fontenu,fontenu,46.676924912281,5.8167338596491
15059,39,39232,39150,Fort-du-Plasne,fort du plasne,46.62156973913,5.9758990434783
15060,39,39233,39100,Foucherans,foucherans,47.086032289157,5.4396245783132
15061,39,39234,39230,Foulenay,foulenay,46.861148275862,5.4886975862069
15062,39,39235,39700,Fraisans,fraisans,47.146171296296,5.7538001851852
15063,39,39236,39230,Francheville,francheville,46.835970625,5.50387
15064,39,39237,39250,Fraroz,fraroz,46.733954625,6.090770875
15065,39,39238,39290,Frasne-les-Meulières,frasne les meulieres,47.197070555556,5.5035587777778
15066,39,39239,39130,La Frasnée,la frasnee,46.563728108108,5.8000014864865
15067,39,39240,39130,Le Frasnois,le frasnois,46.632879692308,5.8913142307692
15068,39,39241,39570,Frébuans,frebuans,46.649520707071,5.4832132323232
15069,39,39244,39210,Frontenay,frontenay,46.788348439716,5.6301832624114
15070,39,39245,39120,Gatey,gatey,46.946568988764,5.4500682022472
15071,39,39246,39350,Gendrey,gendrey,47.199663684211,5.6832794078947
15072,39,39247,39240,Genod,genod,46.356276901408,5.5299756338028
15073,39,39248,39110,Geraise,geraise,46.955473146067,5.9518450561798
15074,39,39249,39380,Germigney,germigney,47.023902328767,5.6877838356164
15075,39,39250,39570,Geruge,geruge,46.621408584906,5.5287172641509
15076,39,39251,39570,Gevingey,gevingey,46.639359545455,5.5077168181818
15077,39,39252,39100,Gevry,gevry,47.03290472973,5.4468513513514
