id,department_code,insee_code,zip_code,-AISNE,slug,gps_lat,gps_lng
639,2,2233,2130,Cramaille,cramaille,49.230484390244,3.4567736585366
640,2,2234,2160,Craonne,craonne,49.445147966102,3.7922677966102
641,2,2235,2160,Craonnelle,craonnelle,49.427264555556,3.7770146666667
642,2,2236,2380,Crécy-au-Mont,crecy au mont,49.487429756098,3.3197959756098
643,2,2237,2270,Crécy-sur-Serre,crecy sur serre,49.695799929078,3.6148809929078
644,2,2238,2870,Crépy,crepy,49.604780197368,3.5025260526316
645,2,2239,2650,Crézancy,crezancy,49.042480408163,3.5190442857143
646,2,2240,2110,Croix-Fonsomme,croix fonsomme,49.933350534351,3.3911838167939
647,2,2241,2210,La Croix-sur-Ourcq,la croix sur ourcq,49.154599807692,3.3504896153846
648,2,2242,2310,Crouttes-sur-Marne,crouttes sur marne,48.978938571429,3.2431957142857
649,2,2243,2880,Crouy,crouy,49.407677222222,3.365015
650,2,2244,2120,Crupilly,crupilly,49.931653552632,3.7542938157895
651,2,2245,2880,Cuffies,cuffies,49.405119787234,3.3245114893617
652,2,2246,2480,Cugny,cugny,49.705509435484,3.154432983871
653,2,2248,2350,Cuirieux,cuirieux,49.687041515152,3.8248165151515
654,2,2249,2220,Cuiry-Housse,cuiry housse,49.28747140625,3.48882234375
655,2,2250,2160,Cuiry-lès-Chaudardes,cuiry les chaudardes,49.387100465116,3.7615677906977
656,2,2251,2360,Cuiry-lès-Iviers,cuiry les iviers,49.766181028037,4.105358317757
657,2,2252,2160,Cuissy-et-Geny,cuissy et geny,49.399971505376,3.7107706451613
658,2,2253,2200,Cuisy-en-Almont,cuisy en almont,49.417936956522,3.2429549275362
659,2,2254,2600,Cutry,cutry,49.346021463415,3.1835792682927
660,2,2255,2220,Cys-la-Commune,cys la commune,49.384186060606,3.5739490909091
661,2,2256,2140,Dagny-Lambercy,dagny lambercy,49.77418212766,4.051925106383
662,2,2257,2680,Dallon,dallon,49.819843230769,3.2315564615385
663,2,2258,2470,Dammard,dammard,49.144033333333,3.1674886486486
664,2,2259,2600,Dampleux,dampleux,49.236095185185,3.1522740740741
665,2,2260,2800,Danizy,danizy,49.667475789474,3.3994615789474
666,2,2261,2270,Dercy,dercy,49.707324222222,3.6848855555555
667,2,2262,2700,Deuillet,deuillet,49.628316865672,3.3634420895522
668,2,2263,2220,Dhuizel,dhuizel,49.3629128,3.6225712
669,2,2264,2340,Dizy-le-Gros,dizy le gros,49.639446315789,4.0250964210526
670,2,2265,2360,Dohis,dohis,49.766401518987,4.1342656962025
671,2,2266,2360,Dolignon,dolignon,49.726632792793,4.0870717117117
672,2,2267,2600,Dommiers,dommiers,49.32892525,3.213781
673,2,2268,2310,Domptin,domptin,49.014309361702,3.2703782978723
674,2,2269,2450,Dorengt,dorengt,49.966957228916,3.7044652409639
