,,,,-SOMME,,,
31914,80,80216,80300,Courcelette,courcelette,50.062673442623,2.7415642622951
31915,80,80217,80560,Courcelles-au-Bois,courcelles au bois,50.105896315789,2.5847163157895
31916,80,80218,80290,Courcelles-sous-Moyencourt,courcelles sous moyencourt,49.812696329114,2.0408018987342
31917,80,80219,80160,Courcelles-sous-Thoix,courcelles sous thoix,49.720365064935,2.0767775324675
31918,80,80220,80500,Courtemanche,courtemanche,49.663788730159,2.5430977777778
31919,80,80221,80370,Cramont,cramont,50.155327014925,2.0511186567164
31920,80,80222,80150,Crécy-en-Ponthieu,crecy en ponthieu,50.246032921348,1.8296311610487
31921,80,80223,80700,Crémery,cremery,49.743591764706,2.8233097058823
31922,80,80224,80190,Cressy-Omencourt,cressy omencourt,49.715460555556,2.9067426851852
31923,80,80225,80480,Creuse,creuse,49.8352115,2.1585693333333
31924,80,80226,80400,Croix-Moligneaux,croix moligneaux,49.820576865672,2.9980626865672
31925,80,80227,80290,Croixrault,croixrault,49.792741401869,1.9858898130841
31926,80,80228,80550,Le Crotoy,le crotoy,50.247715225225,1.6304126126126
31927,80,80229,80310,Crouy-Saint-Pierre,crouy saint pierre,49.962440123457,2.09268
31928,80,80230,80190,Curchy,curchy,49.776191558442,2.8655006493507
31929,80,80231,80360,Curlu,curlu,49.966243402062,2.8157907216495
31930,80,80232,80700,Damery,damery,49.7314948,2.742706
31931,80,80233,80700,Dancourt-Popincourt,dancourt popincourt,49.66582557377,2.7320352459016
31932,80,80234,80800,Daours,daours,49.90003575,2.4440583333333
31933,80,80235,80570,Dargnies,dargnies,50.04337975,1.52870925
31934,80,80236,80500,Davenescourt,davenescourt,49.71277384058,2.5976019565217
31935,80,80237,80110,Démuin,demuin,49.82176544,2.53980856
31936,80,80238,80300,Dernancourt,dernancourt,49.978015839416,2.6265564233577
31937,80,80239,80200,Devise,devise,49.854340869565,3.0065741304348
31938,80,80240,80200,Doingt,doingt,49.923524,2.9655193333333
31939,80,80241,80620,Domart-en-Ponthieu,domart en ponthieu,50.080397151899,2.1287391139241
31940,80,80242,80110,Domart-sur-la-Luce,domart sur la luce,49.822635795455,2.4929526136364
31941,80,80243,80370,Domesmont,domesmont,50.119578913043,2.1427834782609
