,,,,-GERS,,,
12263,32,32155,32460,Le Houga,le houga,43.769863924051,-0.18822962025316
12264,32,32156,32300,Idrac-Respaillès,idrac respailles,43.515236638655,0.46697823529412
12265,32,32157,32270,L'Isle-Arné,l isle arne,43.617720987654,0.78573432098765
12266,32,32158,32380,L'Isle-Bouzon,l isle bouzon,43.924470535714,0.74741223214286
12267,32,32159,32300,L'Isle-de-Noé,l isle de noe,43.585956981132,0.41802056603774
12268,32,32160,32600,L'Isle-Jourdain,l isle jourdain,43.614171254019,1.084058488746
12269,32,32161,32400,Izotges,izotges,43.657285362319,-0.02148884057971
12270,32,32162,32360,Jegun,jegun,43.758754756098,0.44657398373984
12271,32,32163,32160,Jû-Belloc,ju belloc,43.575353873239,0.01443253521127
12272,32,32164,32230,Juillac,juillac,43.546400410256,0.11500979487179
12273,32,32165,32200,Juilles,juilles,43.60575768595,0.82708809917355
12274,32,32166,32190,Justian,justian,43.813474754098,0.298935
12275,32,32167,32170,Laas,laas,43.474082016129,0.29922193548387
12276,32,32169,32260,Labarthe,labarthe,43.470171272727,0.57888809090909
12277,32,32170,32400,Labarthète,labarthete,43.630770724638,-0.15808369565217
12278,32,32171,32130,Labastide-Savès,labastide saves,43.519956617647,0.97782764705882
12279,32,32172,32300,Labéjan,labejan,43.543115359477,0.50463660130719
12280,32,32173,32120,Labrihe,labrihe,43.765957112299,0.87885711229946
12281,32,32174,32230,Ladevèze-Rivière,ladeveze riviere,43.550598324873,0.09155695431472
12282,32,32175,32230,Ladevèze-Ville,ladeveze ville,43.53998612069,0.06265396551724
12283,32,32176,32700,Lagarde,lagarde,43.97212109375,0.5658625
12284,32,32177,32300,Lagarde-Hachan,lagarde hachan,43.409543925234,0.50016196261682
12285,32,32178,32310,Lagardère,lagardere,43.84445,0.31875480519481
12286,32,32180,32330,Lagraulet-du-Gers,lagraulet du gers,43.888268545455,0.19583981818182
12287,32,32181,32170,Laguian-Mazous,laguian mazous,43.415793197279,0.25497591836735
12288,32,32182,32130,Lahas,lahas,43.562177375887,0.89724581560284
12289,32,32183,32810,Lahitte,lahitte,43.65840828125,0.679360625
12290,32,32184,32500,Lalanne,lalanne,43.807702045455,0.67405590909091
12291,32,32185,32140,Lalanne-Arqué,lalanne arque,43.327136454545,0.63734872727273
12292,32,32186,32260,Lamaguère,lamaguere,43.484519701493,0.6877573880597
12293,32,32187,32300,Lamazère,lamazere,43.562293061224,0.45347989795918
12294,32,32188,32500,Lamothe-Goas,lamothe goas,43.871553717949,0.57433217948718
12295,32,32189,32240,Lannemaignan,lannemaignan,43.899133031915,-0.21429319148936
12296,32,32190,32190,Lannepax,lannepax,43.811622741514,0.22593310704961
12297,32,32191,32110,Lanne-Soubiran,lanne soubiran,43.738947575758,-0.10246522727273
12298,32,32192,32400,Lannux,lannux,43.646198563536,-0.22781132596685
12299,32,32193,32150,Larée,laree,43.908052741935,-0.05061892473118
12300,32,32194,32100,Larressingle,larressingle,43.939058161765,0.31134007352941
12301,32,32195,32480,Larroque-Engalin,larroque engalin,43.988075578947,0.55222715789474
12302,32,32196,32410,Larroque-Saint-Sernin,larroque saint sernin,43.83330620915,0.46272130718954
12303,32,32197,32100,Larroque-sur-l'Osse,larroque sur l osse,43.976036075269,0.28704935483871
12304,32,32198,32450,Lartigue,lartigue,43.537917641509,0.69828132075472
12305,32,32199,32160,Lasserade,lasserade,43.630688490566,0.05710232704403
12306,32,32200,32550,Lasséran,lasseran,43.600474358974,0.5307811965812
12307,32,32201,32550,Lasseube-Propre,lasseube propre,43.572174351145,0.58207488549618
12308,32,32202,32110,Laujuzan,laujuzan,43.804880223464,-0.11721122905028
12309,32,32203,32330,Lauraët,lauraet,43.925693515625,0.2548878125
12310,32,32204,32360,Lavardens,lavardens,43.768122825112,0.52605412556054
12311,32,32205,32230,Laveraët,laveraet,43.525237966102,0.21202983050847
12312,32,32206,32220,Laymont,laymont,43.420474628099,0.99485132231405
