,,,,-GIRONDE,,,
12765,33,33192,33170,Gradignan,gradignan,44.766069375,-0.61511677083333
12766,33,33193,33590,Grayan-et-l'Hôpital,grayan et l hopital,45.428688555556,-1.1012952222222
12767,33,33194,33420,Grézillac,grezillac,44.819788125,-0.21520859375
12768,33,33195,33690,Grignols,grignols,44.408072884615,-0.02589403846154
12769,33,33196,33420,Guillac,guillac,44.804491086957,-0.2104402173913
12770,33,33197,33720,Guillos,guillos,44.565344716981,-0.51738641509434
12771,33,33198,33230,Guîtres,guitres,45.043645116279,-0.18512209302326
12772,33,33199,33470,Gujan-Mestras,gujan mestras,44.640042474747,-1.0770269191919
12773,33,33200,33185,Le Haillan,le haillan,44.879343472222,-0.68076819444444
12774,33,33201,33550,Haux,haux,44.737366013986,-0.36648440559441
12775,33,33202,33125,Hostens,hostens,44.491829929078,-0.67116602836879
12776,33,33203,33990,Hourtin,hourtin,45.186042173913,-1.097128
12777,33,33204,33190,Hure,hure,44.536399402985,-0.00072089552238996
12778,33,33205,33720,Illats,illats,44.610352567568,-0.36746013513514
12779,33,33206,33640,Isle-Saint-Georges,isle saint georges,44.725164615385,-0.47661092307692
12780,33,33207,33450,Izon,izon,44.916512019231,-0.36177211538462
12781,33,33208,33590,Jau-Dignac-et-Loirac,jau dignac et loirac,45.415200641026,-0.94173448717949
12782,33,33209,33420,Jugazan,jugazan,44.781032839506,-0.15219148148148
12783,33,33210,33890,Juillac,juillac,44.813861428571,0.05454491071429
12784,33,33211,33460,Labarde,labarde,45.017159666667,-0.63963916666667
12785,33,33212,33690,Labescau,labescau,44.448032988506,-0.08155229885057
12786,33,33213,33650,La Brède,la brede,44.679569479167,-0.53773416666667
12787,33,33214,33680,Lacanau,lacanau,44.981091538462,-1.1294142307692
12788,33,33215,33760,Ladaux,ladaux,44.703300512821,-0.24975692307692
12789,33,33216,33124,Lados,lados,44.469287959184,-0.13267306122449
12790,33,33218,33230,Lagorce,lagorce,45.079200135135,-0.15585599099099
12791,33,33219,33240,La Lande-de-Fronsac,la lande de fronsac,44.984491788618,-0.37847756097561
12792,33,33220,33460,Lamarque,lamarque,45.092504158416,-0.72190801980198
12793,33,33221,33190,Lamothe-Landerron,lamothe landerron,44.56789328125,0.0572615625
12794,33,33222,33500,Lalande-de-Pomerol,lalande de pomerol,44.956536835443,-0.21005392405063
12795,33,33223,33790,Landerrouat,landerrouat,44.740694285714,0.15996222222222
