,,,,-EURE-ET-LOIRE,,,
10363,28,28261,28120,Montigny-le-Chartif,montigny le chartif,48.293294972973,1.1259736756757
10364,28,28263,28270,Montigny-sur-Avre,montigny sur avre,48.722386868687,1.0169894949495
10365,28,28264,28240,Montireau,montireau,48.413053423423,1.0327702702703
10366,28,28265,28240,Montlandon,montlandon,48.390778536585,1.0222408536585
10367,28,28267,28500,Montreuil,montreuil,48.777852396694,1.3791876033058
10368,28,28268,28700,Morainville,morainville,48.379983225806,1.8331377419355
10369,28,28269,28630,Morancez,morancez,48.398900985915,1.497671971831
10370,28,28270,28800,Moriers,moriers,48.220261162791,1.4430465116279
10371,28,28271,28340,Morvilliers,morvilliers,48.652582164948,0.94575855670103
10372,28,28272,28160,Mottereau,mottereau,48.253460540541,1.1648621621622
10373,28,28273,28160,Moulhard,moulhard,48.213281678322,1.0216996503497
10374,28,28274,28150,Moutiers,moutiers,48.293390277778,1.7587802777778
10375,28,28275,28210,Néron,neron,48.593918888889,1.4983886507936
10376,28,28276,28310,Neuvy-en-Beauce,neuvy en beauce,48.275118051948,1.8737503896104
10377,28,28277,28800,Neuvy-en-Dunois,neuvy en dunois,48.203648947368,1.5393963157895
10378,28,28278,28630,Nogent-le-Phaye,nogent le phaye,48.450939338843,1.5720985950413
10379,28,28279,28210,Nogent-le-Roi,nogent le roi,48.634589530201,1.5281775838926
10380,28,28280,28400,Nogent-le-Rotrou,nogent le rotrou,48.315001898305,0.80689555932203
10381,28,28281,28120,Nogent-sur-Eure,nogent sur eure,48.390854851485,1.3846467326733
10382,28,28282,28120,Nonvilliers-Grandhoux,nonvilliers grandhoux,48.335824915254,1.1458125423729
10383,28,28283,28140,Nottonville,nottonville,48.121503307087,1.519494488189
10384,28,28284,28310,Oinville-Saint-Liphard,oinville saint liphard,48.237820786517,1.9255874157303
10385,28,28285,28700,Oinville-sous-Auneau,oinville sous auneau,48.470369784946,1.7198002150538
10386,28,28286,28120,Ollé,olle,48.387434285714,1.296818
10387,28,28287,28140,Orgères-en-Beauce,orgeres en beauce,48.143384189189,1.6770806756757
10388,28,28289,28210,Ormoy,ormoy,48.624444482759,1.4687825862069
10389,28,28290,28190,Orrouer,orrouer,48.405108611111,1.2754920833333
10390,28,28291,28150,Ouarville,ouarville,48.363244081633,1.7749128571429
10391,28,28292,28500,Ouerre,ouerre,48.708096666667,1.482853030303
10392,28,28293,28260,Oulins,oulins,48.866321960784,1.4849410784314
10393,28,28294,28700,Oysonville,oysonville,48.39195,1.9502175862069
10394,28,28296,28140,Péronville,peronville,48.0622578,1.5804739
10395,28,28298,28130,Pierres,pierres,48.592039726027,1.5602771232877
