,,,,-MEUSE,,,
20827,55,55366,55000,Val-d'Ornain,val d ornain,48.814404185185,5.089914
20828,55,55367,55230,Muzeray,muzeray,49.339399,5.6295264444445
20829,55,55368,55190,Naives-en-Blois,naives en blois,48.665129230769,5.5502529487179
20830,55,55369,55000,Naives-Rosières,naives rosieres,48.801270403226,5.2262785483871
20831,55,55370,55500,Naix-aux-Forges,naix aux forges,48.63214481203,5.3708283458647
20832,55,55371,55500,Nançois-le-Grand,nancois le grand,48.716514578313,5.39221
20833,55,55372,55500,Nançois-sur-Ornain,nancois sur ornain,48.722517236842,5.3170523684211
20834,55,55373,55500,Nant-le-Grand,nant le grand,48.678969339623,5.2312872641509
20835,55,55374,55500,Nant-le-Petit,nant le petit,48.652394966443,5.223917114094
20836,55,55375,55270,Nantillois,nantillois,49.302395,5.1311989285714
20837,55,55376,55500,Nantois,nantois,48.627628117647,5.3464425882353
20838,55,55377,55700,Nepvant,nepvant,49.538151639344,5.2258652459016
20839,55,55378,55800,Nettancourt,nettancourt,48.872213111111,4.9348044444444
20840,55,55379,55120,Le Neufour,le neufour,49.129099428571,4.9838828571429
20841,55,55380,55260,Neuville-en-Verdunois,neuville en verdunois,48.945900965517,5.3064436551724
20842,55,55381,55140,Neuville-lès-Vaucouleurs,neuville les vaucouleurs,48.577313474576,5.6614911016949
20843,55,55382,55800,Neuville-sur-Ornain,neuville sur ornain,48.8221132,5.05288592
20844,55,55383,55120,Neuvilly-en-Argonne,neuvilly en argonne,49.163201188525,5.0231274590164
20845,55,55384,55260,Nicey-sur-Aire,nicey sur aire,48.891273866667,5.3495529333333
20846,55,55385,55120,Nixéville-Blercourt,nixeville blercourt,49.110914675325,5.2547477272727
20847,55,55386,55210,Nonsard-Lamarche,nonsard lamarche,48.932717848837,5.7597331395349
20848,55,55387,55230,Nouillonpont,nouillonpont,49.358541965812,5.6567525641026
