,,,,-HAUTE-LOIRE,,,
16499,43,43200,43260,Saint-Julien-Chapteuil,saint julien chapteuil,45.030181160714,4.0787417857143
16500,43,43201,43500,Saint-Julien-d'Ance,saint julien d ance,45.308041452145,3.9270629372937
16501,43,43202,43300,Saint-Julien-des-Chazes,saint julien des chazes,45.047306808511,3.5774125531915
16502,43,43203,43200,Saint-Julien-du-Pinet,saint julien du pinet,45.148937634855,4.0454700829876
16503,43,43204,43220,Saint-Julien-Molhesabate,saint julien molhesabate,45.193266640316,4.4246962450593
16504,43,43205,43240,Saint-Just-Malmont,saint just malmont,45.35099890566,4.3067446792453
16505,43,43206,43100,Saint-Just-près-Brioude,saint just pres brioude,45.23178810219,3.3327347931873
16506,43,43207,43100,Saint-Laurent-Chabreuges,saint laurent chabreuges,45.2784221,3.34826635
16507,43,43208,43230,Sainte-Marguerite,sainte marguerite,45.209554180328,3.5845642622951
16508,43,43210,43150,Saint-Martin-de-Fugères,saint martin de fugeres,44.908923762376,3.9467403960396
16509,43,43211,43200,Saint-Maurice-de-Lignon,saint maurice de lignon,45.218130695652,4.1395775217391
16510,43,43212,43500,Saint-Pal-de-Chalencon,saint pal de chalencon,45.348273650307,3.9602305521472
16511,43,43213,43620,Saint-Pal-de-Mons,saint pal de mons,45.239794903846,4.2787509615385
16512,43,43214,43160,Saint-Pal-de-Senouire,saint pal de senouire,45.257376455696,3.6514019409283
16513,43,43215,43420,Saint-Paul-de-Tartas,saint paul de tartas,44.798480641509,3.895934754717
16514,43,43216,43350,Saint-Paulien,saint paulien,45.135094212034,3.8143827793696
16515,43,43217,43810,Saint-Pierre-du-Champ,saint pierre du champ,45.24222321519,3.8839621265823
16516,43,43218,43260,Saint-Pierre-Eynac,saint pierre eynac,45.049847050691,4.0335966820276
16517,43,43219,43230,Saint-Préjet-Armandon,saint prejet armandon,45.25332,3.5558575925926
16518,43,43220,43580,Saint-Préjet-d'Allier,saint prejet d allier,44.917923346774,3.6274227822581
16519,43,43221,43580,Saint-Privat-d'Allier,saint privat d allier,44.994582669173,3.6756069924812
16520,43,43222,43380,Saint-Privat-du-Dragon,saint privat du dragon,45.196179547325,3.4370484773663
16521,43,43223,43620,Saint-Romain-Lachalm,saint romain lachalm,45.267445992908,4.3362613475177
16522,43,43224,43600,Sainte-Sigolène,sainte sigolene,45.242713344371,4.2230389735099
16523,43,43225,43580,Saint-Vénérand,saint venerand,44.875026949153,3.6725238418079
16524,43,43226,43440,Saint-Vert,saint vert,45.376810212766,3.5449485106383
16525,43,43227,43140,Saint-Victor-Malescours,saint victor malescours,45.291294834711,4.3258653719008
16526,43,43228,43500,Saint-Victor-sur-Arlanc,saint victor sur arlanc,45.334402406417,3.7767941176471
16527,43,43229,43320,Saint-Vidal,saint vidal,45.074225686275,3.8005050980392
16528,43,43230,43800,Saint-Vincent,saint vincent,45.154911352941,3.8912085294118
16529,43,43231,43150,Salettes,salettes,44.869953880597,3.9745815671642
16530,43,43232,43230,Salzuit,salzuit,45.211130612245,3.4813873469388
16531,43,43233,43320,Sanssac-l'Église,sanssac l eglise,45.046358875,3.7951924583333
16532,43,43234,43170,Saugues,saugues,44.949301576087,3.5268714538043
16533,43,43236,43140,La Séauve-sur-Semène,la seauve sur semene,45.294206788991,4.2537697247706
16534,43,43237,43160,Sembadel,sembadel,45.275283605769,3.6860319230769
16535,43,43238,43510,Séneujols,seneujols,44.959703233831,3.7798229353234
16536,43,43239,43300,Siaugues-Sainte-Marie,siaugues sainte marie,45.07683192429,3.6179573501577
16537,43,43240,43130,Solignac-sous-Roche,solignac sous roche,45.254604755245,3.9942302797203
16538,43,43241,43370,Solignac-sur-Loire,solignac sur loire,44.95563568,3.87646776
16539,43,43242,43300,Tailhac,tailhac,45.054122982456,3.4604807017544
16540,43,43244,43190,Tence,tence,45.114855774648,4.2963911830986
16541,43,43245,43170,Thoras,thoras,44.8649569,3.563249
16542,43,43245,43580,Thoras,thoras,44.8649569,3.563249
16543,43,43246,43530,Tiranges,tiranges,45.288163636364,4.0124928181818
16544,43,43247,43450,Torsiac,torsiac,45.350666686047,3.1950669186046
16545,43,43249,43210,Valprivas,valprivas,45.324836103896,4.0470599675325
16546,43,43250,43230,Vals-le-Chastel,vals le chastel,45.272663545455,3.5272874545455
16547,43,43251,43750,Vals-près-le-Puy,vals pres le puy,45.023496630435,3.8614494565217
16548,43,43252,43270,Varennes-Saint-Honorat,varennes saint honorat,45.178180289017,3.6447506936416
16549,43,43253,43430,Les Vastres,les vastres,44.990540373134,4.2720336940299
16550,43,43254,43320,Vazeilles-Limandre,vazeilles limandre,45.115149212598,3.6976355905512
16551,43,43256,43170,Venteuges,venteuges,44.976762096317,3.4940011048159
16552,43,43257,43320,Vergezac,vergezac,45.03332112,3.74303816
16553,43,43258,43360,Vergongheon,vergongheon,45.370995394737,3.3339294736842
16554,43,43259,43270,Vernassal,vernassal,45.148772447917,3.7139536979167
16555,43,43260,43320,Le Vernet,le vernet,45.038415783133,3.6680842168675
16556,43,43261,43390,Vézézoux,vezezoux,45.405075483871,3.3449270967742
16557,43,43262,43100,Vieille-Brioude,vieille brioude,45.246408759124,3.3980615693431
16558,43,43263,43490,Vielprat,vielprat,44.849618484848,3.9521651515152
16559,43,43264,43380,Villeneuve-d'Allier,villeneuve d allier,45.19824754386,3.3757002631579
16560,43,43265,43600,Les Villettes,les villettes,45.242138121547,4.1808379005525
16561,43,43267,43800,Vorey,vorey,45.197775762712,3.9022385472155
16562,43,43268,43200,Yssingeaux,yssingeaux,45.143637965779,4.125797338403
