id,department_code,insee_code,zip_code,-CHARENTE-MARITIME,slug,gps_lat,gps_lng
5754,17,17072,17770,Burie,burie,45.779964916667,-0.42401608333333
5755,17,17073,17100,Bussac-sur-Charente,bussac sur charente,45.791005394737,-0.62097473684211
5756,17,17074,17210,Bussac-Forêt,bussac foret,45.18859439834,-0.37621319502075
5757,17,17075,17430,Cabariot,cabariot,45.932286416667,-0.847134
5758,17,17076,17520,Celles,celles,45.611310909091,-0.38404689393939
5759,17,17077,17270,Cercoux,cercoux,45.130346016597,-0.20661676348548
5760,17,17078,17800,Chadenac,chadenac,45.549036721311,-0.44712221311475
5761,17,17079,17890,Chaillevette,chaillevette,45.732160285714,-1.0656259047619
5762,17,17080,17290,Chambon,chambon,46.110504242424,-0.84632131313131
5763,17,17081,17130,Chamouillac,chamouillac,45.304798529412,-0.47115151960784
5764,17,17082,17500,Champagnac,champagnac,45.428130338983,-0.38481762711864
5765,17,17083,17620,Champagne,champagne,45.8292984375,-0.9211071875
5766,17,17084,17240,Champagnolles,champagnolles,45.516075405405,-0.64872459459459
5767,17,17085,17430,Champdolent,champdolent,45.913527844828,-0.78408629310345
5768,17,17086,17610,Chaniers,chaniers,45.733900829268,-0.55026702439024
5769,17,17087,17380,Chantemerle-sur-la-Soie,chantemerle sur la soie,45.974047115385,-0.64090346153846
5770,17,17089,17100,La Chapelle-des-Pots,la chapelle des pots,45.76318029703,-0.53818217821782
5771,17,17091,17230,Charron,charron,46.288472022059,-1.09159
5772,17,17092,17130,Chartuzac,chartuzac,45.337993333333,-0.41613607843137
5773,17,17093,17480,Le Château-d'Oléron,le chateau d oleron,45.878129166667,-1.2169028070175
5774,17,17094,17340,Châtelaillon-Plage,chatelaillon plage,46.069626527778,-1.0858701388889
5775,17,17095,17210,Chatenet,chatenet,45.296905823529,-0.29221017647059
5776,17,17096,17130,Chaunac,chaunac,45.360634137931,-0.35571482758621
5777,17,17097,17600,Le Chay,le chay,45.645164,-0.89877575
5778,17,17098,17120,Chenac-Saint-Seurin-d'Uzet,chenac saint seurin d uzet,45.510868557214,-0.81574825870647
5779,17,17099,17210,Chepniers,chepniers,45.25939771028,-0.32404219626168
5780,17,17100,17610,Chérac,cherac,45.711073687151,-0.4469512849162
5781,17,17101,17470,Cherbonnières,cherbonnieres,45.95876379845,-0.33240395348837
5782,17,17102,17460,Chermignac,chermignac,45.69535625,-0.68367947916667
5783,17,17104,17210,Chevanceaux,chevanceaux,45.300343801653,-0.20565239669422
