id,department_code,insee_code,zip_code,-ALPES-MARITIMES,slug,gps_lat,gps_lng
2049,6,6141,6830,Toudon,toudon,43.8802848,7.1069156
2050,6,6142,6440,Touët-de-l'Escarène,touet de l escarene,43.852665851852,7.3770855555556
2051,6,6143,6710,Touët-sur-Var,touet sur var,43.945255592105,7.0137430921053
2052,6,6144,6420,La Tour,la tour,43.958783744076,7.2010141706161
2053,6,6145,6830,Tourette-du-Château,tourette du chateau,43.874038971429,7.1360765142857
2054,6,6146,6420,Tournefort,tournefort,43.94126986755,7.1580962913907
2055,6,6147,6690,Tourrette-Levens,tourrette levens,43.78753627451,7.2734154901961
2056,6,6148,6140,Tourrettes-sur-Loup,tourrettes sur loup,43.711952821782,7.0466053960396
2057,6,6149,6340,La Trinité,la trinite,43.745500366972,7.339734587156
2058,6,6150,6320,La Turbie,la turbie,43.745757621951,7.4007312804878
2059,6,6151,6450,Utelle,utelle,43.938747466667,7.2415358
2060,6,6152,6560,Valbonne,valbonne,43.62920620915,7.0335252287582
2061,6,6153,6420,Valdeblore,valdeblore,44.117138259587,7.193348259587
2062,6,6154,6750,Valderoure,valderoure,43.792088169014,6.7049394366197
2063,6,6155,6220,Vallauris,vallauris,43.573321894737,7.062251
2064,6,6156,6450,Venanson,venanson,44.040064845361,7.240538556701
2065,6,6157,6140,Vence,vence,43.734133529412,7.1087361764706
2066,6,6158,6710,Villars-sur-Var,villars sur var,43.952023333333,7.0776536538462
2067,6,6159,6230,Villefranche-sur-Mer,villefranche sur mer,43.706352010582,7.3180572486772
2068,6,6160,6470,Villeneuve-d'Entraunes,villeneuve d entraunes,44.123880628931,6.7884986792453
2069,6,6161,6270,Villeneuve-Loubet,villeneuve loubet,43.649233522727,7.1099217045455
2070,6,6162,6430,La Brigue,la brigue,44.069486,7.6437708571429
2071,6,6163,6430,Tende,tende,44.100436450116,7.5448848723898
