,,,,-LOIRE,,,
16237,42,42272,42520,Saint-Pierre-de-Bœuf,saint pierre de boeuf,45.377670140845,4.7443707042254
16238,42,42273,42190,Saint-Pierre-la-Noaille,saint pierre la noaille,46.180631527778,4.1048598611111
16239,42,42274,42260,Saint-Polgues,saint polgues,45.911091926606,3.9779747706422
16240,42,42275,42270,Saint-Priest-en-Jarez,saint priest en jarez,45.473911647059,4.3727716470588
16241,42,42276,42830,Saint-Priest-la-Prugne,saint priest la prugne,45.953086762178,3.758856017192
16242,42,42277,42590,Saint-Priest-la-Roche,saint priest la roche,45.918511552795,4.1078018012422
16243,42,42278,42440,Saint-Priest-la-Vêtre,saint priest la vetre,45.800852465753,3.8110330821918
16244,42,42279,42170,Saint-Just-Saint-Rambert,saint just saint rambert,45.484694753363,4.2480657847534
16245,42,42280,42660,Saint-Régis-du-Coin,saint regis du coin,45.286186306818,4.4572697159091
16246,42,42281,42370,Saint-Rirand,saint rirand,46.069688527132,3.835
16247,42,42282,42430,Saint-Romain-d'Urfé,saint romain d urfe,45.885594468085,3.8184919680851
16248,42,42283,42800,Saint-Romain-en-Jarez,saint romain en jarez,45.560121832061,4.5429657251908
16249,42,42284,42640,Saint-Romain-la-Motte,saint romain la motte,46.081788484848,3.9890245454545
16250,42,42285,42610,Saint-Romain-le-Puy,saint romain le puy,45.554935912409,4.1347904379562
16251,42,42286,42660,Saint-Romain-les-Atheux,saint romain les atheux,45.364810762332,4.3735375784753
16252,42,42287,42220,Saint-Sauveur-en-Rue,saint sauveur en rue,45.279210705394,4.5022019917012
16253,42,42288,42130,Saint-Sixte,saint sixte,45.773148117647,3.971321
16254,42,42289,42470,Saint-Symphorien-de-Lay,saint symphorien de lay,45.945287283237,4.2202763872832
16255,42,42290,42600,Saint-Thomas-la-Garde,saint thomas la garde,45.569596481481,4.0818474074074
16256,42,42291,42111,Saint-Thurin,saint thurin,45.81778987013,3.8853822077922
16257,42,42293,42630,Saint-Victor-sur-Rhins,saint victor sur rhins,46.004474371859,4.2778312562814
16258,42,42294,42120,Saint-Vincent-de-Boisset,saint vincent de boisset,46.012260821918,4.1132589041096
16259,42,42295,42440,Les Salles,les salles,45.856709730539,3.7676682335329
16260,42,42296,42110,Salt-en-Donzy,salt en donzy,45.73722109489,4.2850942335766
16261,42,42297,42110,Salvizinet,salvizinet,45.756698617886,4.2732008130081
16262,42,42298,42990,Sauvain,sauvain,45.665679170507,3.8716280184332
16263,42,42299,42600,Savigneux,savigneux,45.621846666667,4.0955977419355
16264,42,42300,42460,Sevelinges,sevelinges,46.097058429752,4.2902854545455
16265,42,42301,42560,Soleymieux,soleymieux,45.505417848101,4.0612477848101
16266,42,42302,42290,Sorbiers,sorbiers,45.497703055556,4.4405029166667
16267,42,42303,42260,Souternon,souternon,45.875554670051,3.9938210152284
16268,42,42304,42450,Sury-le-Comtal,sury le comtal,45.541277818182,4.1778181818182
16269,42,42305,42350,La Talaudière,la talaudiere,45.478495,4.4256053061225
16270,42,42306,42660,Tarentaise,tarentaise,45.362264551724,4.4872829655172
16271,42,42307,42800,Tartaras,tartaras,45.55328688172,4.6660919354839
16272,42,42308,42740,La Terrasse-sur-Dorlay,la terrasse sur dorlay,45.445782191781,4.5854
16273,42,42310,42220,Thélis-la-Combe,thelis la combe,45.332353773585,4.551204009434
16274,42,42311,42580,La Tour-en-Jarez,la tour en jarez,45.489805913043,4.3984533913043
16275,42,42312,42380,La Tourette,la tourette,45.424459239766,4.0847216374269
16276,42,42313,42130,Trelins,trelins,45.726801129032,4.0082293548387
16277,42,42314,42830,La Tuilière,la tuiliere,45.960516206897,3.8148167586207
16278,42,42315,42210,Unias,unias,45.61018,4.2283585
16279,42,42316,42240,Unieux,unieux,45.404163834586,4.2644852631579
16280,42,42317,42310,Urbise,urbise,46.249786864407,3.8895303813559
16281,42,42318,42550,Usson-en-Forez,usson en forez,45.384595266667,3.9388484888889
16282,42,42319,42110,Valeille,valeille,45.708267777778,4.2902924305556
16283,42,42320,42320,Valfleury,valfleury,45.540929435484,4.5148314516129
16284,42,42321,42111,La Valla-sur-Rochefort,la valla sur rochefort,45.75682505814,3.8468737209302
16285,42,42322,42131,La Valla-en-Gier,la valla en gier,45.405824834437,4.5279382119205
16286,42,42323,42340,Veauche,veauche,45.561391532258,4.2973850806452
16287,42,42324,42340,Veauchette,veauchette,45.55946425,4.25366075
16288,42,42325,42590,Vendranges,vendranges,45.932434577465,4.1324761267606
16289,42,42326,42520,Véranne,veranne,45.371924782609,4.6400406521739
16290,42,42327,42410,Vérin,verin,45.4568944,4.7433405333333
16291,42,42328,42600,Verrières-en-Forez,verrieres en forez,45.570476763285,3.9985212077295
16292,42,42329,42220,La Versanne,la versanne,45.321212142857,4.5165202857143
16293,42,42330,42390,Villars,villars,45.469964183673,4.3532958163265
16294,42,42331,42155,Villemontais,villemontais,45.98844495935,3.9323801626016
16295,42,42332,42300,Villerest,villerest,45.997050546875,4.026059296875
16296,42,42333,42460,Villers,villers,46.123799673913,4.2298045652174
16297,42,42334,42780,Violay,violay,45.848582850679,4.3460614479638
16298,42,42335,42140,Viricelles,viricelles,45.654613035714,4.3827530357143
16299,42,42336,42140,Virigneux,virigneux,45.685747480315,4.3479288188976
16300,42,42337,42310,Vivans,vivans,46.178904336735,3.9382276530612
16301,42,42338,42720,Vougy,vougy,46.087986521739,4.1306521118012
16302,42,42339,42430,Chausseterre,chausseterre,45.903062420382,3.7710417197452
