,,,,-TARN,,,
32627,81,81147,81120,Lombers,lombers,43.819389861111,2.1444465277778
32628,81,81148,81170,Loubers,loubers,44.039317205882,1.8940716176471
32629,81,81149,81800,Loupiac,loupiac,43.8244009375,1.791420375
32630,81,81150,81500,Lugan,lugan,43.732111609195,1.7196195402299
32631,81,81151,81220,Magrin,magrin,43.613051973684,1.9223263157895
32632,81,81152,81130,Mailhoc,mailhoc,44.004046603774,2.0742939622642
32633,81,81154,81170,Marnaves,marnaves,44.097265808824,1.8781408088235
32634,81,81156,81150,Marssac-sur-Tarn,marssac sur tarn,43.912457333333,2.0419086666667
32635,81,81157,81500,Marzens,marzens,43.658265,1.8391036805556
32636,81,81158,81530,Le Masnau-Massuguiès,le masnau massuguies,43.807564114441,2.5397150408719
32637,81,81159,81500,Massac-Séran,massac seran,43.664972777778,1.8657237777778
32638,81,81160,81110,Massaguel,massaguel,43.4770465625,2.1769617708333
32639,81,81161,81250,Massals,massals,43.860249598394,2.5169636947791
32640,81,81162,81470,Maurens-Scopont,maurens scopont,43.595543241379,1.8119212413793
32641,81,81163,81200,Mazamet,mazamet,43.459201262136,2.4037568608414
32642,81,81164,81800,Mézens,mezens,43.792883513514,1.6634818918919
32643,81,81165,81170,Milhars,milhars,44.122707777778,1.8719622222222
32644,81,81166,81130,Milhavet,milhavet,44.031525272727,2.0272596363636
32645,81,81167,81250,Miolles,miolles,43.879837727273,2.5445107142857
32646,81,81168,81190,Mirandol-Bourgnounac,mirandol bourgnounac,44.147897170418,2.1859764951768
32647,81,81169,81300,Missècle,missecle,43.722292,1.984348
32648,81,81170,81640,Monestiés,monesties,44.081902080925,2.0986127745665
32649,81,81171,81600,Montans,montans,43.847613262032,1.8637145989305
32650,81,81172,81190,Montauriol,montauriol,44.082801690141,2.3243522535211
32651,81,81173,81500,Montcabrier,montcabrier,43.618148039216,1.7366324509804
32652,81,81174,81440,Montdragon,montdragon,43.77626442029,2.1001760869565
32653,81,81175,81630,Montdurausse,montdurausse,43.95085960452,1.591822259887
32654,81,81176,81140,Montels,montels,43.963206206897,1.8871194827586
32655,81,81177,81210,Montfa,montfa,43.698405308642,2.2248966666667
32656,81,81178,81630,Montgaillard,montgaillard,43.911150851064,1.6083734751773
32657,81,81179,81470,Montgey,montgey,43.511685916667,1.9449890833333
32658,81,81180,81190,Montirat,montirat,44.156147574627,2.088452761194
32659,81,81181,81440,Montpinier,montpinier,43.678938555556,2.1917931111111
32660,81,81182,81360,Montredon-Labessonnié,montredon labessonnie,43.730525089286,2.3387671071429
32661,81,81183,81120,Mont-Roc,mont roc,43.803411969697,2.3755194949495
32662,81,81184,81170,Montrosier,montrosier,44.129292096774,1.8428924193548
32663,81,81185,81630,Montvalen,montvalen,43.858339237288,1.5950933050848
32664,81,81186,81190,Moularès,moulares,44.077878190045,2.2759628054299
32665,81,81187,81300,Moulayrès,moulayres,43.704859325843,2.0230613483146
32666,81,81188,81320,Moulin-Mage,moulin mage,43.715009505494,2.7819364285714
32667,81,81189,81470,Mouzens,mouzens,43.531250128205,1.8911466666667
32668,81,81190,81430,Mouzieys-Teulet,mouzieys teulet,43.876952191011,2.2723855617977
32669,81,81191,81170,Mouzieys-Panens,mouzieys panens,44.108612546584,1.929079378882
32670,81,81192,81320,Murat-sur-Vèbre,murat sur vebre,43.686346003683,2.8414479189687
32671,81,81193,81320,Nages,nages,43.661156521739,2.7871016722408
32672,81,81195,81710,Navès,naves,43.5636409375,2.2188615625
32673,81,81196,81490,Noailhac,noailhac,43.576203875,2.357829
32674,81,81197,81170,Noailles,noailles,44.00992254717,1.9882020754717
32675,81,81198,81120,Orban,orban,43.83775027027,2.0782147747748
32676,81,81199,81340,Padiès,padies,44.044771673004,2.3604576806084
32677,81,81200,81700,Palleville,palleville,43.505595063291,1.9914170886076
32678,81,81201,81190,Pampelonne,pampelonne,44.112663333333,2.2387501666667
32679,81,81202,81310,Parisot,parisot,43.810472918149,1.8303620284698
32680,81,81203,81250,Paulinet,paulinet,43.847971353846,2.4383259846154
32681,81,81204,81660,Payrin-Augmontel,payrin augmontel,43.541310695187,2.3438425668449
32682,81,81205,81470,Péchaudier,pechaudier,43.54546,1.9459940963855
32683,81,81206,81140,Penne,penne,44.081386056338,1.7199170892019
32684,81,81207,81440,Peyregoux,peyregoux,43.702341551724,2.1976648275862
32685,81,81208,81310,Peyrole,peyrole,43.812964435146,1.901429665272
32686,81,81209,81660,Pont-de-Larn,pont de larn,43.531716693878,2.4121718367347
32687,81,81210,81700,Poudis,poudis,43.5253485,1.98244425
32688,81,81211,81120,Poulan-Pouzols,poulan pouzols,43.856857719298,2.107002631579
32689,81,81212,81220,Prades,prades,43.613193877551,1.9693910204082
32690,81,81213,81500,Pratviel,pratviel,43.637867763158,1.8877553947368
32691,81,81214,81470,Puéchoursi,puechoursi,43.514103921569,1.9031801960784
32692,81,81215,81390,Puybegon,puybegon,43.780345761589,1.8980638410596
32693,81,81216,81440,Puycalvel,puycalvel,43.68512109375,2.0679996875
32694,81,81217,81140,Puycelsi,puycelsi,43.979410725806,1.7023737096774
32695,81,81218,81120,Puygouzon,puygouzon,43.8990719,2.168616
32696,81,81218,81990,Puygouzon,puygouzon,43.8990719,2.168616
32697,81,81219,81700,Puylaurens,puylaurens,43.581610974026,2.0072557792208
32698,81,81220,81800,Rabastens,rabastens,43.835877605634,1.7080842957747
32699,81,81221,81330,Rayssac,rayssac,43.802808181818,2.4245599521531
32700,81,81222,81120,Réalmont,realmont,43.775551188119,2.1947906930693
32701,81,81223,81240,Le Rialet,le rialet,43.557346526316,2.4673646315789
32702,81,81224,81170,Le Riols,le riols,44.141832068966,1.911403908046
32703,81,81225,81600,Rivières,rivieres,43.917158217822,1.9671006930693
32704,81,81226,81120,Ronel,ronel,43.815955294118,2.2126954901961
32705,81,81227,81210,Roquecourbe,roquecourbe,43.671650734463,2.2740429378531
32706,81,81228,81800,Roquemaure,roquemaure,43.822373741497,1.6176575510204
32707,81,81229,81470,Roquevidal,roquevidal,43.621503176471,1.8607535294118
32708,81,81230,81400,Rosières,rosieres,44.04568515625,2.199220703125
32709,81,81231,81240,Rouairoux,rouairoux,43.4935011,2.55743245
32710,81,81232,81150,Rouffiac,rouffiac,43.881542340426,2.0732693617021
32711,81,81233,81120,Roumégoux,roumegoux,43.807618381503,2.2633615028902
32712,81,81234,81140,Roussayrolles,roussayrolles,44.092822,1.8282375384615
32713,81,81235,81290,Saint-Affrique-les-Montagnes,saint affrique les montagnes,43.527878762887,2.1987119587629
32714,81,81236,81500,Saint-Agnan,saint agnan,43.696602363636,1.7401410909091
32715,81,81237,81110,Saint-Amancet,saint amancet,43.46831746988,2.1084578313253
32716,81,81238,81240,Saint-Amans-Soult,saint amans soult,43.464915958549,2.4785538341969
32717,81,81239,81240,Saint-Amans-Valtoret,saint amans valtoret,43.506318975155,2.4961481987578
32718,81,81240,81250,Saint-André,saint andre,43.927834470588,2.4617336470588
32719,81,81241,81120,Saint-Antonin-de-Lacalm,saint antonin de lacalm,43.775701019737,2.2915602302632
32720,81,81242,81110,Saint-Avit,saint avit,43.514029157895,2.1211784210526
32721,81,81243,81140,Saint-Beauzile,saint beauzile,44.02879107438,1.8157561983471
32722,81,81244,81400,Saint-Benoît-de-Carmaux,saint benoit de carmaux,44.057746428571,2.1312922857143
32723,81,81245,81190,Saint-Christophe,saint christophe,44.149386871508,2.0455387150838
32724,81,81246,81140,Sainte-Cécile-du-Cayrou,sainte cecile du cayrou,44.004447155963,1.8051081651376
32725,81,81247,81340,Saint-Cirgue,saint cirgue,43.970542614379,2.3685024183007
32726,81,81248,81390,Saint-Gauzens,saint gauzens,43.744746,1.8812836666667
32727,81,81249,81190,Sainte-Gemme,sainte gemme,44.090270896226,2.1978403773585
32728,81,81250,81440,Saint-Genest-de-Contest,saint genest de contest,43.764217333333,2.1462796666667
32729,81,81251,81700,Saint-Germain-des-Prés,saint germain des pres,43.564615797872,2.087325
32730,81,81252,81210,Saint-Germier,saint germier,43.679380877193,2.2305229824561
32731,81,81253,81350,Saint-Grégoire,saint gregoire,43.957463241379,2.2645616551724
32732,81,81254,81350,Saint-Jean-de-Marcel,saint jean de marcel,44.056257651515,2.2480889772727
32733,81,81255,81500,Saint-Jean-de-Rives,saint jean de rives,43.734648674699,1.7624409638554
32734,81,81256,81210,Saint-Jean-de-Vals,saint jean de vals,43.682265901639,2.2594201639344
32735,81,81257,81160,Saint-Juéry,saint juery,43.936957372881,2.2240921186441
32736,81,81258,81440,Saint-Julien-du-Puy,saint julien du puy,43.752348866667,2.0772518666667
32737,81,81259,81340,Saint-Julien-Gaulène,saint julien gaulene,43.995753529412,2.3407006302521
32738,81,81260,81120,Saint-Lieux-Lafenasse,saint lieux lafenasse,43.782225286624,2.240804522293
32739,81,81261,81500,Saint-Lieux-lès-Lavaur,saint lieux les lavaur,43.754329571429,1.7494661428571
32740,81,81262,81170,Saint-Marcel-Campes,saint marcel campes,44.086158594595,2.0039397837838
32741,81,81263,81170,Saint-Martin-Laguépie,saint martin laguepie,44.132324943396,1.9622181132076
32742,81,81264,81340,Saint-Michel-Labadié,saint michel labadie,44.000228354978,2.4228205627706
32743,81,81265,81140,Saint-Michel-de-Vax,saint michel de vax,44.111535584416,1.8034871428571
32744,81,81266,81220,Saint-Paul-Cap-de-Joux,saint paul cap de joux,43.637968238994,1.9952937106918
32745,81,81267,81330,Saint-Pierre-de-Trivisy,saint pierre de trivisy,43.750049460227,2.4427623579545
32746,81,81268,81530,Saint-Salvi-de-Carcavès,saint salvi de carcaves,43.800316424242,2.5867467272727
32747,81,81269,81490,Saint-Salvy-de-la-Balme,saint salvy de la balme,43.6097526,2.38175724
32748,81,81270,81700,Saint-Sernin-lès-Lavaur,saint sernin les lavaur,43.543816792453,1.9709694339623
32749,81,81271,81370,Saint-Sulpice-la-Pointe,saint sulpice la pointe,43.755396618705,1.6881669064748
32750,81,81272,81630,Saint-Urcisse,saint urcisse,43.931726239316,1.6090645299145
32751,81,81273,81710,Saïx,saix,43.586543076923,2.1782184615385
32752,81,81274,81990,Saliès,salies,43.884430243902,2.1338263414634
32753,81,81275,81640,Salles,salles,44.077304357143,2.042153
32754,81,81276,81630,Salvagnac,salvagnac,43.923865232558,1.6821231395349
32755,81,81277,81350,Saussenac,saussenac,43.990003114754,2.2496414754098
32756,81,81278,81240,Sauveterre,sauveterre,43.4568425,2.5524567647059
32757,81,81279,81630,La Sauzière-Saint-Jean,la sauziere saint jean,43.953825,1.6473492352941
32758,81,81280,81640,Le Ségur,le segur,44.105982062257,2.0616851750973
32759,81,81281,81570,Sémalens,semalens,43.597099237288,2.1039111016949
32760,81,81282,81530,Senaux,senaux,43.763032391304,2.6158881521739
32761,81,81283,81600,Senouillac,senouillac,43.94640390411,1.951908630137
32762,81,81284,81990,Le Sequestre,le sequestre,43.909666458333,2.1039572916667
32763,81,81285,81350,Sérénac,serenac,43.962679879032,2.3302166532258
32764,81,81286,81220,Serviès,servies,43.663790687023,2.0317944274809
32765,81,81287,81120,Sieurac,sieurac,43.809530625,2.086428
32766,81,81288,81540,Sorèze,soreze,43.432889013605,2.0840567006803
32767,81,81289,81580,Soual,soual,43.552668031915,2.1290458510638
32768,81,81290,81170,Souel,souel,44.038049433962,1.9628421698113
32769,81,81291,81130,Taïx,taix,44.010849074074,2.1168042592593
32770,81,81292,81190,Tanus,tanus,44.107584864865,2.3036200540541
32771,81,81293,81630,Tauriac,tauriac,43.879686086957,1.5942535652174
32772,81,81294,81600,Técou,tecou,43.83888184,1.93571096
32773,81,81295,81120,Teillet,teillet,43.848173453815,2.3477195582329
32774,81,81296,81120,Terre-Clapier,terre clapier,43.848560280374,2.3015092523364
32775,81,81297,81150,Terssac,terssac,43.921361568627,2.0664596078431
32776,81,81298,81500,Teulat,teulat,43.63549969697,1.7079683333333
32777,81,81299,81220,Teyssode,teyssode,43.646145363128,1.9213946927374
32778,81,81300,81170,Tonnac,tonnac,44.070159453125,1.857346171875
32779,81,81301,81120,Le Travet,le travet,43.810653106061,2.3267982575758
32780,81,81302,81190,Tréban,treban,44.095247213115,2.3479378688525
32781,81,81303,81340,Trébas,trebas,43.958655394737,2.4881840789474
32782,81,81304,81190,Trévien,trevien,44.106980049261,2.1229575369458
32783,81,81305,81330,Vabre,vabre,43.705453611111,2.4214623958333
32784,81,81306,81350,Valderiès,valderies,44.018112719298,2.2330651754386
32785,81,81307,81090,Valdurenque,valdurenque,43.572864454545,2.3128945454545
