,,,,-LOIRE-ATLANTIQUE,,,
16724,44,44170,44670,Saint-Julien-de-Vouvantes,saint julien de vouvantes,47.65198273224,-1.2324148087432
16725,44,44171,44710,Saint-Léger-les-Vignes,saint leger les vignes,47.142942567568,-1.7125843243243
16726,44,44172,44980,Sainte-Luce-sur-Loire,sainte luce sur loire,47.25492675,-1.472177
16727,44,44173,44190,Saint-Lumine-de-Clisson,saint lumine de clisson,47.078593189189,-1.3642813513513
16728,44,44174,44310,Saint-Lumine-de-Coutais,saint lumine de coutais,47.044723142857,-1.726754952381
16729,44,44175,44410,Saint-Lyphard,saint lyphard,47.374619398496,-2.339500037594
16730,44,44176,44550,Saint-Malo-de-Guersac,saint malo de guersac,47.354247777778,-2.1702941414141
16731,44,44178,44680,Saint-Mars-de-Coutais,saint mars de coutais,47.075995351351,-1.7482584864865
16732,44,44179,44850,Saint-Mars-du-Désert,saint mars du desert,47.355625878378,-1.4385866216216
16733,44,44180,44540,Vallons-de-l'Erdre,vallons de l erdre,47.545151502276,-1.1223843247345
16734,44,44182,44730,Saint-Michel-Chef-Chef,saint michel chef chef,47.171716170213,-2.1301961702128
16735,44,44183,44350,Saint-Molf,saint molf,47.3968872,-2.41383535
16736,44,44184,44600,Saint-Nazaire,saint nazaire,47.272869090909,-2.2498709641873
16737,44,44185,44460,Saint-Nicolas-de-Redon,saint nicolas de redon,47.635043202614,-2.0534048366013
16738,44,44186,44680,Sainte-Pazanne,sainte pazanne,47.089203169399,-1.8081461202186
16739,44,44187,44320,Saint-Père-en-Retz,saint pere en retz,47.229005416667,-2.0709619907407
16740,44,44188,44310,Saint-Philbert-de-Grand-Lieu,saint philbert de grand lieu,47.063235679348,-1.6483893478261
16741,44,44189,44160,Sainte-Reine-de-Bretagne,sainte reine de bretagne,47.445031203008,-2.1827042857143
16742,44,44190,44230,Saint-Sébastien-sur-Loire,saint sebastien sur loire,47.205701805556,-1.4914894444444
16743,44,44192,44320,Saint-Viaud,saint viaud,47.244920813008,-1.9960057723577
16744,44,44193,44590,Saint-Vincent-des-Landes,saint vincent des landes,47.653247398374,-1.5008637398374
16745,44,44194,44880,Sautron,sautron,47.272025384615,-1.67558
16746,44,44195,44260,Savenay,savenay,47.355820430107,-1.9254796774194
16747,44,44196,44530,Sévérac,severac,47.556704054054,-2.075160990991
16748,44,44197,44590,Sion-les-Mines,sion les mines,47.729795910543,-1.5755288498403
