,,,,-CHER,,,
6398,18,18244,18290,Saugy,saugy,46.96440703125,2.11428046875
6399,18,18245,18360,Saulzais-le-Potier,saulzais le potier,46.597772755102,2.4959868367347
6400,18,18246,18240,Savigny-en-Sancerre,savigny en sancerre,47.442175454545,2.7922038181818
6401,18,18247,18390,Savigny-en-Septaine,savigny en septaine,47.046055966387,2.5723276470588
6402,18,18248,18340,Senneçay,sennecay,46.952275396825,2.4466022222222
6403,18,18249,18300,Sens-Beaujeu,sens beaujeu,47.334157142857,2.6866293233083
6404,18,18250,18190,Serruelles,serruelles,46.885213561644,2.3832584931507
6405,18,18251,18140,Sévry,sevry,47.133709482759,2.8242510344828
6406,18,18252,18270,Sidiailles,sidiailles,46.500162114286,2.3188952
6407,18,18253,18220,Soulangis,soulangis,47.179616176471,2.5137044117647
6408,18,18254,18340,Soye-en-Septaine,soye en septaine,47.031763536585,2.4833652439024
6409,18,18255,18570,Le Subdray,le subdray,47.010819125,2.307540125
6410,18,18256,18260,Subligny,subligny,47.395886575342,2.7417084246575
6411,18,18257,18240,Sury-près-Léré,sury pres lere,47.483694393939,2.8404193939394
6412,18,18258,18300,Sury-en-Vaux,sury en vaux,47.37230112069,2.8047021551724
6413,18,18259,18260,Sury-ès-Bois,sury es bois,47.463395882353,2.7145024264706
6414,18,18260,18350,Tendron,tendron,46.979676530612,2.8205244897959
6415,18,18261,18210,Thaumiers,thaumiers,46.817922183908,2.6661316091954
6416,18,18262,18300,Thauvenay,thauvenay,47.298780675676,2.8709785135135
6417,18,18263,18100,Thénioux,thenioux,47.256571368421,1.9421487368421
6418,18,18264,18260,Thou,thou,47.418048347107,2.6662955371901
6419,18,18265,18320,Torteron,torteron,47.007521111111,2.9824269444444
6420,18,18266,18160,Touchay,touchay,46.714460946746,2.2055444378698
6421,18,18267,18570,Trouy,trouy,47.016395454545,2.3671410227273
6422,18,18268,18190,Uzay-le-Venon,uzay le venon,46.827850859375,2.467924921875
6423,18,18269,18260,Vailly-sur-Sauldre,vailly sur sauldre,47.451895746269,2.6452362686567
6424,18,18270,18190,Vallenay,vallenay,46.772723049327,2.3750657399103
6425,18,18271,18110,Vasselay,vasselay,47.160975133333,2.3949045333333
6426,18,18272,18300,Veaugues,veaugues,47.267471320755,2.7543161320755
6427,18,18273,18190,Venesmes,venesmes,46.845468790323,2.2953244354839
6428,18,18274,18300,Verdigny,verdigny,47.349232545455,2.8085916363636
6429,18,18275,18600,Vereaux,vereaux,46.873690124224,2.8756528571429
6430,18,18276,18210,Vernais,vernais,46.767924620253,2.7034220886076
6431,18,18277,18210,Verneuil,verneuil,46.821792424242,2.5976964646465
6432,18,18278,18360,Vesdun,vesdun,46.554568047337,2.4249704733728
6433,18,18279,18100,Vierzon,vierzon,47.222646,2.0712911428571
6434,18,18280,18110,Vignoux-sous-les-Aix,vignoux sous les aix,47.187075166667,2.4672378333333
6435,18,18281,18500,Vignoux-sur-Barangeon,vignoux sur barangeon,47.202519313305,2.1820206008584
6436,18,18282,18800,Villabon,villabon,47.11049304,2.68327472
6437,18,18283,18160,Villecelin,villecelin,46.82064961039,2.2016605194805
6438,18,18284,18260,Villegenon,villegenon,47.419931085271,2.6065795348837
6439,18,18285,18400,Villeneuve-sur-Cher,villeneuve sur cher,47.029436851852,2.2122056481481
6440,18,18286,18800,Villequiers,villequiers,47.078552357724,2.8047413821138
6441,18,18287,18300,Vinon,vinon,47.281688125,2.8362701041667
6442,18,18288,18340,Vorly,vorly,46.93860943662,2.472236056338
6443,18,18289,18130,Vornay,vornay,46.969402330097,2.5918623300971
6444,18,18290,18330,Vouzeron,vouzeron,47.268444904459,2.2122991719745
