,,,,-DORDOGNE,,,
8258,24,24241,24210,Limeyrat,limeyrat,45.165870714286,0.97848428571429
8259,24,24242,24520,Liorac-sur-Louyre,liorac sur louyre,44.898401226994,0.64189343558282
8260,24,24243,24350,Lisle,lisle,45.273082054795,0.55871219178082
8261,24,24244,24540,Lolme,lolme,44.7119194,0.8469953
8262,24,24245,24550,Loubejac,loubejac,44.604798773006,1.069697607362
8263,24,24246,24130,Lunas,lunas,44.927516928571,0.39516264285714
8264,24,24247,24320,Lusignac,lusignac,45.323371052632,0.31552353383459
8265,24,24248,24300,Lussas-et-Nontronneau,lussas et nontronneau,45.523740401606,0.58354200803213
8266,24,24249,24620,Manaurie,manaurie,44.963023402062,0.98738762886598
8267,24,24251,24110,Manzac-sur-Vern,manzac sur vern,45.0829596875,0.597233046875
8268,24,24252,24200,Marcillac-Saint-Quentin,marcillac saint quentin,44.958588809524,1.1980936507936
8269,24,24253,24340,Mareuil en Périgord,mareuil en perigord,45.458584132901,0.51255781199352
8270,24,24254,24220,Marnac,marnac,44.829046202532,1.0321486075949
8271,24,24255,24620,Marquay,marquay,44.939196283186,1.1295484955752
8272,24,24256,24430,Marsac-sur-l'Isle,marsac sur l isle,45.183144807692,0.65033240384615
8273,24,24257,24540,Marsalès,marsales,44.701306701031,0.88802628865979
8274,24,24259,24140,Maurens,maurens,44.919617980769,0.48256567307692
8275,24,24260,24150,Mauzac-et-Grand-Castang,mauzac et grand castang,44.88726359375,0.77579734375
8276,24,24261,24260,Mauzens-et-Miremont,mauzens et miremont,44.991955031447,0.9304627672956
8277,24,24262,24420,Mayac,mayac,45.281079833333,0.9501695
8278,24,24263,24550,Mazeyrolles,mazeyrolles,44.666045777778,0.99810497777778
8279,24,24264,24700,Ménesplet,menesplet,45.004027710843,0.10316493975904
8280,24,24266,24350,Mensignac,mensignac,45.219586964286,0.56204517857143
8281,24,24267,24240,Mescoules,mescoules,44.744407681159,0.42477536231884
8282,24,24268,24220,Meyrals,meyrals,44.908230949721,1.0652238547486
8283,24,24269,24450,Mialet,mialet,45.567008848684,0.89612266447368
8284,24,24271,24470,Milhac-de-Nontron,milhac de nontron,45.470985251397,0.7917405027933
8285,24,24272,24610,Minzac,minzac,44.966306047297,0.03467405405405
8286,24,24273,24480,Molières,molieres,44.812947625,0.82532725
8287,24,24274,24240,Monbazillac,monbazillac,44.794085276074,0.47891527607362
8288,24,24276,24240,Monestier,monestier,44.776466825397,0.30757170634921
8289,24,24277,24130,Monfaucon,monfaucon,44.921027771588,0.25630877437326
8290,24,24278,24560,Monmadalès,monmadales,44.76927297619,0.6104305952381
8291,24,24279,24560,Monmarvès,monmarves,44.705917623762,0.61365217821782
8292,24,24280,24540,Monpazier,monpazier,44.682460645161,0.89428774193548
8293,24,24281,24440,Monsac,monsac,44.782697711864,0.68773186440678
8294,24,24282,24560,Monsaguel,monsaguel,44.740985757576,0.57178340909091
8295,24,24284,24210,Montagnac-d'Auberoche,montagnac d auberoche,45.18859440367,0.95254853211009
8296,24,24285,24140,Montagnac-la-Crempse,montagnac la crempse,44.982662793296,0.54128463687151
8297,24,24286,24350,Montagrier,montagrier,45.270937058824,0.48324860294118
8298,24,24287,24560,Montaut,montaut,44.748423939394,0.64773767676768
8299,24,24288,24230,Montazeau,montazeau,44.900532327586,0.12769176724138
8300,24,24289,24230,Montcaret,montcaret,44.864854885845,0.0646401826484
8301,24,24290,24440,Montferrand-du-Périgord,montferrand du perigord,44.75725452514,0.87406363128492
8302,24,24291,24290,Montignac,montignac,45.063654950495,1.1520259405941
8303,24,24292,24610,Montpeyroux,montpeyroux,44.911094074074,0.05829854938272
8304,24,24293,24170,Monplaisant,monplaisant,44.79026671875,1.001432265625
8305,24,24294,24700,Montpon-Ménestérol,montpon menesterol,45.026459896641,0.1440411369509
8306,24,24295,24110,Montrem,montrem,45.13441041958,0.57813804195804
8307,24,24296,24520,Mouleydier,mouleydier,44.860059036145,0.61227939759036
8308,24,24297,24700,Moulin-Neuf,moulin neuf,44.996648324324,0.0616027027027
8309,24,24299,24400,Mussidan,mussidan,45.027044307692,0.36747723076923
8310,24,24300,24250,Nabirat,nabirat,44.768932045455,1.298055
8311,24,24301,24590,Nadaillac,nadaillac,45.033136558442,1.3916720779221
8312,24,24302,24390,Nailhac,nailhac,45.227344530387,1.1554898895028
8313,24,24303,24320,Nanteuil-Auriac-de-Bourzac,nanteuil auriac de bourzac,45.377391243523,0.2795089119171
8314,24,24304,24800,Nantheuil,nantheuil,45.425150604396,0.95590840659341
8315,24,24305,24800,Nanthiat,nanthiat,45.40970201005,0.98626532663317
8316,24,24306,24230,Nastringues,nastringues,44.875832903226,0.15120556451613
8317,24,24307,24440,Naussannes,naussannes,44.74967768,0.71332816
8318,24,24308,24460,Négrondes,negrondes,45.339698,0.87561393548387
8319,24,24309,24190,Neuvic,neuvic,45.092034725738,0.47092953586498
8320,24,24311,24300,Nontron,nontron,45.533220696517,0.67472059701493
8321,24,24312,24380,Sanilhac,sanilhac,45.121311,0.71385
8322,24,24312,24660,Sanilhac,sanilhac,45.114158,0.702827
8323,24,24312,24750,Sanilhac,sanilhac,45.121311,0.71385
8324,24,24313,24170,Orliac,orliac,44.712936261682,1.0626371028037
8325,24,24314,24370,Orliaguet,orliaguet,44.910589537037,1.3800671296296
8326,24,24316,24410,Parcoul-Chenaud,parcoul chenaud,45.19364962069,0.05655755172414
8327,24,24317,24590,Paulin,paulin,44.994764017094,1.3328041880342
8328,24,24318,24510,Paunat,paunat,44.897791567164,0.85083313432836
8329,24,24319,24310,Paussac-et-Saint-Vivien,paussac et saint vivien,45.341303760684,0.54121333333333
8330,24,24320,24270,Payzac,payzac,45.417512384615,1.2415624871795
8331,24,24321,24120,Pazayac,pazayac,45.123076170213,1.3741768085106
8332,24,24322,24000,Périgueux,perigueux,45.194904285714,0.70910014285714
8333,24,24323,24600,Petit-Bersac,petit bersac,45.271054594595,0.22889972972973
8334,24,24324,24210,Peyrignac,peyrignac,45.162027130435,1.1968210434783
8335,24,24325,24370,Peyrillac-et-Millac,peyrillac et millac,44.892302037037,1.4100131481481
8336,24,24326,24620,Peyzac-le-Moustier,peyzac le moustier,44.982893504274,1.0796306837607
8337,24,24327,24510,Pezuls,pezuls,44.907914174757,0.80521669902913
8338,24,24328,24360,Piégut-Pluviers,piegut pluviers,45.629399438202,0.70654735955056
8339,24,24329,24700,Le Pizou,le pizou,45.038106790123,0.08385314814815
8340,24,24330,24580,Plazac,plazac,45.044135263158,1.0370172368421
8341,24,24331,24240,Pomport,pomport,44.788667446809,0.41092387234043
8342,24,24334,24150,Pontours,pontours,44.823391980198,0.77318633663366
8343,24,24335,33220,Port-Sainte-Foy-et-Ponchapt,port sainte foy et ponchapt,44.868256097561,0.20349419512195
8344,24,24336,24370,Prats-de-Carlux,prats de carlux,44.8941434,1.3094569
8345,24,24337,24550,Prats-du-Périgord,prats du perigord,44.683396949153,1.0683524576271
8346,24,24338,24150,Pressignac-Vicq,pressignac vicq,44.894729208633,0.72455460431655
8347,24,24339,24160,Preyssac-d'Excideuil,preyssac d excideuil,45.341213518519,1.1092305555556
8348,24,24340,24130,Prigonrieux,prigonrieux,44.879094230769,0.40629697802198
8349,24,24341,24200,Proissans,proissans,44.928468203593,1.2470083832335
8350,24,24345,24140,Queyssac,queyssac,44.914558674699,0.53502084337349
8351,24,24346,24530,Quinsac,quinsac,45.434623165468,0.69918136690647
8352,24,24347,24440,Rampieux,rampieux,44.70248480663,0.80347110497238
8353,24,24348,24500,Razac-d'Eymet,razac d eymet,44.697332774194,0.45287193548387
8354,24,24349,24240,Razac-de-Saussignac,razac de saussignac,44.812534353741,0.28181462585034
8355,24,24350,24430,Razac-sur-l'Isle,razac sur l isle,45.161877722772,0.61693099009901
8356,24,24351,24240,Ribagnac,ribagnac,44.760509807692,0.47892038461538
8357,24,24352,24600,Ribérac,riberac,45.246988913043,0.339201
8358,24,24353,24340,La Rochebeaucourt-et-Argentine,la rochebeaucourt et argentine,45.470132180095,0.38199312796209
8359,24,24354,24490,La Roche-Chalais,la roche chalais,45.134139847973,0.03945547297297
8360,24,24355,24250,La Roque-Gageac,la roque gageac,44.823733589744,1.1954943589744
8361,24,24356,24580,Rouffignac-Saint-Cernin-de-Reilhac,rouffignac saint cernin de reilhac,45.051779634703,0.96795949771689
8362,24,24357,24240,Rouffignac-de-Sigoulès,rouffignac de sigoules,44.778022462687,0.44198828358209
8363,24,24359,24500,Sadillac,sadillac,44.728493012048,0.48798963855422
8364,24,24360,24170,Sagelat,sagelat,44.784797258065,1.0207790322581
8365,24,24361,24520,Saint-Agne,saint agne,44.833959384615,0.62479338461538
8366,24,24362,24380,Val de Louyre et Caudeau,val de louyre et caudeau,45.0350789,0.7162071
8367,24,24362,24510,Val de Louyre et Caudeau,val de louyre et caudeau,44.932205,0.7154942
8368,24,24364,24290,Saint-Amand-de-Coly,saint amand de coly,45.051904122449,1.2461696734694
8369,24,24365,24380,Saint-Amand-de-Vergt,saint amand de vergt,44.989518789474,0.69598731578947
8370,24,24366,24200,Saint-André-d'Allas,saint andre d allas,44.894391688312,1.1501556277056
8371,24,24367,24190,Saint-André-de-Double,saint andre de double,45.143436725979,0.32432142348754
8372,24,24370,24230,Saint-Antoine-de-Breuilh,saint antoine de breuilh,44.843278670886,0.14258037974684
8373,24,24371,24110,Saint-Aquilin,saint aquilin,45.1865094,0.48213115
8374,24,24372,24110,Saint-Astier,saint astier,45.144761244444,0.52006693333333
8375,24,24373,24500,Saint-Aubin-de-Cadelech,saint aubin de cadelech,44.683614012739,0.4925676433121
8376,24,24374,24560,Saint-Aubin-de-Lanquais,saint aubin de lanquais,44.797453982301,0.60323097345133
8377,24,24375,24250,Saint-Aubin-de-Nabirat,saint aubin de nabirat,44.730916625,1.281809
