,,,,-MORBIHAN,,,
21199,56,56190,56500,Réguiny,reguiny,47.979956230032,-2.7765119169329
21200,56,56191,56140,Réminiac,reminiac,47.863036637931,-2.2480997413793
21201,56,56193,56670,Riantec,riantec,47.711507593583,-3.3000781818182
21202,56,56194,56350,Rieux,rieux,47.607628496241,-2.131222556391
21203,56,56195,56130,La Roche-Bernard,la roche bernard,47.518411944444,-2.3006319444444
21204,56,56196,56220,Rochefort-en-Terre,rochefort en terre,47.6982225,-2.3436226785714
21205,56,56197,56460,Val d'Oust,val d oust,47.858688,-2.44378
21206,56,56197,56800,Val d'Oust,val d oust,47.858688,-2.44378
21207,56,56198,56580,Rohan,rohan,48.09061040678,-2.7476010847458
21208,56,56199,56110,Roudouallec,roudouallec,48.120802893617,-3.6934603404255
21209,56,56200,56140,Ruffiac,ruffiac,47.815128109453,-2.2860570646766
21210,56,56201,56110,Le Saint,le saint,48.094704534535,-3.5615396396396
21211,56,56202,56140,Saint-Abraham,saint abraham,47.849825294118,-2.3996087254902
21212,56,56203,56480,Saint-Aignan,saint aignan,48.179171034483,-3.0459009195402
21213,56,56204,56500,Saint-Allouestre,saint allouestre,47.904663005181,-2.7404192746114
21214,56,56205,56450,Saint-Armel,saint armel,47.571046811594,-2.7228916908213
21215,56,56206,56890,Saint-Avé,saint ave,47.69964345679,-2.74644218107
21216,56,56207,56150,Saint-Barthélemy,saint barthelemy,47.92320056338,-3.037365399061
21217,56,56208,56430,Saint-Brieuc-de-Mauron,saint brieuc de mauron,48.088542747748,-2.3542235585586
21218,56,56209,56480,Sainte-Brigitte,sainte brigitte,48.174864347826,-3.1112863913044
21219,56,56210,56540,Saint-Caradec-Trégomel,saint caradec tregomel,48.033634383562,-3.3437153424657
21220,56,56211,56140,Saint-Congard,saint congard,47.772572403101,-2.3295325581395
21221,56,56212,56130,Saint-Dolay,saint dolay,47.541265820896,-2.175266119403
21222,56,56213,56920,Saint-Gérand,saint gerand,48.10723508982,-2.887601497006
21223,56,56214,56730,Saint-Gildas-de-Rhuys,saint gildas de rhuys,47.508548281938,-2.8363230396476
21224,56,56215,56920,Saint-Gonnery,saint gonnery,48.12883759434,-2.8235923584906
21225,56,56216,56350,Saint-Gorgon,saint gorgon,47.639784470588,-2.2393763529412
21226,56,56218,56220,Saint-Gravé,saint grave,47.719140914634,-2.2896397560976
21227,56,56219,56460,Saint-Guyomard,saint guyomard,47.780966192893,-2.4984878680203
21228,56,56220,56700,Sainte-Hélène,sainte helene,47.719861463415,-3.1974237804878
21229,56,56221,56220,Saint-Jacut-les-Pins,saint jacut les pins,47.681326182796,-2.2089420967742
21230,56,56222,56660,Saint-Jean-Brévelay,saint jean brevelay,47.839178401163,-2.724910494186
21231,56,56223,56350,Saint-Jean-la-Poterie,saint jean la poterie,47.642428434783,-2.1235649565217
21232,56,56224,56140,Saint-Laurent-sur-Oust,saint laurent sur oust,47.794868541667,-2.3166032291667
21233,56,56225,56430,Saint-Léry,saint lery,48.08961304878,-2.2635687804878
21234,56,56226,56380,Saint-Malo-de-Beignon,saint malo de beignon,47.958619529412,-2.135284
21235,56,56227,56490,Saint-Malo-des-Trois-Fontaines,saint malo des trois fontaines,48.014518122605,-2.4697024904215
21236,56,56228,56140,Saint-Marcel,saint marcel,47.811037578947,-2.41671
21237,56,56229,56200,Saint-Martin-sur-Oust,saint martin sur oust,47.759468074534,-2.2572349068323
21238,56,56230,56910,Saint-Nicolas-du-Tertre,saint nicolas du tertre,47.802872272727,-2.211505
21239,56,56231,56250,Saint-Nolff,saint nolff,47.701462491582,-2.6667247474747
21240,56,56232,56350,Saint-Perreux,saint perreux,47.675127021277,-2.1262040425532
21241,56,56233,56470,Saint-Philibert,saint philibert,47.578113015873,-2.9967792063492
21242,56,56234,56510,Saint-Pierre-Quiberon,saint pierre quiberon,47.528886390533,-3.1484376627219
21243,56,56236,56120,Saint-Servant,saint servant,47.893130891089,-2.5137857425743
21244,56,56237,56300,Saint-Thuriau,saint thuriau,48.020255367965,-2.9428780952381
21245,56,56238,56540,Saint-Tugdual,saint tugdual,48.093252907348,-3.3641035782748
21246,56,56239,56350,Saint-Vincent-sur-Oust,saint vincent sur oust,47.701398558559,-2.1503256756757
21247,56,56240,56370,Sarzeau,sarzeau,47.533734931973,-2.7728971768707
21248,56,56241,56360,Sauzon,sauzon,47.36441939441,-3.2375995652174
21249,56,56242,56160,Séglien,seglien,48.095799521912,-3.1596430278884
21250,56,56243,56860,Séné,sene,47.617783061224,-2.7332246938775
21251,56,56244,56460,Sérent,serent,47.8248,-2.505021255814
21252,56,56245,56480,Silfiac,silfiac,48.14662169279,-3.1731163636364
21253,56,56246,56300,Le Sourn,le sourn,48.041364842767,-2.9991466666667
21254,56,56247,56250,Sulniac,sulniac,47.656131940701,-2.5577570889488
21255,56,56248,56450,Surzur,surzur,47.562050734095,-2.6203317618271
21256,56,56249,56800,Taupont,taupont,47.962530280374,-2.450585482866
21257,56,56250,56130,Théhillac,thehillac,47.554290076336,-2.1167629007634
21258,56,56251,56450,Theix-Noyalo,theix noyalo,47.635421991247,-2.6547930415755
21259,56,56252,56370,Le Tour-du-Parc,le tour du parc,47.530547317073,-2.6539922996516
21260,56,56253,56140,Tréal,treal,47.827613364929,-2.2257354976303
21261,56,56254,56250,Trédion,tredion,47.784912274881,-2.5847690995261
21262,56,56255,56250,Treffléan,trefflean,47.675538114754,-2.6246841393443
21263,56,56256,56430,Tréhorenteuc,trehorenteuc,48.003889534884,-2.2938104651163
21264,56,56257,56490,La Trinité-Porhoët,la trinite porhoet,48.09977,-2.5315843915344
21265,56,56258,56470,La Trinité-sur-Mer,la trinite sur mer,47.586367795918,-3.0323734693878
21266,56,56259,56190,La Trinité-Surzur,la trinite surzur,47.603533148148,-2.5932301851852
21267,56,56260,56000,Vannes,vannes,47.655486979405,-2.748627597254
21268,56,56261,56250,La Vraie-Croix,la vraie croix,47.687596723164,-2.5189211864407
21269,56,56262,56400,Bono,bono,47.634604678899,-2.9378226605505
21270,56,56263,56400,Sainte-Anne-d'Auray,sainte anne d auray,47.697178554217,-2.9497685542169
21271,56,56264,56540,Kernascléden,kernascleden,48.011818684211,-3.3258909473684
